X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
C11 ; 1 ; 0.282051 ; 0.269231 ; 0.3 ; 0.3 ; 0.307692 ; 0.317073
C15 ; 0.282051 ; 1 ; 0.269231 ; 0.3 ; 0.3 ; 0.307692 ; 0.317073
C17 ; 0.269231 ; 0.269231 ; 1 ; 0.303797 ; 0.303797 ; 0.246914 ; 0.371795
C19 ; 0.3 ; 0.3 ; 0.303797 ; 1 ; 0.333333 ; 0.325 ; 0.333333
C3 ; 0.3 ; 0.3 ; 0.303797 ; 0.333333 ; 1 ; 0.325 ; 0.333333
C5 ; 0.307692 ; 0.307692 ; 0.246914 ; 0.325 ; 0.325 ; 1 ; 0.410256
C6 ; 0.317073 ; 0.317073 ; 0.371795 ; 0.333333 ; 0.333333 ; 0.410256 ; 1
