X;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web;0;0;0;0;0.0769231;0
navigateur;0;0.25;0;0.263158;0.263158;0.230769
serveur web;0;0.181818;0.181818;0;0;0.166667
fichier;0.166667;0;0;0;0.1875;0.173913
client;0.125;0;0.1;0;0;0
base de donnée;0;0;0.1;0.142857;0;0
donnée;0;0.181818;0.181818;0.25;0;0
php;0.222222;0;0.181818;0;0;0.166667
code;0.357143;0.5;0.4;0.285714;0;0.375
texte;0;0.333333;0.28;0.3;0;0.214286
concerner;0;0;0.1;0.142857;0;0
commentaire;0.272727;0;0.28;0;0.3;0.307692
délimiter;0;0;0.1;0;0.142857;0
fois;0.238095;0.304348;0;0.2;0;0.230769
url;0.222222;0;0.181818;0;0;0.166667
case à cocher;0.222222;0;0.181818;0;0;0.166667
post;0;0.1;0;0;0;0.0909091
nombre;0;0;0.181818;0.25;0.25;0
text;0.222222;0.181818;0.181818;0;0;0
langage;0.407407;0.3125;0.4;0;0.285714;0.466667
utilisateur;0;0;0.1;0;0;0.0909091
case;0.222222;0.181818;0;0;0;0.166667
associer;0;0;0;0;0;0.047619
personne;0;0;0.181818;0;0.25;0.166667
méthode post;0;0.25;0;0.263158;0.263158;0.230769
fermeture;0.272727;0;0.28;0;0.3;0.307692
mysql;0;0;0.1;0;0;0.0909091
salaire;0;0;0;0;0.0769231;0
jour;0.0666667;0;0;0;0;0
site;0.222222;0.181818;0.181818;0;0;0
france;0;0.0526316;0;0;0;0
langage de script;0;0.1;0;0.142857;0;0
interpréter;0;0;0;0;0.0769231;0
côté serveur;0;0;0;0;0;0.047619
serveur;0;0;0.181818;0;0.25;0.166667
typage;0;0;0;0.0769231;0;0
foreach;0;0.181818;0.181818;0;0;0.166667
list;0;0.1;0;0;0;0.0909091
cle;0;0.181818;0.181818;0;0;0.166667
mot;0;0.1;0.1;0;0;0
timestamp;0;0.0526316;0;0;0;0
session;0;0.1;0.1;0;0;0
afficher;0;0;0.0526316;0;0;0
chaîne;0;0;0;0;0.142857;0.0909091
header;0;0;0;0;0;0.047619
accéder;0;0;0;0;0;0.047619
paris;0;0;0;0;0;0.047619
classe;0;0;0;0;0;0.047619
class;0;0;0;0;0;0.047619
mysqli;0;0;0;0;0;0.047619
visiteur;0;0;0;0;0.0769231;0
