X;C1.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web;0;0;0;0;0.2;0
fichier;0.25;0;0;0;0;0.285714
client;0.25;0;0.166667;0;0;0
base de donnée;0;0;0.166667;0.285714;0;0
donnée;0;0.272727;0.307692;0.333333;0;0
php;0;0;0.166667;0;0;0.285714
délimiter;0;0;0.166667;0;0.333333;0
post;0;0.222222;0;0;0;0.285714
nombre;0;0;0.307692;0.333333;0.375;0
text;0.4;0.363636;0.285714;0;0;0
associer;0;0;0;0;0;0.166667
mysql;0;0;0.0909091;0;0;0
salaire;0;0;0;0;0.2;0
jour;0.142857;0;0;0;0;0
site;0.25;0.222222;0;0;0;0
france;0;0.125;0;0;0;0
langage de script;0;0.125;0;0;0;0
interpréter;0;0;0;0;0.2;0
côté serveur;0;0;0;0;0;0.166667
typage;0;0;0;0.166667;0;0
timestamp;0;0.125;0;0;0;0
session;0;0;0.0909091;0;0;0
afficher;0;0;0.0909091;0;0;0
chaîne;0;0;0;0;0.2;0
header;0;0;0;0;0;0.166667
accéder;0;0;0;0;0;0.166667
paris;0;0;0;0;0;0.166667
classe;0;0;0;0;0;0.166667
class;0;0;0;0;0;0.166667
mysqli;0;0;0;0;0;0.166667
visiteur;0;0;0;0;0.2;0
