X;C1;C2;C4;C7;C8;C9
structure de contrôle;0.111111;0.111111;0;0;0;0.111111
définition;0.111111;0;0.111111;0;0;0.111111
initialiser;0.111111;0.111111;0;0.111111;0;0
dépendre;0.030303;0;0;0;0;0
méthode post;0.5;0.5;0.5;0.5;0.5;0.5
fermeture;0.333333;0;0.333333;0.333333;0.333333;0.333333
passwd;0.030303;0;0;0;0;0
machine;0.030303;0;0;0;0;0
mysql;0.111111;0;0.111111;0;0;0.111111
salaire;0.0588235;0;0;0;0.0588235;0
phase;0.030303;0;0;0;0;0
être utile;0.030303;0;0;0;0;0
boucle while;0.111111;0;0;0;0.111111;0.111111
jour;0.0588235;0;0;0;0.0588235;0
euro;0.030303;0;0;0;0;0
etc;0.0588235;0;0;0;0;0.0588235
programmation;0.2;0.2;0.2;0;0;0.2
site;0.5;0.5;0.5;0.5;0.5;0.5
détruire;0.111111;0;0;0.111111;0;0.111111
second;0.0588235;0;0;0;0;0.0588235
ordinateur;0.0588235;0;0;0;0;0.0588235
université de rouen;0;0.030303;0;0;0;0
france;0;0.0588235;0;0.0588235;0;0
langage de programmation;0;0.0588235;0.0588235;0;0;0
évolué;0;0.030303;0;0;0;0
crée;0;0.030303;0;0;0;0
langage de script;0;0.2;0.2;0.2;0;0.2
interpréter;0;0.0588235;0;0;0.0588235;0
côté serveur;0;0.0588235;0;0;0;0.0588235
serveur;0;0.2;0.2;0;0.2;0.2
côté client;0;0.030303;0;0;0;0
manuel;0;0.030303;0;0;0;0
français;0;0.030303;0;0;0;0
typage;0;0.111111;0;0.111111;0;0.111111
attention;0;0.030303;0;0;0;0
faute de frappe;0;0.030303;0;0;0;0
entiers;0;0.111111;0;0.111111;0;0.111111
3.14;0;0.030303;0;0;0;0
printf;0;0.0588235;0;0;0;0.0588235
comparaison;0;0.111111;0;0;0.111111;0.111111
switch;0;0.333333;0.333333;0.333333;0.333333;0.333333
expr;0;0.030303;0;0;0;0
spécifique;0;0.030303;0;0;0;0
foreach;0;0.333333;0.333333;0.333333;0.333333;0.333333
pointeur;0;0.030303;0;0;0;0
list;0;0.111111;0.111111;0;0;0.111111
inverse;0;0.030303;0;0;0;0
trie;0;0.030303;0;0;0;0
concaténation;0;0.0588235;0;0;0;0.0588235
accès;0;0.030303;0;0;0;0
strcmp;0;0.030303;0;0;0;0
trim;0;0.0588235;0;0;0;0.0588235
casse;0;0.030303;0;0;0;0
occurence;0;0.030303;0;0;0;0
décompte;0;0.030303;0;0;0;0
valeur de retour;0;0.0588235;0;0;0;0.0588235
passage par référence;0;0.0588235;0.0588235;0;0;0
traiter;0;0.030303;0;0;0;0
méthode;0;0.333333;0.333333;0.333333;0.333333;0.333333
navigation;0;0.0588235;0.0588235;0;0;0
rouen;0;0.030303;0;0;0;0
code postal;0;0.030303;0;0;0;0
