X;C1;C10;C2;C4;C7;C8;C9
page web;0;0.031746;0;0;0;0.0363636;0
page web statiques;0.0188679;0;0;0;0;0;0
navigateur;0;0;0.216216;0.227273;0.214286;0.217391;0.214286
serveur web;0.133333;0;0.119403;0.137931;0;0;0.129032
fichier;0.205882;0.213333;0;0.212121;0.217391;0.202899;0
disque dur;0.0714286;0.0615385;0;0;0.0689655;0;0
client;0;0.115942;0.119403;0;0.129032;0.131148;0
client serveur;0.0714286;0.0615385;0;0;0;0;0.0689655
base de donnée;0.133333;0.115942;0;0;0;0.131148;0.129032
donnée;0.0188679;0;0;0;0;0;0
ensemble;0.037037;0.031746;0;0;0;0;0
php;0.345238;0.340659;0.348315;0.353659;0.337209;0;0.337209
javascript;0.235294;0.207792;0.213333;0.242424;0;0;0.228571
perl;0.133333;0.115942;0;0.137931;0;0;0.129032
python;0.0188679;0;0;0;0;0;0
java;0.133333;0.115942;0.119403;0;0.129032;0;0
code;0.345238;0.340659;0.348315;0.353659;0.337209;0;0.337209
code source;0.0188679;0;0;0;0;0;0
fichier texte;0.133333;0;0.119403;0.137931;0.129032;0;0
texte;0;0.207792;0.213333;0.242424;0.228571;0;0.228571
mise en forme;0.037037;0;0;0.0384615;0;0;0
concerner;0;0.0615385;0;0.0740741;0.0689655;0;0
commentaire;0.205882;0.213333;0;0.212121;0;0.202899;0.217391
délimiter;0;0.0615385;0;0.0740741;0;0.0701754;0
affichage;0.345238;0.340659;0.348315;0.353659;0.337209;0;0.337209
gras;0.037037;0;0;0.0384615;0;0;0
fois;0.235294;0.207792;0.213333;0;0.228571;0;0.228571
chemin;0.0714286;0.0615385;0;0;0;0;0.0689655
lien hypertextes;0.333333;0.359551;0.337079;0.341463;0;0.329412;0.357143
url;0.133333;0.115942;0;0.137931;0;0;0.129032
textuels;0.0188679;0;0;0;0;0;0
case à cocher;0.0714286;0;0;0.0740741;0;0;0.0689655
page web dynamique;0.0188679;0;0;0;0;0;0
post;0.133333;0.115942;0;0.137931;0.129032;0;0
champ de saisie;0.333333;0.359551;0.337079;0.341463;0;0.329412;0.357143
size;0.0714286;0.0615385;0;0;0;0.0701754;0
nombre;0;0.115942;0;0.137931;0.129032;0.131148;0
text;0.133333;0.115942;0.119403;0.137931;0;0;0
vide;0.037037;0.031746;0;0;0;0;0
liste déroulante;0.037037;0;0;0.0384615;0;0;0
sélectionner;0.037037;0.031746;0;0;0;0;0
déclencher;0.0188679;0;0;0;0;0;0
réinitialisation;0.037037;0;0.0327869;0;0;0;0
langage;0.333333;0.359551;0.337079;0.341463;0;0.329412;0.357143
langage impératif;0.0188679;0;0;0;0;0;0
impératif;0.0188679;0;0;0;0;0;0
zones;0.037037;0;0;0;0;0;0.0357143
utilisateur;0;0.0615385;0;0.0740741;0;0;0.0689655
affectation;0.133333;0.115942;0.119403;0;0.129032;0;0
booléen;0.333333;0.359551;0.337079;0.341463;0.357143;0.329412;0
réalité;0.0188679;0;0;0;0;0;0
concatène;0.0188679;0;0;0;0;0;0
addition;0.0714286;0.0615385;0;0;0;0;0.0689655
soustraction;0.0714286;0.0615385;0;0;0;0;0.0689655
multiplié;0.0188679;0;0;0;0;0;0
modulo;0.0714286;0.0615385;0;0;0;0;0.0689655
égalité;0.037037;0;0;0.0384615;0;0;0
logiques;0.380952;0.344086;0.351648;0;0.372093;0.376471;0.372093
syntaxe;0.133333;0.115942;0;0.137931;0;0;0.129032
case;0.133333;0.115942;0.119403;0;0;0;0.129032
associer;0;0.031746;0;0;0;0;0.0357143
personne;0;0.115942;0;0.137931;0;0.131148;0.129032
prenom;0.235294;0.207792;0;0;0.228571;0.231884;0.228571
structure de contrôle;0.0714286;0;0.0634921;0;0;0;0.0689655
définition;0.133333;0.115942;0;0.137931;0;0;0.129032
initialiser;0.0714286;0;0.0634921;0;0.0689655;0;0
dépendre;0.037037;0.031746;0;0;0;0;0
méthode post;0.235294;0;0.213333;0;0.228571;0.231884;0.228571
fermeture;0.205882;0.213333;0;0.212121;0;0.202899;0.217391
passwd;0.0188679;0;0;0;0;0;0
machine;0.037037;0.031746;0;0;0;0;0
mysql;0;0.031746;0;0;0;0;0.0357143
salaire;0;0;0;0;0;0.0185185;0
phase;0.0188679;0;0;0;0;0;0
être utile;0.0188679;0;0;0;0;0;0
boucle while;0.133333;0.115942;0;0;0;0.131148;0.129032
jour;0.037037;0.031746;0;0;0;0;0
euro;0.0188679;0;0;0;0;0;0
etc;0.0714286;0.0615385;0;0;0;0;0.0689655
programmation;0.235294;0.207792;0.213333;0.242424;0;0;0.228571
site;0;0.115942;0;0.137931;0.129032;0;0.129032
détruire;0.133333;0.115942;0;0;0.129032;0;0.129032
second;0.037037;0;0;0;0;0;0.0357143
ordinateur;0.0714286;0.0615385;0;0;0;0;0.0689655
développement web;0;0.031746;0;0.0384615;0;0;0
organisation;0;0.016129;0;0;0;0;0
premier;0;0.016129;0;0;0;0;0
devoir sur table;0;0.016129;0;0;0;0;0
semaine;0;0.016129;0;0;0;0;0
devoir maison;0;0.016129;0;0;0;0;0
interrogation;0;0.016129;0;0;0;0;0
générale;0;0.016129;0;0;0;0;0
explication;0;0.016129;0;0;0;0;0
front office;0;0.016129;0;0;0;0;0
front;0;0.016129;0;0;0;0;0
xamp;0;0.031746;0;0;0;0;0.0357143
internet;0;0.031746;0;0;0;0;0.0357143
faille de sécurité;0;0.016129;0;0;0;0;0
sql;0;0.0615385;0;0;0;0.0701754;0.0689655
concret;0;0.016129;0;0;0;0;0
chaîne;0;0.0615385;0;0;0;0.0701754;0.0689655
header;0;0.031746;0;0;0;0;0.0357143
head;0;0.031746;0;0.0384615;0;0;0
informatique;0;0.016129;0;0;0;0;0
doctype;0;0.115942;0;0.137931;0;0.131148;0.129032
