X;C1.csv;C10.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web;0;0.0606061;0;0;0;0.0952381;0
navigateur;0;0;0.3;0.272727;0.3125;0.30303;0.272727
serveur web;0;0;0.125;0.111111;0;0;0.111111
fichier;0.178571;0.189189;0;0;0;0.185185;0.184211
client;0.0909091;0;0;0.0588235;0;0;0
base de donnée;0;0;0;0.0588235;0.1;0;0
donnée;0;0;0.125;0.111111;0.181818;0;0
php;0.285714;0.205128;0;0.2;0;0;0.2
code;0.347826;0.431373;0.458333;0.396226;0.25;0;0.37037
texte;0;0.266667;0.35;0.288889;0.294118;0;0.26087
concerner;0;0.114286;0;0.111111;0.181818;0;0
commentaire;0.277778;0.325581;0;0.288889;0;0.285714;0.318182
délimiter;0;0.114286;0;0.111111;0;0.173913;0
fois;0.242424;0.268293;0.289474;0;0.181818;0;0.232558
url;0.285714;0.205128;0;0.2;0;0;0.2
case à cocher;0.166667;0;0;0.111111;0;0;0.111111
post;0;0;0.0666667;0;0;0;0.0588235
nombre;0;0.179487;0;0.205128;0.269231;0.259259;0
text;0.285714;0.205128;0.222222;0.2;0;0;0
langage;0.369565;0.45098;0.314815;0.415094;0;0.265306;0.442308
utilisateur;0;0.114286;0;0.111111;0;0;0.111111
case;0.25;0.210526;0.194444;0;0;0;0.175
associer;0;0.0606061;0;0;0;0;0.0588235
personne;0;0.205128;0;0.2;0;0.296296;0.2
méthode post;0;0;0.176471;0;0.2;0.192308;0.157895
fermeture;0.277778;0.325581;0;0.288889;0;0.285714;0.318182
machine;0;0.03125;0;0;0;0;0
mysql;0;0.114286;0;0.111111;0;0;0.111111
salaire;0;0.03125;0;0;0;0;0
jour;0.0909091;0.0606061;0;0;0;0;0
site;0.166667;0;0.125;0.111111;0;0;0
chaîne;0;0.0606061;0;0;0;0.0952381;0
header;0;0.0606061;0;0;0;0;0.0588235
moteur;0;0.03125;0;0;0;0;0
paris;0;0.0606061;0;0;0;0;0.0588235
langage de script;0;0.0606061;0.0666667;0;0;0;0
côté serveur;0;0.0606061;0;0;0;0;0.0588235
opérateur;0;0.03125;0;0;0;0;0
super;0;0.03125;0;0;0;0;0
type;0;0;0;0;0.0526316;0;0
foreach;0;0;0.125;0.111111;0;0;0.111111
cle;0;0.205128;0.222222;0.2;0;0;0.2
serveur;0;0.205128;0;0.2;0;0.296296;0.2
interpréter;0;0.0606061;0;0;0;0.0952381;0
transaction;0;0.03125;0;0;0;0;0
côté client;0;0.03125;0;0;0;0;0
classes;0;0.0606061;0;0;0;0;0.0588235
bienvenue;0;0.03125;0;0;0;0;0
class;0;0.0606061;0;0;0;0;0.0588235
mot;0;0.114286;0.125;0.111111;0;0;0
méthode;0;0;0.3;0.272727;0.3125;0.30303;0.272727
session;0;0.114286;0.125;0.111111;0;0;0
visiteur;0;0.0606061;0;0;0;0.0952381;0
afficher;0;0.0606061;0;0.0588235;0;0;0
pouvoir;0;0.03125;0;0;0;0;0
mysqli;0;0.0606061;0;0;0;0;0.0588235
france;0;0;0.0344828;0;0;0;0
list;0;0;0.0666667;0;0;0;0.0588235
timestamp;0;0;0.0344828;0;0;0;0
accéder;0;0;0;0;0;0;0.030303
