X;C1.csv;C10.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web;0;0.016129;0;0;0;0;0
page web statiques;0.0232558;0;0;0;0;0;0
navigateur;0;0;0.231884;0.227273;0.234375;0.245902;0.234375
serveur web;0.16;0;0.129032;0.137931;0;0;0.142857
fichier;0.206897;0.219178;0;0.21875;0.225806;0.196721;0
disque dur;0.0869565;0.0615385;0;0;0.0769231;0;0
client;0;0.115942;0.129032;0;0.142857;0.150943;0
client serveur;0.0869565;0.0615385;0;0;0;0;0.0769231
base de donnée;0.12;0.119403;0;0;0;0.113208;0.127273
donnée;0.0232558;0;0;0;0;0;0
ensemble;0.0454545;0.031746;0;0;0;0;0
php;0.16;0.115942;0.129032;0;0.142857;0;0
javascript;0.275862;0.207792;0.228571;0.242424;0;0;0.25
perl;0.16;0.115942;0;0.137931;0;0;0.142857
python;0.0232558;0;0;0;0;0;0
java;0.16;0.115942;0.129032;0;0.142857;0;0
code;0.364865;0.348315;0.361446;0.3625;0.3375;0;0.3375
code source;0.0232558;0;0;0;0;0;0
fichier texte;0.16;0;0.129032;0.137931;0.142857;0;0
texte;0;0.207792;0.228571;0.242424;0.25;0;0.25
mise en forme;0.0454545;0;0;0.0384615;0;0;0
concerner;0;0.0615385;0;0.0740741;0.0769231;0;0
commentaire;0.206897;0.219178;0;0.21875;0;0.196721;0.225806
affichage;0.364865;0.348315;0.361446;0.3625;0.3375;0;0.3375
gras;0.0454545;0;0;0.0384615;0;0;0
fois;0.241379;0.213333;0.217391;0;0.21875;0;0.21875
chemin;0.0869565;0.0615385;0;0;0;0;0.0769231
lien hypertextes;0.324324;0.376471;0.341463;0.358974;0;0.311688;0.368421
url;0.16;0.115942;0;0.137931;0;0;0.142857
textuels;0.0232558;0;0;0;0;0;0
case à cocher;0.0869565;0;0;0.0740741;0;0;0.0769231
page web dynamique;0.0232558;0;0;0;0;0;0
post;0.16;0.115942;0;0.137931;0.142857;0;0
champ de saisie;0.324324;0.376471;0.341463;0.358974;0;0.311688;0.368421
size;0.0652174;0.0625;0;0;0;0.0612245;0
text;0.16;0.115942;0.129032;0.137931;0;0;0
vide;0.0454545;0.031746;0;0;0;0;0
liste déroulante;0.0454545;0;0;0.0384615;0;0;0
sélectionner;0.0454545;0.031746;0;0;0;0;0
déclencher;0.0232558;0;0;0;0;0;0
réinitialisation;0.0454545;0;0.0357143;0;0;0;0
langage;0.324324;0.376471;0.341463;0.358974;0;0.311688;0.368421
langage impératif;0.0232558;0;0;0;0;0;0
impératif;0.0232558;0;0;0;0;0;0
zones;0.0454545;0;0;0;0;0;0.04
utilisateur;0;0.0615385;0;0.0740741;0;0;0.0769231
affectation;0.16;0.115942;0.129032;0;0.142857;0;0
booléen;0.324324;0.376471;0.341463;0.358974;0.368421;0.311688;0
réalité;0.0232558;0;0;0;0;0;0
concatène;0.0232558;0;0;0;0;0;0
addition;0.0869565;0.0615385;0;0;0;0;0.0769231
soustraction;0.0869565;0.0615385;0;0;0;0;0.0769231
multiplié;0.0232558;0;0;0;0;0;0
modulo;0.0869565;0.0615385;0;0;0;0;0.0769231
égalité;0.0454545;0;0;0.0384615;0;0;0
logiques;0.297297;0.385542;0.333333;0;0.342105;0.32;0.342105
syntaxe;0.16;0.115942;0;0.137931;0;0;0.142857
case;0.16;0.115942;0.129032;0;0;0;0.142857
associer;0;0.031746;0;0;0;0;0.04
personne;0;0.115942;0;0.137931;0;0.150943;0.142857
prenom;0.189655;0.222222;0;0;0.209677;0.2;0.209677
structure de contrôle;0.0869565;0;0.0689655;0;0;0;0.0769231
définition;0.16;0.115942;0;0.137931;0;0;0.142857
initialiser;0.0869565;0;0.0689655;0;0.0769231;0;0
dépendre;0.0454545;0.031746;0;0;0;0;0
méthode post;0.0232558;0;0;0;0;0;0
fermeture;0.206897;0.219178;0;0.21875;0;0.196721;0.225806
passwd;0.0232558;0;0;0;0;0;0
mysql;0;0.031746;0;0;0;0;0.04
salaire;0;0;0;0;0;0.0217391;0
phase;0.0232558;0;0;0;0;0;0
être utile;0.0232558;0;0;0;0;0;0
boucle while;0.12;0.119403;0;0;0;0.113208;0.127273
jour;0.0454545;0.031746;0;0;0;0;0
euro;0.0232558;0;0;0;0;0;0
etc;0.0869565;0.0615385;0;0;0;0;0.0769231
programmation;0.275862;0.207792;0.228571;0.242424;0;0;0.25
site;0;0.0615385;0;0.0740741;0;0;0.0769231
détruire;0.14;0.117647;0;0;0.125;0;0.125
second;0.0454545;0;0;0;0;0;0.04
ordinateur;0.0869565;0.0615385;0;0;0;0;0.0769231
développement web;0;0.031746;0;0.0384615;0;0;0
organisation;0;0.016129;0;0;0;0;0
premier;0;0.016129;0;0;0;0;0
devoir sur table;0;0.016129;0;0;0;0;0
semaine;0;0.016129;0;0;0;0;0
devoir maison;0;0.016129;0;0;0;0;0
interrogation;0;0.016129;0;0;0;0;0
générale;0;0.016129;0;0;0;0;0
explication;0;0.016129;0;0;0;0;0
front office;0;0.016129;0;0;0;0;0
front;0;0.016129;0;0;0;0;0
xamp;0;0.031746;0;0;0;0;0.04
internet;0;0.031746;0;0;0;0;0.04
faille de sécurité;0;0.016129;0;0;0;0;0
sql;0;0.0615385;0;0;0;0.0816327;0.0769231
concret;0;0.016129;0;0;0;0;0
chaîne;0;0;0;0;0;0;0.0204082
header;0;0.031746;0;0;0;0;0.04
head;0;0.031746;0;0.0384615;0;0;0
informatique;0;0.016129;0;0;0;0;0
doctype;0;0.115942;0;0.137931;0;0.150943;0.142857
w3c;0;0.0615385;0;0.0740741;0;0;0.0769231
dtd;0;0.0615385;0;0.0740741;0;0;0.0769231
firefox;0;0.016129;0;0;0;0;0
internet explorer;0;0.016129;0;0;0;0;0
internet explorer 9;0;0.016129;0;0;0;0;0
recherche;0;0.016129;0;0;0;0;0
descriptions;0;0.016129;0;0;0;0;0
précision;0;0.016129;0;0;0;0;0
paragraphe;0;0.031746;0;0.0384615;0;0;0
h2;0;0.031746;0;0.0384615;0;0;0
terme technique;0;0.016129;0;0;0;0;0
tr;0;0.016129;0;0;0;0;0
insertion;0;0.031746;0;0.0384615;0;0;0
img;0;0.016129;0;0;0;0;0
infobulle;0;0.016129;0;0;0;0;0
balise html;0;0.031746;0;0;0;0;0.04
js;0;0.016129;0;0;0;0;0
css;0;0.016129;0;0;0;0;0
dns;0;0.016129;0;0;0;0;0
logique métier;0;0.016129;0;0;0;0;0
port 443;0;0.016129;0;0;0;0;0
host;0;0.0615385;0;0;0;0.0816327;0.0769231
uniform resource identifier;0;0.016129;0;0;0;0;0
ipv4;0;0.016129;0;0;0;0;0
ipv6;0;0.016129;0;0;0;0;0
visiter;0;0.016129;0;0;0;0;0
nom de domaine;0;0.016129;0;0;0;0;0
domaine;0;0.016129;0;0;0;0;0
sous-domaines;0;0.016129;0;0;0;0;0
configuration;0;0.031746;0;0;0;0;0.04
common gateway interface;0;0.016129;0;0;0;0;0
gateway;0;0.016129;0;0;0;0;0
lire;0;0.0615385;0;0.0740741;0;0;0.0769231
langage de programmation;0;0.0615385;0.0689655;0.0740741;0;0;0
paris;0;0.031746;0;0;0;0;0.04
langage de script;0;0;0;0;0.0204082;0;0
côté serveur;0;0.031746;0;0;0;0;0.04
