X;C1.csv;C10.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web;0;0;0;0;0;0.1;0
navigateur;0;0;0.222222;0;0.25;0.266667;0.210526
serveur web;0;0;0.25;0.190476;0;0;0.235294
fichier;0.285714;0.2;0;0;0;0;0.235294
client;0.166667;0;0;0.105263;0;0;0
base de donnée;0;0;0;0.105263;0.166667;0;0
donnée;0;0;0.25;0.190476;0.285714;0;0
php;0;0;0;0.105263;0;0;0.133333
code;0;0.2;0;0.190476;0;0;0.235294
texte;0;0.111111;0;0;0.166667;0;0
concerner;0;0.2;0;0.190476;0.285714;0;0
délimiter;0;0.210526;0;0.142857;0;0.230769;0
case à cocher;0.285714;0;0;0.190476;0;0;0.235294
post;0;0;0.142857;0;0;0;0.133333
nombre;0;0.318182;0;0.25;0.352941;0.294118;0
text;0.277778;0.26087;0.315789;0.304348;0;0;0
langage;0.294118;0.272727;0;0;0;0.235294;0.315789
utilisateur;0;0.2;0;0.190476;0;0;0.235294
associer;0;0.111111;0;0;0;0;0.133333
méthode post;0;0;0.222222;0;0.25;0.266667;0.210526
machine;0;0.0588235;0;0;0;0;0
mysql;0;0;0;0.0555556;0;0;0
salaire;0;0.0588235;0;0;0;0;0
jour;0.166667;0.111111;0;0;0;0;0
site;0.214286;0;0.1875;0.2;0;0;0
chaîne;0;0.111111;0;0;0;0.181818;0
header;0;0.111111;0;0;0;0;0.133333
moteur;0;0.0588235;0;0;0;0;0
paris;0;0.111111;0;0;0;0;0.133333
langage de script;0;0.111111;0.142857;0;0;0;0
côté serveur;0;0.111111;0;0;0;0;0.133333
opérateur;0;0.0588235;0;0;0;0;0
super;0;0.0588235;0;0;0;0;0
type;0;0;0;0;0.0909091;0;0
foreach;0;0;0.25;0.190476;0;0;0.235294
interpréter;0;0.111111;0;0;0;0.181818;0
transaction;0;0.0588235;0;0;0;0;0
côté client;0;0.0588235;0;0;0;0;0
classes;0;0.111111;0;0;0;0;0.133333
bienvenue;0;0.0588235;0;0;0;0;0
class;0;0.111111;0;0;0;0;0.133333
mot;0;0.2;0.25;0.190476;0;0;0
session;0;0;0;0.0555556;0;0;0
visiteur;0;0.111111;0;0;0;0.181818;0
afficher;0;0.111111;0;0.105263;0;0;0
pouvoir;0;0.0588235;0;0;0;0;0
mysqli;0;0.111111;0;0;0;0;0.133333
france;0;0;0.0769231;0;0;0;0
list;0;0;0.142857;0;0;0;0.133333
timestamp;0;0;0.0769231;0;0;0;0
accéder;0;0;0;0;0;0;0.0714286
