X;C1;C10;C2;C4;C7;C8;C9
moteur;0;0.030303;0;0;0;0;0.0444444
recherche;0;0.0153846;0;0;0;0;0
descriptions;0;0.0153846;0;0;0;0;0
précision;0;0.0153846;0;0;0;0;0
paragraphe;0;0.030303;0;0.0434783;0;0;0
h2;0;0.030303;0;0.0434783;0;0;0
terme technique;0;0.0153846;0;0;0;0;0
tr;0;0.0153846;0;0;0;0;0
insertion;0;0.030303;0;0.0434783;0;0;0
img;0;0.0153846;0;0;0;0;0
infobulle;0;0.0153846;0;0;0;0;0
balise html;0;0.030303;0;0;0;0;0.0444444
js;0;0.0153846;0;0;0;0;0
css;0;0.0153846;0;0;0;0;0
dns;0;0.0153846;0;0;0;0;0
logique métier;0;0.0153846;0;0;0;0;0
port 443;0;0.0153846;0;0;0;0;0
host;0;0.0588235;0;0;0;0.105263;0.0851064
uniform resource identifier;0;0.0153846;0;0;0;0;0
ipv4;0;0.0153846;0;0;0;0;0
ipv6;0;0.0153846;0;0;0;0;0
visiter;0;0.0153846;0;0;0;0;0
nom de domaine;0;0.0153846;0;0;0;0;0
domaine;0;0.0153846;0;0;0;0;0
sous-domaines;0;0.0153846;0;0;0;0;0
configuration;0;0.030303;0;0;0;0;0.0444444
common gateway interface;0;0.0153846;0;0;0;0;0
gateway;0;0.0153846;0;0;0;0;0
lire;0;0.0588235;0;0.0833333;0;0;0.0851064
langage de programmation;0;0.0588235;0.0816327;0.0833333;0;0;0
paris;0;0.0588235;0;0;0;0.105263;0.0851064
langage de script;0;0.205128;0.25;0.233333;0.241379;0;0.237288
côté serveur;0;0.0588235;0.0816327;0;0;0;0.0851064
open source;0;0.030303;0;0;0;0;0.0444444
grand nombre;0;0.030303;0;0;0;0;0.0444444
facebook;0;0.030303;0;0;0;0;0.0444444
wikipédia;0;0.030303;0;0;0;0;0.0444444
opérateur;0;0.030303;0;0;0;0.0555556;0
installation;0;0.0153846;0;0;0;0;0
wamp;0;0.030303;0;0;0;0;0.0444444
mamp;0;0.030303;0;0;0;0;0.0444444
éditeur de texte;0;0.030303;0;0;0;0;0.0444444
