X ; php bn:01753580n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; base de donnees bn:00025333n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; code bn:00020354n ; serveur bn:00044916n ; chaîne bn:00074685n ; hiérarchie bn:00044017n ; pouvoir bn:00084451v ; echo bn:03626250n ; void bn:01326821n ; exception bn:00032118n ; symfony bn:02798620n ; doctype bn:15839327n ; environnement de développement bn:00748100n ; realisateur bn:00027369n
serveur bn:00044916n ; 0.333333 ; 0.363636 ; 1 ; 0.181818 ; 0.142857 ; 0.285714 ; 0.4 ; 0.2 ; 0.222222 ; 0.5 ; 1 ; 0.142857 ; 0.2 ; 0.2 ; 0.25 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.2
chaîne bn:00074685n ; 0.142857 ; 0.153846 ; 0.142857 ; 0.444444 ; 0.333333 ; 0.285714 ; 0.166667 ; 0.5 ; 0.571429 ; 0.2 ; 0.142857 ; 1 ; 0.2 ; 0.2 ; 0.25 ; 0.2 ; 0.142857 ; 0.5 ; 0.5 ; 0.2 ; 0.5
hiérarchie bn:00044017n ; 0.5 ; 0.0833333 ; 0.2 ; 0.1 ; 0.0769231 ; 0.166667 ; 0.0909091 ; 0.111111 ; 0.125 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
pouvoir bn:00084451v ; 0.2 ; 0.0833333 ; 0.2 ; 0.1 ; 0.0769231 ; 0.166667 ; 0.0909091 ; 0.111111 ; 0.125 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
echo bn:03626250n ; 0.25 ; 0.133333 ; 0.25 ; 0.153846 ; 0.125 ; 0.1 ; 0.142857 ; 0.4 ; 0.181818 ; 0.333333 ; 0.25 ; 0.25 ; 0.142857 ; 0.333333 ; 1 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.142857
void bn:01326821n ; 0.2 ; 0.0833333 ; 0.2 ; 0.1 ; 0.0769231 ; 0.166667 ; 0.0909091 ; 0.111111 ; 0.125 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
exception bn:00032118n ; 0.142857 ; 0.153846 ; 0.142857 ; 0.0833333 ; 0.142857 ; 0.125 ; 0.0769231 ; 0.0909091 ; 0.1 ; 0.2 ; 0.142857 ; 0.142857 ; 0.2 ; 0.5 ; 0.25 ; 0.5 ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.2
symfony bn:02798620n ; 0.2 ; 0.0833333 ; 0.2 ; 0.222222 ; 0.166667 ; 0.166667 ; 0.0909091 ; 0.25 ; 0.285714 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 1 ; 0.333333 ; 0.333333
doctype bn:15839327n ; 0.2 ; 0.0833333 ; 0.2 ; 0.222222 ; 0.166667 ; 0.166667 ; 0.0909091 ; 0.25 ; 0.285714 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 1 ; 0.333333 ; 0.333333
environnement de développement bn:00748100n ; 0.2 ; 0.181818 ; 0.5 ; 0.222222 ; 0.166667 ; 0.4 ; 0.2 ; 0.111111 ; 0.285714 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
realisateur bn:00027369n ; 0.2 ; 0.181818 ; 0.2 ; 0.222222 ; 0.166667 ; 0.4 ; 0.2 ; 0.25 ; 0.285714 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
