X ; C11 ; C15 ; C19 ; C5 ; C6 ; CJA
C11 ; 1 ; 0.333333 ; 0.25 ; 0.25 ; 0.25 ; 0.2
C15 ; 0.333333 ; 1 ; 0.25 ; 0.25 ; 0.25 ; 0.2
C19 ; 0.25 ; 0.25 ; 1 ; 1 ; 0.2 ; 0.4
C5 ; 0.25 ; 0.25 ; 1 ; 1 ; 0.2 ; 0.4
C6 ; 0.25 ; 0.25 ; 0.2 ; 0.2 ; 1 ; 0.4
CJA ; 0.2 ; 0.2 ; 0.4 ; 0.4 ; 0.4 ; 1
