X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
impossible bn:00104687a ; 0 ; 0.0914286 ; 0 ; 0 ; 0.0914286 ; 0.0914286 ; 0.0914286 ; 0.0914286
public bn:00109211a ; 0.0914286 ; 0.0914286 ; 0 ; 0 ; 0.0914286 ; 0.0914286 ; 0.0914286 ; 0
en-tête bn:00043309n ; 0 ; 0.08 ; 0.08 ; 0 ; 0.0857143 ; 0 ; 0.0914286 ; 0.08
client bn:00019764n ; 0 ; 0.0457143 ; 0.0457143 ; 0.0457143 ; 0.0457143 ; 0 ; 0 ; 0
java bn:00048043n ; 0 ; 0.154286 ; 0.154286 ; 0.165714 ; 0.165714 ; 0.16 ; 0.177143 ; 0
file bn:00065682n ; 0 ; 0.08 ; 0.08 ; 0.0857143 ; 0 ; 0 ; 0.0914286 ; 0.08
echo bn:03626250n ; 0 ; 0.0228571 ; 0 ; 0.0228571 ; 0 ; 0 ; 0.0228571 ; 0
rue bn:00074595n ; 0 ; 0 ; 0.0114286 ; 0 ; 0 ; 0 ; 0.0114286 ; 0
void bn:01326821n ; 0 ; 0.00571429 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
classe bn:03608262n ; 0 ; 0.154286 ; 0.154286 ; 0.165714 ; 0.165714 ; 0.16 ; 0.177143 ; 0
exception bn:00032118n ; 0 ; 0.0114286 ; 0.0114286 ; 0 ; 0 ; 0 ; 0 ; 0
wamp bn:01708928n ; 0 ; 0 ; 0 ; 0 ; 0.0114286 ; 0.0114286 ; 0 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0.00571429 ; 0 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.00571429 ; 0 ; 0 ; 0 ; 0
environnement de développement bn:00748100n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00571429
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00571429 ; 0 ; 0
null bn:15898583n ; 0 ; 0 ; 0 ; 0.0228571 ; 0 ; 0.0228571 ; 0 ; 0.0228571
