X ; php bn:01753580n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; base de donnees bn:00025333n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; code bn:00020354n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; class bn:03598962n ; commentaires bn:00020978n ; chaîne bn:00074685n ; personne bn:00046516n ; hiérarchie bn:00044017n ; langage bn:00049910n ; méthode bn:01641329n ; pouvoir bn:00084450v ; pouvoir bn:00084451v ; echo bn:03626250n ; rue bn:00074595n ; void bn:01326821n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; environnement de développement bn:00748100n ; realisateur bn:00027369n ; null bn:15898583n
php bn:01753580n ; 1 ; 0.235294 ; 0.235294 ; 0.0526316 ; 0.0869565 ; 0.0714286 ; 0.105263 ; 0.153846 ; 0.0769231 ; 0.153846 ; 0.285714 ; 0.388889 ; 0.105263 ; 0.222222 ; 0.117647 ; 0.08 ; 0.1 ; 0.153846 ; 0.285714 ; 0.037037 ; 0.235294 ; 0.222222 ; 0.125 ; 0.153846 ; 0.571429 ; 0.125 ; 0.222222 ; 0.1 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.0769231
texte bn:00076732n ; 0.235294 ; 1 ; 0.4 ; 0.173913 ; 0.28 ; 0.222222 ; 0.4 ; 0.222222 ; 0.235294 ; 0.222222 ; 0.142857 ; 0.333333 ; 0.166667 ; 0.285714 ; 0.0833333 ; 0.0625 ; 0.125 ; 0.1 ; 0.0666667 ; 0.129032 ; 0.166667 ; 0.0588235 ; 0.0666667 ; 0.1 ; 0.285714 ; 0.0666667 ; 0.125 ; 0.125 ; 0.0666667 ; 0.0666667 ; 0.142857 ; 0.142857 ; 0.235294
fichier bn:00021475n ; 0.235294 ; 0.4 ; 1 ; 0.173913 ; 0.142857 ; 0.222222 ; 0.4 ; 0.222222 ; 0.235294 ; 0.222222 ; 0.142857 ; 0.28 ; 0.166667 ; 0.285714 ; 0.181818 ; 0.133333 ; 0.125 ; 0.222222 ; 0.142857 ; 0.129032 ; 0.4 ; 0.125 ; 0.0666667 ; 0.1 ; 0.125 ; 0.0666667 ; 0.0588235 ; 0.125 ; 0.0666667 ; 0.0666667 ; 0.142857 ; 0.142857 ; 0.235294
données bn:00025314n ; 0.0526316 ; 0.173913 ; 0.173913 ; 1 ; 0.722222 ; 0.615385 ; 0.421053 ; 0.235294 ; 0.538462 ; 0.105263 ; 0.0714286 ; 0.148148 ; 0.173913 ; 0.133333 ; 0.190476 ; 0.269231 ; 0.307692 ; 0.235294 ; 0.0714286 ; 0.619048 ; 0.173913 ; 0.0625 ; 0.0714286 ; 0.105263 ; 0.0625 ; 0.0714286 ; 0.0625 ; 0.307692 ; 0.153846 ; 0.153846 ; 0.153846 ; 0.153846 ; 0.538462
base de donnees bn:00025333n ; 0.0869565 ; 0.28 ; 0.142857 ; 0.722222 ; 1 ; 0.444444 ; 0.333333 ; 0.181818 ; 0.388889 ; 0.0833333 ; 0.0526316 ; 0.241379 ; 0.142857 ; 0.1 ; 0.153846 ; 0.225806 ; 0.222222 ; 0.181818 ; 0.0526316 ; 0.5 ; 0.142857 ; 0.047619 ; 0.0526316 ; 0.0833333 ; 0.1 ; 0.0526316 ; 0.1 ; 0.222222 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.388889
site bn:00047172n ; 0.0714286 ; 0.222222 ; 0.222222 ; 0.615385 ; 0.444444 ; 1 ; 0.571429 ; 0.142857 ; 0.363636 ; 0.142857 ; 0.111111 ; 0.181818 ; 0.222222 ; 0.2 ; 0.111111 ; 0.166667 ; 0.2 ; 0.333333 ; 0.111111 ; 0.380952 ; 0.1 ; 0.0909091 ; 0.111111 ; 0.0666667 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.5 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.363636
client web bn:00013447n ; 0.105263 ; 0.4 ; 0.4 ; 0.421053 ; 0.333333 ; 0.571429 ; 1 ; 0.222222 ; 0.235294 ; 0.222222 ; 0.142857 ; 0.28 ; 0.333333 ; 0.285714 ; 0.0833333 ; 0.133333 ; 0.125 ; 0.222222 ; 0.0666667 ; 0.296296 ; 0.166667 ; 0.0588235 ; 0.0666667 ; 0.1 ; 0.125 ; 0.0666667 ; 0.0588235 ; 0.285714 ; 0.0666667 ; 0.0666667 ; 0.142857 ; 0.142857 ; 0.235294
langage de script bn:01431715n ; 0.153846 ; 0.222222 ; 0.222222 ; 0.235294 ; 0.181818 ; 0.142857 ; 0.222222 ; 1 ; 0.363636 ; 0.142857 ; 0.25 ; 0.0833333 ; 0.1 ; 0.2 ; 0.25 ; 0.166667 ; 0.5 ; 0.142857 ; 0.111111 ; 0.16 ; 0.571429 ; 0.0909091 ; 0.111111 ; 0.333333 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.2 ; 0.25 ; 0.25 ; 0.111111 ; 0.25 ; 0.363636
nombre bn:00058285n ; 0.0769231 ; 0.235294 ; 0.235294 ; 0.538462 ; 0.388889 ; 0.363636 ; 0.235294 ; 0.363636 ; 1 ; 0.153846 ; 0.125 ; 0.0869565 ; 0.105263 ; 0.222222 ; 0.266667 ; 0.173913 ; 0.571429 ; 0.153846 ; 0.125 ; 0.333333 ; 0.235294 ; 0.1 ; 0.125 ; 0.153846 ; 0.1 ; 0.125 ; 0.1 ; 0.222222 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.285714 ; 1
sélectionner bn:00084931v ; 0.153846 ; 0.222222 ; 0.222222 ; 0.105263 ; 0.0833333 ; 0.142857 ; 0.222222 ; 0.142857 ; 0.153846 ; 1 ; 0.25 ; 0.181818 ; 0.571429 ; 0.5 ; 0.111111 ; 0.0769231 ; 0.0909091 ; 0.0666667 ; 0.111111 ; 0.16 ; 0.1 ; 0.2 ; 0.25 ; 0.333333 ; 0.2 ; 0.25 ; 0.2 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.25 ; 0.111111 ; 0.153846
