Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
50;3;Attributes;2;3;C16;C18;C9;
51;2;Objects;2;2;programmation bn:00021493n;types bn:00016413n;
51;2;Attributes;2;2;C12;C16;
52;3;Objects;2;3;types bn:00016413n;langage de script bn:01431715n;
52;3;Attributes;2;3;C12;C17;C9;
53;3;Objects;2;3;types bn:00016413n;chaîne bn:00074685n;
53;3;Attributes;2;3;C12;C17;C18;
54;2;Objects;2;2;chaîne bn:00074685n;timestamp bn:03603649n;
54;2;Attributes;2;2;C3;C7;
55;2;Objects;2;2;web bn:00080772n;programmation web bn:03446093n;
55;2;Attributes;2;2;C14;C16;
56;2;Objects;3;2;navigateur bn:00013447n;nombre bn:00058285n;mysql bn:01225760n;
56;2;Attributes;3;2;C1;C18;
57;2;Objects;3;2;client bn:00019764n;donnée bn:00025314n;cle bn:04756252n;
57;2;Attributes;3;2;C18;C8;
58;2;Objects;3;2;client bn:00019764n;url bn:00079080n;site bn:00047172n;
58;2;Attributes;3;2;C13;C7;
59;2;Objects;3;2;client bn:00019764n;case à cocher bn:03157691n;types bn:00016413n;
59;2;Attributes;3;2;C16;C2;
60;3;Objects;3;3;client bn:00019764n;nombre bn:00058285n;serveur bn:00044916n;
60;3;Attributes;3;3;C13;C18;C2;
61;2;Objects;3;2;client bn:00019764n;text bn:14981519n;site bn:00047172n;
61;2;Attributes;3;2;C13;C8;
62;2;Objects;3;2;client bn:00019764n;mysql bn:01225760n;types bn:00016413n;
62;2;Attributes;3;2;C16;C18;
63;2;Objects;3;2;client bn:00019764n;foreach bn:03463379n;classes bn:03608262n;
63;2;Attributes;3;2;C16;C8;
64;3;Objects;3;4;base de donnée bn:00025333n;donnée bn:00025314n;nombre bn:00058285n;
64;3;Attributes;3;4;C11;C15;C18;C6;
65;3;Objects;3;3;donnée bn:00025314n;nombre bn:00058285n;mysql bn:01225760n;
65;3;Attributes;3;3;C11;C18;C9;
66;2;Objects;3;2;donnée bn:00025314n;nombre bn:00058285n;afficher bn:00087013v;
66;2;Attributes;3;2;C15;C9;
67;2;Objects;3;2;php bn:01753580n;langage bn:00049910n;chaîne bn:00074685n;
67;2;Attributes;3;2;C12;C7;
68;3;Objects;3;3;post bn:01500184n;site bn:00047172n;foreach bn:03463379n;
68;3;Attributes;3;3;C19;C7;C8;
69;2;Objects;3;2;nombre bn:00058285n;zones bn:00005513n;mysql bn:01225760n;
69;2;Attributes;3;2;C1;C9;
70;2;Objects;3;2;nombre bn:00058285n;types bn:00016413n;langage de script bn:01431715n;
70;2;Attributes;3;2;C17;C9;
71;2;Objects;3;2;nombre bn:00058285n;types bn:00016413n;chaîne bn:00074685n;
71;2;Attributes;3;2;C17;C18;
72;2;Objects;3;2;nombre bn:00058285n;langage de script bn:01431715n;nécessaire bn:00107182a;
72;2;Attributes;3;2;C11;C17;
73;2;Objects;4;2;fichier bn:00021475n;commentaire bn:00020978n;nombre bn:00058285n;types bn:00016413n;
73;2;Attributes;4;2;C17;C2;
74;2;Objects;4;2;client bn:00019764n;nombre bn:00058285n;types bn:00016413n;serveur bn:00044916n;
74;2;Attributes;4;2;C18;C2;
75;2;Objects;4;2;client bn:00019764n;case bn:04777941n;chaîne bn:00074685n;header bn:00043309n;
75;2;Attributes;4;2;C18;C7;
76;2;Objects;4;2;base de donnée bn:00025333n;donnée bn:00025314n;nombre bn:00058285n;mysql bn:01225760n;
76;2;Attributes;4;2;C11;C18;
77;2;Objects;4;2;base de donnée bn:00025333n;donnée bn:00025314n;nombre bn:00058285n;null bn:15898583n;
77;2;Attributes;4;2;C18;C6;
78;2;Objects;4;2;donnée bn:00025314n;nombre bn:00058285n;mysql bn:01225760n;types bn:00016413n;
78;2;Attributes;4;2;C18;C9;
79;2;Objects;4;2;donnée bn:00025314n;nombre bn:00058285n;mysql bn:01225760n;langage de script bn:01431715n;
79;2;Attributes;4;2;C11;C9;
80;2;Objects;4;2;code bn:00020354n;post bn:01500184n;site bn:00047172n;foreach bn:03463379n;
80;2;Attributes;4;2;C19;C8;
81;2;Objects;4;2;code bn:00020354n;nombre bn:00058285n;chaîne bn:00074685n;echo bn:03626250n;
81;2;Attributes;4;2;C17;C3;
82;2;Objects;4;2;post bn:01500184n;site bn:00047172n;foreach bn:03463379n;header bn:00043309n;
82;2;Attributes;4;2;C19;C7;
83;2;Objects;4;2;syntaxe bn:00062118n;types bn:00016413n;langage de script bn:01431715n;chaîne bn:00074685n;
83;2;Attributes;4;2;C12;C17;
84;2;Objects;5;2;client bn:00019764n;php bn:01753580n;post bn:01500184n;site bn:00047172n;foreach bn:03463379n;
84;2;Attributes;5;2;C7;C8;
85;1;Objects;6;1;post bn:01500184n;méthode post bn:00045088n;langage de script bn:01431715n;list bn:04720346n;positionnement bn:00030615n;info bn:00046698n;
85;1;Attributes;6;1;C4;
86;1;Objects;7;1;base de donnée bn:00025333n;donnée bn:00025314n;nombre bn:00058285n;personne bn:00046516n;varchar bn:01838409n;insert bn:03795444n;null bn:15898583n;
86;1;Attributes;7;1;C6;
87;1;Objects;8;1;fichier bn:00021475n;base de donnée bn:00025333n;donnée bn:00025314n;nombre bn:00058285n;définition bn:00025928n;afficher bn:00087013v;méthode bn:01641329n;rue bn:00074595n;
87;1;Attributes;8;1;C15;
88;1;Objects;8;1;client bn:00019764n;php bn:01753580n;méthode post bn:00045088n;composer bn:14766022n;configuration bn:03088982n;xml bn:02771436n;doctype bn:15839327n;symfony bn:02798620n;
88;1;Attributes;8;1;C5;
89;1;Objects;9;1;code bn:00020354n;commentaire bn:00020978n;gras bn:00011848n;lien hypertextes bn:00045513n;text bn:14981519n;méthode post bn:00045088n;web bn:00080772n;programmation web bn:03446093n;thomas bn:00005240n;
89;1;Attributes;9;1;C14;
90;1;Objects;9;1;code bn:00020354n;nombre bn:00058285n;class bn:03598962n;chaîne bn:00074685n;méthode bn:01641329n;timestamp bn:03603649n;echo bn:03626250n;file bn:00065682n;exception bn:00032118n;
90;1;Attributes;9;1;C3;
