X ; C1 ; C11 ; C12 ; C13 ; C14 ; C15 ; C16 ; C17 ; C18 ; C19 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
page web bn:00080778n ; 0 ; 0.180038 ; 0.18645 ; 0.122211 ; 0.202783 ; 0.192118 ; 0 ; 0.171783 ; 0.180128 ; 0.189031 ; 0 ; 0.19685 ; 0 ; 0.184687 ; 0.182994 ; 0 ; 0.107949 ; 0
navigateur bn:00013447n ; 0 ; 0 ; 0.0951417 ; 0.127986 ; 0.103766 ; 0 ; 0.111399 ; 0 ; 0 ; 0 ; 0.117808 ; 0.0769231 ; 0 ; 0.0820896 ; 0.0949602 ; 0.101124 ; 0.134409 ; 0.0863609
serveur web bn:02705179n ; 0 ; 0.400197 ; 0.350327 ; 0.097181 ; 0.274137 ; 0.340633 ; 0.215327 ; 0.293631 ; 0.264144 ; 0.329598 ; 0.132824 ; 0.478814 ; 0.231575 ; 0.480282 ; 0.409502 ; 0 ; 0 ; 0.361864
fichier bn:00021475n ; 0.124607 ; 0.116242 ; 0.114577 ; 0.145138 ; 0.133125 ; 0 ; 0.142973 ; 0 ; 0.121858 ; 0 ; 0 ; 0 ; 0 ; 0.119342 ; 0.128152 ; 0 ; 0.135821 ; 0.14554
client bn:00019764n ; 0.0823864 ; 0 ; 0.0473071 ; 0 ; 0.0637301 ; 0.0541872 ; 0 ; 0.0629771 ; 0 ; 0.0479082 ; 0 ; 0.0484447 ; 0.0739979 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0399113 ; 0 ; 0 ; 0 ; 0.0520629 ; 0.0515063 ; 0 ; 0.0460798 ; 0 ; 0.039548 ; 0.0508299 ; 0.0308672 ; 0 ; 0.132231 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0 ; 0.047619 ; 0 ; 0 ; 0 ; 0.0530452 ; 0 ; 0 ; 0.047488 ; 0.0987203 ; 0.0363357 ; 0.0496894 ; 0.0333824 ; 0 ; 0.122449 ; 0 ; 0
php bn:01753580n ; 0 ; 0.0739679 ; 0 ; 0.12249 ; 0.0934412 ; 0 ; 0.083181 ; 0.0952381 ; 0.0799305 ; 0 ; 0 ; 0 ; 0.0836538 ; 0 ; 0.0768386 ; 0 ; 0 ; 0.0796238
javascript bn:00055423n ; 0.161966 ; 0.352575 ; 0.316451 ; 0.101271 ; 0.253174 ; 0.346726 ; 0.250485 ; 0.266536 ; 0 ; 0.288118 ; 0.136608 ; 0.445675 ; 0.241474 ; 0.390594 ; 0.339806 ; 0 ; 0 ; 0.308977
code bn:00020354n ; 0 ; 0 ; 0 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0.0108588 ; 0 ; 0 ; 0 ; 0.0133929 ; 0 ; 0.00868056 ; 0 ; 0 ; 0.00872483
texte bn:00076732n ; 0 ; 0 ; 0.17806 ; 0 ; 0.21764 ; 0.189781 ; 0.187539 ; 0.229275 ; 0.19252 ; 0.217822 ; 0 ; 0.254417 ; 0 ; 0.215148 ; 0.195691 ; 0.0867398 ; 0 ; 0.194089
concerner bn:00083240v ; 0 ; 0.116216 ; 0 ; 0 ; 0 ; 0.122229 ; 0 ; 0.165407 ; 0.135285 ; 0.127778 ; 0 ; 0.101655 ; 0.131218 ; 0.115224 ; 0.11433 ; 0.0943396 ; 0 ; 0
