X ; C12 ; C13 ; C14 ; C15 ; C16 ; C19 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
C12 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.666667 ; 1 ; 0.666667 ; 0.333333 ; 1 ; 0.666667 ; 0.333333
C13 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.25 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333
C14 ; 0.333333 ; 0.333333 ; 1 ; 0.142857 ; 0.25 ; 0.5 ; 0.333333 ; 0.5 ; 0.142857 ; 0.333333 ; 0.5 ; 0.333333
C15 ; 0.333333 ; 0.333333 ; 0.142857 ; 1 ; 0.2 ; 0.25 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333
C16 ; 0.2 ; 0.2 ; 0.25 ; 0.2 ; 1 ; 0.166667 ; 0.2 ; 0.166667 ; 0.5 ; 0.2 ; 0.166667 ; 0.5
C19 ; 0.666667 ; 0.25 ; 0.5 ; 0.25 ; 0.166667 ; 1 ; 0.666667 ; 1 ; 0.25 ; 0.666667 ; 1 ; 0.25
C4 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.666667 ; 1 ; 0.666667 ; 0.333333 ; 1 ; 0.666667 ; 0.333333
C5 ; 0.666667 ; 0.25 ; 0.5 ; 0.25 ; 0.166667 ; 1 ; 0.666667 ; 1 ; 0.25 ; 0.666667 ; 1 ; 0.25
C6 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.5 ; 0.25 ; 0.333333 ; 0.25 ; 1 ; 0.333333 ; 0.25 ; 0.333333
C7 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.666667 ; 1 ; 0.666667 ; 0.333333 ; 1 ; 0.666667 ; 0.333333
C8 ; 0.666667 ; 0.25 ; 0.5 ; 0.25 ; 0.166667 ; 1 ; 0.666667 ; 1 ; 0.25 ; 0.666667 ; 1 ; 0.25
C9 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.25 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.25 ; 1
