Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;5;Objects;0;18;
0;5;Attributes;0;18;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9;
1;3;Objects;1;4;fichier bn:00021475n;
1;3;Attributes;1;4;C15;C17;C19;C2;
2;4;Objects;1;7;client bn:00019764n;
2;4;Attributes;1;7;C13;C16;C18;C2;C5;C7;C8;
3;3;Objects;1;6;donnée bn:00025314n;
3;3;Attributes;1;6;C11;C15;C18;C6;C8;C9;
4;3;Objects;1;4;php bn:01753580n;
4;3;Attributes;1;4;C12;C2;C5;C8;
5;2;Objects;1;2;texte bn:00076732n;
5;2;Attributes;1;2;C1;C13;
6;3;Objects;1;3;commentaire bn:00020978n;
6;3;Attributes;1;3;C14;C17;C2;
7;2;Objects;1;2;délimiter bn:00086464v;
7;2;Attributes;1;2;C1;C2;
8;2;Objects;1;2;fois bn:00032768n;
8;2;Attributes;1;2;C17;C8;
9;3;Objects;1;4;text bn:14981519n;
9;3;Attributes;1;4;C13;C14;C8;C9;
10;2;Objects;1;2;zones bn:00005513n;
10;2;Attributes;1;2;C1;C9;
11;2;Objects;1;3;utilisateur bn:00079373n;
11;2;Attributes;1;3;C1;C16;C19;
12;2;Objects;1;2;personne bn:00046516n;
12;2;Attributes;1;2;C1;C6;
13;3;Objects;1;4;méthode post bn:00045088n;
13;3;Attributes;1;4;C12;C14;C4;C5;
14;4;Objects;1;4;site bn:00047172n;
14;4;Attributes;1;4;C13;C19;C7;C8;
15;4;Objects;1;6;types bn:00016413n;
15;4;Attributes;1;6;C12;C16;C17;C18;C2;C9;
16;4;Objects;1;5;langage de script bn:01431715n;
16;4;Attributes;1;5;C11;C12;C17;C4;C9;
17;2;Objects;1;2;afficher bn:00087013v;
17;2;Attributes;1;2;C19;C9;
18;2;Objects;1;2;class bn:03598962n;
18;2;Attributes;1;2;C3;C8;
19;3;Objects;1;5;chaîne bn:00074685n;
19;3;Attributes;1;5;C12;C17;C18;C3;C7;
20;2;Objects;1;3;méthode bn:01641329n;
20;2;Attributes;1;3;C15;C16;C3;
21;2;Objects;1;2;programmation web bn:03446093n;
21;2;Attributes;1;2;C14;C16;
22;3;Objects;1;3;header bn:00043309n;
22;3;Attributes;1;3;C18;C19;C7;
23;2;Objects;2;2;navigateur bn:00013447n;mysql bn:01225760n;
23;2;Attributes;2;2;C1;C18;
24;2;Objects;2;3;client bn:00019764n;php bn:01753580n;
