X ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; nombre bn:00058285n ; salaire bn:15928884n ; site bn:00047172n ; types bn:00016413n ; langage de script bn:01431715n ; serveur bn:00044916n ; chaîne bn:00074685n ; helvetica bn:00043646n ; pouvoir bn:00084451v ; positionnement bn:00030615n ; thomas bn:00005240n ; symfony bn:02798620n ; inverse bn:00056301n ; info bn:00046698n ; realisateur bn:00027369n ; généralité bn:00041249n ; autre bn:00108013a
fichier bn:00021475n ; 1 ; 0.0909091 ; 0.0740741 ; 0.0689655 ; 0.307692 ; 0.2 ; 0.0952381 ; 0.111111 ; 0.111111 ; 0.08 ; 0.181818 ; 0.25 ; 0.166667 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857
client bn:00019764n ; 0.0909091 ; 1 ; 0.322581 ; 0.264706 ; 0.0740741 ; 0.0909091 ; 0.296296 ; 0.222222 ; 0.185185 ; 0.3 ; 0.117647 ; 0.047619 ; 0.181818 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.0526316 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.0526316 ; 0.0526316 ; 0.0526316
base de donnée bn:00025333n ; 0.0740741 ; 0.322581 ; 1 ; 0.777778 ; 0.0625 ; 0.0740741 ; 0.333333 ; 0.08 ; 0.37037 ; 0.257143 ; 0.194444 ; 0.08 ; 0.148148 ; 0.0416667 ; 0.0416667 ; 0.0869565 ; 0.0416667 ; 0.0869565 ; 0.0869565 ; 0.0869565 ; 0.0869565 ; 0.0416667 ; 0.0416667
donnée bn:00025314n ; 0.0689655 ; 0.264706 ; 0.777778 ; 1 ; 0.0588235 ; 0.0689655 ; 0.3125 ; 0.0740741 ; 0.444444 ; 0.243243 ; 0.25 ; 0.0740741 ; 0.137931 ; 0.0384615 ; 0.0384615 ; 0.08 ; 0.0384615 ; 0.08 ; 0.08 ; 0.08 ; 0.08 ; 0.0384615 ; 0.0384615
php bn:01753580n ; 0.307692 ; 0.0740741 ; 0.0625 ; 0.0588235 ; 1 ; 0.214286 ; 0.0769231 ; 0.0714286 ; 0.0869565 ; 0.185185 ; 0.409091 ; 0.363636 ; 0.117647 ; 0.181818 ; 0.0833333 ; 0.0833333 ; 0.181818 ; 0.0833333 ; 0.0833333 ; 0.0833333 ; 0.0833333 ; 0.181818 ; 0.181818
code bn:00020354n ; 0.2 ; 0.0909091 ; 0.0740741 ; 0.0689655 ; 0.214286 ; 1 ; 0.0952381 ; 0.111111 ; 0.0526316 ; 0.08 ; 0.130435 ; 0.25 ; 0.0769231 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.333333
nombre bn:00058285n ; 0.0952381 ; 0.296296 ; 0.333333 ; 0.3125 ; 0.0769231 ; 0.0952381 ; 1 ; 0.105263 ; 0.148148 ; 0.310345 ; 0.233333 ; 0.05 ; 0.470588 ; 0.117647 ; 0.0555556 ; 0.117647 ; 0.0555556 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.0555556 ; 0.0555556
salaire bn:15928884n ; 0.111111 ; 0.222222 ; 0.08 ; 0.0740741 ; 0.0714286 ; 0.111111 ; 0.105263 ; 1 ; 0.0588235 ; 0.190476 ; 0.0909091 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2
site bn:00047172n ; 0.111111 ; 0.185185 ; 0.37037 ; 0.444444 ; 0.0869565 ; 0.0526316 ; 0.148148 ; 0.0588235 ; 1 ; 0.129032 ; 0.172414 ; 0.125 ; 0.1 ; 0.0666667 ; 0.0666667 ; 0.142857 ; 0.0666667 ; 0.0666667 ; 0.0666667 ; 0.0666667 ; 0.142857 ; 0.0666667 ; 0.0666667
types bn:00016413n ; 0.08 ; 0.3 ; 0.257143 ; 0.243243 ; 0.185185 ; 0.08 ; 0.310345 ; 0.190476 ; 0.129032 ; 1 ; 0.322581 ; 0.0869565 ; 0.318182 ; 0.0952381 ; 0.0952381 ; 0.0454545 ; 0.0952381 ; 0.0952381 ; 0.0952381 ; 0.0952381 ; 0.0952381 ; 0.0952381 ; 0.0952381
