X ; C1 ; C11 ; C12 ; C13 ; C14 ; C15 ; C16 ; C17 ; C18 ; C19 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
C1 ; 1 ; 0.129032 ; 0.0645161 ; 0.0909091 ; 0.0714286 ; 0.133333 ; 0.121212 ; 0.0454545 ; 0.1 ; 0.114286 ; 0.0810811 ; 0.0666667 ; 0.16 ; 0.0869565 ; 0.09375 ; 0.0555556 ; 0.0714286 ; 0.108696
C11 ; 0.129032 ; 1 ; 0.0666667 ; 0.0606061 ; 0.0357143 ; 0.178571 ; 0.0588235 ; 0.125 ; 0.2 ; 0.0555556 ; 0.0540541 ; 0.0689655 ; 0.0769231 ; 0.0434783 ; 0.307692 ; 0.0277778 ; 0.047619 ; 0.315789
C12 ; 0.0645161 ; 0.0666667 ; 1 ; 0.03125 ; 0.08 ; 0.0689655 ; 0.0967742 ; 0.194444 ; 0.0833333 ; 0.0285714 ; 0.121212 ; 0.0740741 ; 0.181818 ; 0.222222 ; 0.0322581 ; 0.129032 ; 0.05 ; 0.0909091
C13 ; 0.0909091 ; 0.0606061 ; 0.03125 ; 1 ; 0.153846 ; 0.0625 ; 0.0571429 ; 0.0952381 ; 0.222222 ; 0.0540541 ; 0.176471 ; 0.0666667 ; 0.0357143 ; 0.0869565 ; 0.129032 ; 0.151515 ; 0.184211 ; 0.159091
C14 ; 0.0714286 ; 0.0357143 ; 0.08 ; 0.153846 ; 1 ; 0.0769231 ; 0.107143 ; 0.142857 ; 0.0425532 ; 0.0645161 ; 0.0967742 ; 0.0833333 ; 0.0952381 ; 0.117647 ; 0.0357143 ; 0.0322581 ; 0.147059 ; 0.0465116
C15 ; 0.133333 ; 0.178571 ; 0.0689655 ; 0.0625 ; 0.0769231 ; 1 ; 0.0606061 ; 0.1 ; 0.104167 ; 0.121212 ; 0.117647 ; 0.25 ; 0.173913 ; 0.0952381 ; 0.178571 ; 0.0285714 ; 0.0487805 ; 0.139535
C16 ; 0.121212 ; 0.0588235 ; 0.0967742 ; 0.0571429 ; 0.107143 ; 0.0606061 ; 1 ; 0.0444444 ; 0.142857 ; 0.111111 ; 0.138889 ; 0.0645161 ; 0.0344828 ; 0.0833333 ; 0.0285714 ; 0.114286 ; 0.15 ; 0.0833333
C17 ; 0.0454545 ; 0.125 ; 0.194444 ; 0.0952381 ; 0.142857 ; 0.1 ; 0.0444444 ; 1 ; 0.203704 ; 0.0888889 ; 0.282051 ; 0.272727 ; 0.114286 ; 0.0294118 ; 0.0465116 ; 0.0434783 ; 0.0576923 ; 0.150943
C18 ; 0.1 ; 0.2 ; 0.0833333 ; 0.222222 ; 0.0425532 ; 0.104167 ; 0.142857 ; 0.203704 ; 1 ; 0.0545455 ; 0.229167 ; 0.0851064 ; 0.0212766 ; 0.047619 ; 0.227273 ; 0.14 ; 0.122807 ; 0.272727
C19 ; 0.114286 ; 0.0555556 ; 0.0285714 ; 0.0540541 ; 0.0645161 ; 0.121212 ; 0.111111 ; 0.0888889 ; 0.0545455 ; 1 ; 0.0487805 ; 0.129032 ; 0.142857 ; 0.037037 ; 0.117647 ; 0.205882 ; 0.170732 ; 0.125
C2 ; 0.0810811 ; 0.0540541 ; 0.121212 ; 0.176471 ; 0.0967742 ; 0.117647 ; 0.138889 ; 0.282051 ; 0.229167 ; 0.0487805 ; 1 ; 0.125 ; 0.0645161 ; 0.16 ; 0.0540541 ; 0.135135 ; 0.0888889 ; 0.0784314
C3 ; 0.0666667 ; 0.0689655 ; 0.0740741 ; 0.0666667 ; 0.0833333 ; 0.25 ; 0.0645161 ; 0.272727 ; 0.0851064 ; 0.129032 ; 0.125 ; 1 ; 0.0869565 ; 0.05 ; 0.0689655 ; 0.0967742 ; 0.0789474 ; 0.0444444
C4 ; 0.16 ; 0.0769231 ; 0.181818 ; 0.0357143 ; 0.0952381 ; 0.173913 ; 0.0344828 ; 0.114286 ; 0.0212766 ; 0.142857 ; 0.0645161 ; 0.0869565 ; 1 ; 0.125 ; 0.037037 ; 0.0689655 ; 0.0555556 ; 0.047619
C5 ; 0.0869565 ; 0.0434783 ; 0.222222 ; 0.0869565 ; 0.117647 ; 0.0952381 ; 0.0833333 ; 0.0294118 ; 0.047619 ; 0.037037 ; 0.16 ; 0.05 ; 0.125 ; 1 ; 0.0434783 ; 0.173913 ; 0.133333 ; 0.025641
C6 ; 0.09375 ; 0.307692 ; 0.0322581 ; 0.129032 ; 0.0357143 ; 0.178571 ; 0.0285714 ; 0.0465116 ; 0.227273 ; 0.117647 ; 0.0540541 ; 0.0689655 ; 0.037037 ; 0.0434783 ; 1 ; 0.0571429 ; 0.1 ; 0.315789
C7 ; 0.0555556 ; 0.0277778 ; 0.129032 ; 0.151515 ; 0.0322581 ; 0.0285714 ; 0.114286 ; 0.0434783 ; 0.14 ; 0.205882 ; 0.135135 ; 0.0967742 ; 0.0689655 ; 0.173913 ; 0.0571429 ; 1 ; 0.305556 ; 0.0392157
C8 ; 0.0714286 ; 0.047619 ; 0.05 ; 0.184211 ; 0.147059 ; 0.0487805 ; 0.15 ; 0.0576923 ; 0.122807 ; 0.170732 ; 0.0888889 ; 0.0789474 ; 0.0555556 ; 0.133333 ; 0.1 ; 0.305556 ; 1 ; 0.132075
C9 ; 0.108696 ; 0.315789 ; 0.0909091 ; 0.159091 ; 0.0465116 ; 0.139535 ; 0.0833333 ; 0.150943 ; 0.272727 ; 0.125 ; 0.0784314 ; 0.0444444 ; 0.047619 ; 0.025641 ; 0.315789 ; 0.0392157 ; 0.132075 ; 1
