Attributes;Weight
C1;0.177228
C11;0.453633
C12;0.372285
C13;0.0898876
C14;0.277303
C15;0.517154
C16;0.268315
C17;0.347116
C18;0.28794
C19;0.558951
C2;0.172285
C3;0.439251
C4;0.24015
C5;0.404794
C6;0.4
C7;0.0726592
C8;0.0829963
C9;0.430861
