X ; C1 ; C11 ; C12 ; C13 ; C14 ; C15 ; C16 ; C17 ; C18 ; C19 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9
page web bn:00080778n ; 0 ; 0.103714 ; 0.0916094 ; 0.034663 ; 0.0841816 ; 0.0965612 ; 0 ; 0.0723521 ; 0.077304 ; 0.0976616 ; 0 ; 0.123796 ; 0 ; 0.12077 ; 0.108941 ; 0 ; 0.0302613 ; 0
navigateur bn:00013447n ; 0 ; 0 ; 0.0387895 ; 0.0206327 ; 0.0341128 ; 0 ; 0.0354883 ; 0 ; 0 ; 0 ; 0.0236589 ; 0.0440165 ; 0 ; 0.0484182 ; 0.0492435 ; 0.0123796 ; 0.0206327 ; 0.03989
serveur web bn:02705179n ; 0 ; 0.335901 ; 0.27978 ; 0.072077 ; 0.21403 ; 0.278129 ; 0.174691 ; 0.224484 ; 0.209354 ; 0.275103 ; 0.100413 ; 0.404127 ; 0.182393 ; 0.412105 ; 0.348556 ; 0 ; 0 ; 0.301238
fichier bn:00021475n ; 0.0327373 ; 0.0602476 ; 0.0495186 ; 0.0275103 ; 0.0467675 ; 0 ; 0.0486933 ; 0 ; 0.0440165 ; 0 ; 0 ; 0 ; 0 ; 0.0718019 ; 0.0685007 ; 0 ; 0.0250344 ; 0.0682256
client bn:00019764n ; 0.015956 ; 0 ; 0.0178817 ; 0 ; 0.018707 ; 0.0211829 ; 0 ; 0.0181568 ; 0 ; 0.0195323 ; 0 ; 0.0261348 ; 0.0198074 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0148556 ; 0 ; 0 ; 0 ; 0.0145805 ; 0.0145805 ; 0 ; 0.0184319 ; 0 ; 0.0211829 ; 0.0134801 ; 0.0173315 ; 0 ; 0.0088033 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0 ; 0.0176066 ; 0 ; 0 ; 0 ; 0.0148556 ; 0 ; 0 ; 0.0189821 ; 0.0148556 ; 0.0195323 ; 0.013205 ; 0.018707 ; 0 ; 0.00825309 ; 0 ; 0
php bn:01753580n ; 0 ; 0.0354883 ; 0 ; 0.0167813 ; 0.0286107 ; 0 ; 0.0250344 ; 0.0286107 ; 0.0253095 ; 0 ; 0 ; 0 ; 0.023934 ; 0 ; 0.0385144 ; 0 ; 0 ; 0.0349381
javascript bn:00055423n ; 0.110591 ; 0.280605 ; 0.235488 ; 0.0657497 ; 0.181018 ; 0.256396 ; 0.177717 ; 0.187345 ; 0 ; 0.226135 ; 0.0910591 ; 0.354333 ; 0.169464 ; 0.329023 ; 0.27923 ; 0 ; 0 ; 0.244292
code bn:00020354n ; 0 ; 0 ; 0 ; 0.00275103 ; 0 ; 0 ; 0 ; 0 ; 0.00302613 ; 0 ; 0 ; 0 ; 0.00330124 ; 0 ; 0.00412655 ; 0 ; 0 ; 0.00357634
texte bn:00076732n ; 0 ; 0 ; 0.0924347 ; 0 ; 0.0943604 ; 0.100138 ; 0.0819807 ; 0.0973865 ; 0.0863824 ; 0.114993 ; 0 ; 0.158459 ; 0 ; 0.142228 ; 0.119945 ; 0.023934 ; 0 ; 0.108391
concerner bn:00083240v ; 0 ; 0.0591472 ; 0 ; 0 ; 0 ; 0.0530949 ; 0 ; 0.0541953 ; 0.0470426 ; 0.0569464 ; 0 ; 0.0591472 ; 0.0420908 ; 0.0685007 ; 0.0607978 ; 0.0137552 ; 0 ; 0
commentaire bn:00020978n ; 0.037414 ; 0.077304 ; 0.066575 ; 0 ; 0 ; 0.0594223 ; 0.0577717 ; 0 ; 0 ; 0.0701513 ; 0 ; 0.0888583 ; 0.0522696 ; 0.0841816 ; 0 ; 0 ; 0.0357634 ; 0.0715268
délimiter bn:00086464v ; 0 ; 0.0244842 ; 0.0231087 ; 0 ; 0 ; 0.021458 ; 0 ; 0.0184319 ; 0 ; 0 ; 0 ; 0.0231087 ; 0.0220083 ; 0 ; 0.0231087 ; 0 ; 0.0112792 ; 0
gras bn:00011848n ; 0.00357634 ; 0 ; 0 ; 0.00330124 ; 0 ; 0.00440165 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00357634 ; 0.00357634 ; 0 ; 0 ; 0 ; 0 ; 0
fois bn:00032768n ; 0.0751032 ; 0.136726 ; 0.112792 ; 0 ; 0 ; 0.118845 ; 0.10619 ; 0 ; 0.113067 ; 0.138102 ; 0.0701513 ; 0.169739 ; 0 ; 0.170839 ; 0.15956 ; 0.0198074 ; 0 ; 0.134801
lien hypertextes bn:00045513n ; 0.050619 ; 0.0921596 ; 0 ; 0.0272352 ; 0 ; 0.0729023 ; 0 ; 0 ; 0.0657497 ; 0.069326 ; 0.0382393 ; 0 ; 0.0522696 ; 0.096011 ; 0.0938102 ; 0 ; 0.0250344 ; 0.080055
url bn:00079080n ; 0.0833563 ; 0.184594 ; 0.156259 ; 0 ; 0.125172 ; 0.158184 ; 0.113343 ; 0.125997 ; 0.114718 ; 0.162311 ; 0 ; 0.231637 ; 0.114718 ; 0.216231 ; 0 ; 0 ; 0 ; 0.163411
case à cocher bn:03157691n ; 0.026685 ; 0.0313618 ; 0 ; 0 ; 0.0244842 ; 0.0255846 ; 0 ; 0 ; 0.0258597 ; 0 ; 0 ; 0 ; 0.0220083 ; 0 ; 0.0272352 ; 0 ; 0 ; 0.0277854
post bn:01500184n ; 0 ; 0.0522696 ; 0.0495186 ; 0.0321871 ; 0.0420908 ; 0.047868 ; 0 ; 0 ; 0 ; 0 ; 0.0275103 ; 0.056121 ; 0 ; 0.0574966 ; 0.0555708 ; 0 ; 0 ; 0.050619
nombre bn:00058285n ; 0 ; 0 ; 0.00990371 ; 0 ; 0.0090784 ; 0 ; 0 ; 0 ; 0 ; 0.010729 ; 0 ; 0 ; 0.00770289 ; 0.0115543 ; 0 ; 0.00550206 ; 0.00825309 ; 0
text bn:14981519n ; 0.0627235 ; 0.118569 ; 0.09326 ; 0 ; 0 ; 0.0968363 ; 0.0764787 ; 0 ; 0.0819807 ; 0.104814 ; 0.0511692 ; 0.134525 ; 0.0778542 ; 0.139477 ; 0.116369 ; 0 ; 0 ; 0
sélectionner bn:00084931v ; 0.00110041 ; 0 ; 0 ; 0 ; 0 ; 0.00110041 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00110041 ; 0 ; 0 ; 0
langage bn:00049910n ; 0.00990371 ; 0 ; 0 ; 0 ; 0 ; 0.0143054 ; 0.0151307 ; 0 ; 0 ; 0.0170564 ; 0 ; 0.0184319 ; 0 ; 0.0176066 ; 0 ; 0 ; 0.0115543 ; 0.0167813
zones bn:00005513n ; 0 ; 0.00440165 ; 0 ; 0.00440165 ; 0.00440165 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00440165 ; 0 ; 0 ; 0.00440165 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0.126823 ; 0.104814 ; 0 ; 0.0885832 ; 0.104814 ; 0 ; 0.0929849 ; 0.0863824 ; 0 ; 0 ; 0.134525 ; 0.0828061 ; 0.139202 ; 0.116094 ; 0 ; 0 ; 0.0998624
affectation bn:02806034n ; 0.0145805 ; 0 ; 0 ; 0 ; 0.021458 ; 0.0242091 ; 0.0233838 ; 0.0211829 ; 0 ; 0 ; 0.015956 ; 0.0299862 ; 0 ; 0 ; 0.0280605 ; 0.010729 ; 0 ; 0
syntaxe bn:00062118n ; 0.0605227 ; 0.0976616 ; 0 ; 0 ; 0.069326 ; 0.0811554 ; 0.0671252 ; 0 ; 0 ; 0.0811554 ; 0 ; 0.10729 ; 0.0657497 ; 0.103439 ; 0.0885832 ; 0 ; 0 ; 0.0819807
case bn:04777941n ; 0.026685 ; 0.0371389 ; 0.0286107 ; 0 ; 0 ; 0.0368638 ; 0 ; 0.0308116 ; 0 ; 0 ; 0.0247593 ; 0.03989 ; 0 ; 0 ; 0.0382393 ; 0 ; 0 ; 0.0349381
associer bn:00082868v ; 0 ; 0.0940853 ; 0.0883081 ; 0.0330124 ; 0 ; 0.0924347 ; 0.0671252 ; 0.0753783 ; 0 ; 0.0863824 ; 0 ; 0.118294 ; 0 ; 0.108391 ; 0.0902338 ; 0 ; 0 ; 0.0984869
personne bn:00046516n ; 0 ; 0.0134801 ; 0.0148556 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.013205 ; 0.0121045 ; 0.0148556 ; 0 ; 0 ; 0.0123796 ; 0.0137552
structure de contrôle bn:00047734n ; 0.0618982 ; 0 ; 0 ; 0.0341128 ; 0.0913343 ; 0.114443 ; 0.0861073 ; 0.0885832 ; 0.0885832 ; 0.110316 ; 0.0530949 ; 0.140303 ; 0 ; 0.135351 ; 0.141953 ; 0 ; 0 ; 0.115268
définition bn:00025928n ; 0.0891334 ; 0.202201 ; 0.164237 ; 0 ; 0.1326 ; 0 ; 0.139752 ; 0.128198 ; 0.14663 ; 0.16121 ; 0 ; 0.228886 ; 0.123521 ; 0.242366 ; 0.196424 ; 0 ; 0 ; 0.191472
méthode post bn:00045088n ; 0 ; 0.0481431 ; 0 ; 0 ; 0 ; 0 ; 0.0418157 ; 0.0393398 ; 0.0396149 ; 0.0511692 ; 0.0297111 ; 0.058597 ; 0 ; 0 ; 0.0632737 ; 0.0162311 ; 0.0181568 ; 0.0517194
fermeture bn:16858148n ; 0.0291609 ; 0 ; 0.0420908 ; 0 ; 0 ; 0 ; 0.0431912 ; 0 ; 0.0368638 ; 0 ; 0 ; 0.0467675 ; 0.034663 ; 0.0594223 ; 0.0489684 ; 0 ; 0.0231087 ; 0.0495186
passwd bn:14874750n ; 0.000550206 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.000550206 ; 0 ; 0 ; 0 ; 0
machine bn:00054050n ; 0 ; 0.0492435 ; 0.0429161 ; 0 ; 0.0442916 ; 0.0459422 ; 0 ; 0 ; 0.0459422 ; 0.0486933 ; 0 ; 0.0602476 ; 0 ; 0.0552957 ; 0.0495186 ; 0 ; 0 ; 0
mysql bn:01225760n ; 0 ; 0 ; 0.0481431 ; 0.0184319 ; 0.0448418 ; 0.0525447 ; 0 ; 0.0440165 ; 0 ; 0.0464924 ; 0 ; 0.064099 ; 0.0412655 ; 0.0572215 ; 0.0486933 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.000550206 ; 0 ; 0 ; 0 ; 0.000550206 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
