X ; php bn:01753580n ; serveur bn:00044916n ; chaîne bn:00074685n ; nombre bn:00058285n ; fichiers bn:00021475n ; code bn:00020354n ; echo bn:03626250n ; files bn:00065682n ; class bn:03598962n ; configuration bn:03088982n ; insert bn:03795444n ; client bn:00019764n ; composer bn:14766022n ; null bn:15898583n
php bn:01753580n ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
serveur bn:00044916n ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
chaîne bn:00074685n ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
nombre bn:00058285n ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
fichiers bn:00021475n ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
code bn:00020354n ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
echo bn:03626250n ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
files bn:00065682n ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
class bn:03598962n ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
configuration bn:03088982n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333
insert bn:03795444n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333
client bn:00019764n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333
composer bn:14766022n ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
null bn:15898583n ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
