X ; php bn:01753580n ; script bn:01431715n ; langage bn:00049910n ; chaîne bn:00074685n ; programmation bn:00021493n ; timestamp bn:03603649n ; base de données bn:00025333n ; données bn:00025314n ; fichiers bn:00021475n ; code bn:00020354n ; texte bn:00076732n ; http bn:00045088n ; méthode bn:01641329n ; site bn:00047172n ; personne bn:00046516n ; xml bn:02771436n ; varchar bn:01838409n
php bn:01753580n ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
script bn:01431715n ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
langage bn:00049910n ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 1
chaîne bn:00074685n ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
programmation bn:00021493n ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
timestamp bn:03603649n ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
base de données bn:00025333n ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 1
données bn:00025314n ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 1
fichiers bn:00021475n ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
code bn:00020354n ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
texte bn:00076732n ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
http bn:00045088n ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
méthode bn:01641329n ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
site bn:00047172n ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 1
personne bn:00046516n ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 1
xml bn:02771436n ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333
varchar bn:01838409n ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 1
