X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10 ; CJA
C1 ; 1 ; 0.199187 ; 0.217532 ; 0.149194 ; 0.205776 ; 0.231884 ; 0.115 ; 0.0966184 ; 0.192171 ; 0.233227 ; 0.177122
C2 ; 0.199187 ; 1 ; 0.309211 ; 0.193798 ; 0.210169 ; 0.238908 ; 0.205882 ; 0.101322 ; 0.209459 ; 0.262346 ; 0.221429
C3 ; 0.217532 ; 0.309211 ; 1 ; 0.25974 ; 0.316265 ; 0.306785 ; 0.230189 ; 0.130137 ; 0.284457 ; 0.347107 ; 0.343949
C4 ; 0.149194 ; 0.193798 ; 0.25974 ; 1 ; 0.226148 ; 0.217241 ; 0.107981 ; 0.0810811 ; 0.216783 ; 0.266667 ; 0.202899
C5 ; 0.205776 ; 0.210169 ; 0.316265 ; 0.226148 ; 1 ; 0.386207 ; 0.122047 ; 0.111538 ; 0.318937 ; 0.287356 ; 0.237013
C6 ; 0.231884 ; 0.238908 ; 0.306785 ; 0.217241 ; 0.386207 ; 1 ; 0.114943 ; 0.113208 ; 0.283439 ; 0.304598 ; 0.252427
C7 ; 0.115 ; 0.205882 ; 0.230189 ; 0.107981 ; 0.122047 ; 0.114943 ; 1 ; 0.0722892 ; 0.125984 ; 0.162069 ; 0.129707
C8 ; 0.0966184 ; 0.101322 ; 0.130137 ; 0.0810811 ; 0.111538 ; 0.113208 ; 0.0722892 ; 1 ; 0.16 ; 0.272388 ; 0.156118
C9 ; 0.192171 ; 0.209459 ; 0.284457 ; 0.216783 ; 0.318937 ; 0.283439 ; 0.125984 ; 0.16 ; 1 ; 0.368902 ; 0.228296
C10 ; 0.233227 ; 0.262346 ; 0.347107 ; 0.266667 ; 0.287356 ; 0.304598 ; 0.162069 ; 0.272388 ; 0.368902 ; 1 ; 0.277286
CJA ; 0.177122 ; 0.221429 ; 0.343949 ; 0.202899 ; 0.237013 ; 0.252427 ; 0.129707 ; 0.156118 ; 0.228296 ; 0.277286 ; 1
