X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10 ; CJA
mysqli bn:01438356n ; 0 ; 0 ; 0 ; 0 ; 0.0171674 ; 0 ; 0 ; 0 ; 0.0235294 ; 0.0192308 ; 0
insert bn:03795444n ; 0 ; 0 ; 0.042328 ; 0 ; 0 ; 0 ; 0 ; 0.0987654 ; 0.045977 ; 0.0377358 ; 0
public bn:00109211a ; 0 ; 0 ; 0.0812183 ; 0 ; 0.0653061 ; 0.0701754 ; 0 ; 0 ; 0.0879121 ; 0.0727273 ; 0
france bn:00036202n ; 0 ; 0.00719424 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
pointeur bn:03222272n ; 0 ; 0 ; 0.010929 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0102564
list bn:04720346n ; 0 ; 0.0547945 ; 0.042328 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.045977 ; 0 ; 0.039801
casse bn:03225002n ; 0 ; 0 ; 0 ; 0 ; 0.00434783 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
timestamp bn:03603649n ; 0 ; 0.028169 ; 0 ; 0 ; 0.0171674 ; 0.0185185 ; 0 ; 0 ; 0 ; 0 ; 0
exceptions bn:00032118n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00515464
xml bn:02771436n ; 0 ; 0 ; 0.010929 ; 0 ; 0 ; 0.00934579 ; 0 ; 0 ; 0 ; 0 ; 0
echo bn:03626250n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00469484 ; 0 ; 0 ; 0 ; 0 ; 0
files bn:00065682n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0185185 ; 0.0512821 ; 0 ; 0 ; 0 ; 0.0203046
varchar bn:01838409n ; 0 ; 0 ; 0.010929 ; 0 ; 0.00865801 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
mise bn:00016287n ; 0 ; 0 ; 0.0216216 ; 0 ; 0 ; 0.0185185 ; 0 ; 0 ; 0.0235294 ; 0 ; 0
valeur bn:00079508n ; 0 ; 0 ; 0.010929 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0102564
composer bn:14766022n ; 0 ; 0 ; 0 ; 0.0268456 ; 0 ; 0.0185185 ; 0 ; 0 ; 0 ; 0 ; 0.0203046
positionnement bn:00030615n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00515464
null bn:15898583n ; 0 ; 0 ; 0 ; 0 ; 0.0171674 ; 0 ; 0 ; 0 ; 0.0235294 ; 0 ; 0.0203046
généralité bn:00041249n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00469484 ; 0 ; 0 ; 0 ; 0 ; 0
autre bn:00108013a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00469484 ; 0 ; 0 ; 0 ; 0 ; 0
avoir accès bn:00082209v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00934579 ; 0 ; 0 ; 0.0119048 ; 0 ; 0
