X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10 ; CJA
navigateur bn:00013447n ; 0 ; 0.225 ; 0.285714 ; 0 ; 0.304762 ; 0.319149 ; 0.291139 ; 0.206897 ; 0.247312 ; 0 ; 0.333333
fichier bn:00021475n ; 0.166667 ; 0 ; 0 ; 0 ; 0 ; 0.125 ; 0 ; 0 ; 0.142857 ; 0.190476 ; 0.133333
client bn:00019764n ; 0.214286 ; 0 ; 0.0677966 ; 0.0566038 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.157143 ; 0.174603 ; 0.179487 ; 0 ; 0.1875 ; 0 ; 0 ; 0 ; 0.229508
donnée bn:00025314n ; 0 ; 0.226415 ; 0.223684 ; 0.211268 ; 0.268293 ; 0 ; 0.277778 ; 0 ; 0 ; 0 ; 0.298507
php bn:01753580n ; 0 ; 0 ; 0.125 ; 0.140351 ; 0 ; 0.129032 ; 0 ; 0 ; 0.148148 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0.140351 ; 0 ; 0.129032 ; 0 ; 0 ; 0.148148 ; 0.2 ; 0
commentaire bn:00020978n ; 0.117647 ; 0 ; 0.240964 ; 0.246753 ; 0.225806 ; 0 ; 0 ; 0.261538 ; 0.291667 ; 0.274194 ; 0
délimiter bn:00086464v ; 0 ; 0 ; 0.179487 ; 0.231884 ; 0 ; 0.216216 ; 0 ; 0.20339 ; 0 ; 0.236364 ; 0.194444
post bn:01500184n ; 0 ; 0.181818 ; 0.207792 ; 0 ; 0.209302 ; 0.263889 ; 0 ; 0 ; 0.220588 ; 0 ; 0.208333
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.202899 ; 0.202381 ; 0 ; 0.222222 ; 0.301887 ; 0 ; 0.178571 ; 0.183099
zones bn:00005513n ; 0 ; 0 ; 0.0344828 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0
personne bn:00046516n ; 0 ; 0 ; 0.197531 ; 0.232877 ; 0.213483 ; 0 ; 0 ; 0.266667 ; 0.279412 ; 0.258621 ; 0
méthode post bn:00045088n ; 0 ; 0.157895 ; 0.189873 ; 0 ; 0 ; 0.226667 ; 0.206897 ; 0.177419 ; 0.166667 ; 0 ; 0.239437
mysql bn:01225760n ; 0 ; 0 ; 0.125 ; 0.140351 ; 0.106667 ; 0.129032 ; 0 ; 0 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.030303 ; 0
site bn:00047172n ; 0.227273 ; 0.125 ; 0.140625 ; 0 ; 0.105263 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.135593
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0 ; 0.056338 ; 0 ; 0 ; 0.102564 ; 0 ; 0.111111 ; 0
configuration bn:03088982n ; 0 ; 0 ; 0.0666667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.08 ; 0.111111 ; 0
paris bn:00015540n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0416667 ; 0.0588235 ; 0
langage de script bn:01431715n ; 0 ; 0.138889 ; 0 ; 0 ; 0.0958904 ; 0.116667 ; 0 ; 0 ; 0 ; 0.125 ; 0
opérateur bn:16281811n ; 0 ; 0 ; 0.0344828 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0588235 ; 0
super bn:17336345n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.030303 ; 0
type bn:00016413n ; 0 ; 0 ; 0.169014 ; 0 ; 0.160494 ; 0.191176 ; 0.229167 ; 0 ; 0 ; 0 ; 0.241935
foreach bn:03463379n ; 0 ; 0.186667 ; 0.314607 ; 0.27907 ; 0.306122 ; 0.337209 ; 0 ; 0 ; 0.27381 ; 0 ; 0.261364
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0 ; 0.0384615
communication bn:00021221n ; 0 ; 0 ; 0 ; 0 ; 0.056338 ; 0.0689655 ; 0 ; 0 ; 0 ; 0 ; 0.0740741
interpréter bn:00089840v ; 0 ; 0 ; 0 ; 0 ; 0.056338 ; 0 ; 0 ; 0.102564 ; 0 ; 0.111111 ; 0
classes bn:03608262n ; 0 ; 0 ; 0.183099 ; 0 ; 0.158537 ; 0.188406 ; 0 ; 0 ; 0.233333 ; 0.25 ; 0
bienvenue bn:00080852n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0.0588235 ; 0
class bn:03598962n ; 0 ; 0 ; 0 ; 0 ; 0.056338 ; 0 ; 0 ; 0 ; 0.08 ; 0.111111 ; 0
