X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10 ; CJA
C1 ; 1 ; 0.275142 ; 0.3648 ; 0.246654 ; 0.313725 ; 0.292593 ; 0.217759 ; 0.18896 ; 0.235507 ; 0.358852 ; 0.224074
C2 ; 0.275142 ; 1 ; 0.382736 ; 0.2607 ; 0.288225 ; 0.275735 ; 0.189189 ; 0.188034 ; 0.264925 ; 0.343899 ; 0.237288
C3 ; 0.3648 ; 0.382736 ; 1 ; 0.347967 ; 0.412674 ; 0.358696 ; 0.361664 ; 0.238655 ; 0.331783 ; 0.497817 ; 0.415541
C4 ; 0.246654 ; 0.2607 ; 0.347967 ; 1 ; 0.296364 ; 0.241252 ; 0.176972 ; 0.201794 ; 0.229907 ; 0.344156 ; 0.234496
C5 ; 0.313725 ; 0.288225 ; 0.412674 ; 0.296364 ; 1 ; 0.352941 ; 0.2393 ; 0.210526 ; 0.34358 ; 0.404615 ; 0.264448
C6 ; 0.292593 ; 0.275735 ; 0.358696 ; 0.241252 ; 0.352941 ; 1 ; 0.200803 ; 0.168675 ; 0.301294 ; 0.357143 ; 0.281426
C7 ; 0.217759 ; 0.189189 ; 0.361664 ; 0.176972 ; 0.2393 ; 0.200803 ; 1 ; 0.135802 ; 0.178138 ; 0.274576 ; 0.201285
C8 ; 0.18896 ; 0.188034 ; 0.238655 ; 0.201794 ; 0.210526 ; 0.168675 ; 0.135802 ; 1 ; 0.225108 ; 0.383459 ; 0.169528
C9 ; 0.235507 ; 0.264925 ; 0.331783 ; 0.229907 ; 0.34358 ; 0.301294 ; 0.178138 ; 0.225108 ; 1 ; 0.397394 ; 0.265655
C10 ; 0.358852 ; 0.343899 ; 0.497817 ; 0.344156 ; 0.404615 ; 0.357143 ; 0.274576 ; 0.383459 ; 0.397394 ; 1 ; 0.311912
CJA ; 0.224074 ; 0.237288 ; 0.415541 ; 0.234496 ; 0.264448 ; 0.281426 ; 0.201285 ; 0.169528 ; 0.265655 ; 0.311912 ; 1
