X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10 ; CJA
C1 ; 1 ; 0.236301 ; 0.299237 ; 0.205931 ; 0.2875 ; 0.249581 ; 0.16323 ; 0.152603 ; 0.230032 ; 0.296178 ; 0.238655
C2 ; 0.236301 ; 1 ; 0.307922 ; 0.239344 ; 0.271364 ; 0.27907 ; 0.227671 ; 0.134583 ; 0.28479 ; 0.262048 ; 0.249589
C3 ; 0.299237 ; 0.307922 ; 1 ; 0.299559 ; 0.343879 ; 0.297258 ; 0.313291 ; 0.219325 ; 0.307365 ; 0.337483 ; 0.386293
C4 ; 0.205931 ; 0.239344 ; 0.299559 ; 1 ; 0.338534 ; 0.214953 ; 0.217466 ; 0.19224 ; 0.264151 ; 0.294656 ; 0.2557
C5 ; 0.2875 ; 0.271364 ; 0.343879 ; 0.338534 ; 1 ; 0.379747 ; 0.254688 ; 0.185185 ; 0.337313 ; 0.346705 ; 0.265396
C6 ; 0.249581 ; 0.27907 ; 0.297258 ; 0.214953 ; 0.379747 ; 1 ; 0.180782 ; 0.175468 ; 0.300477 ; 0.278932 ; 0.260032
C7 ; 0.16323 ; 0.227671 ; 0.313291 ; 0.217466 ; 0.254688 ; 0.180782 ; 1 ; 0.205825 ; 0.210016 ; 0.241002 ; 0.191348
C8 ; 0.152603 ; 0.134583 ; 0.219325 ; 0.19224 ; 0.185185 ; 0.175468 ; 0.205825 ; 1 ; 0.220513 ; 0.250825 ; 0.201058
C9 ; 0.230032 ; 0.28479 ; 0.307365 ; 0.264151 ; 0.337313 ; 0.300477 ; 0.210016 ; 0.220513 ; 1 ; 0.306785 ; 0.26209
C10 ; 0.296178 ; 0.262048 ; 0.337483 ; 0.294656 ; 0.346705 ; 0.278932 ; 0.241002 ; 0.250825 ; 0.306785 ; 1 ; 0.276946
CJA ; 0.238655 ; 0.249589 ; 0.386293 ; 0.2557 ; 0.265396 ; 0.260032 ; 0.191348 ; 0.201058 ; 0.26209 ; 0.276946 ; 1
