X ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; nombre bn:00058285n ; zones bn:00005513n ; salaire bn:15928884n ; site bn:00047172n ; chaîne bn:00074685n ; langage de script bn:01431715n ; super bn:17336345n ; serveur bn:00044916n ; class bn:03598962n ; pouvoir bn:00084451v ; france bn:00036202n ; casse bn:03225002n ; timestamp bn:03603649n ; exceptions bn:00032118n ; echo bn:03626250n ; positionnement bn:00030615n ; généralité bn:00041249n ; autre bn:00108013a
fichier bn:00021475n ; 1 ; 0.111111 ; 0.166667 ; 0.125 ; 0.285714 ; 0.166667 ; 0.142857 ; 0.2 ; 0.153846 ; 0.125 ; 0.0833333 ; 0.2 ; 0.333333 ; 0.25 ; 0.2 ; 0.2 ; 0.2 ; 0.111111 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.2
client bn:00019764n ; 0.111111 ; 1 ; 0.333333 ; 0.25 ; 0.222222 ; 0.142857 ; 0.25 ; 0.142857 ; 0.214286 ; 0.1 ; 0.0714286 ; 0.142857 ; 0.111111 ; 0.0909091 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.0909091 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857
base de donnée bn:00025333n ; 0.166667 ; 0.333333 ; 1 ; 0.714286 ; 0.153846 ; 0.428571 ; 0.166667 ; 0.0909091 ; 0.4 ; 0.153846 ; 0.117647 ; 0.0909091 ; 0.166667 ; 0.142857 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.2 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.0909091
donnée bn:00025314n ; 0.125 ; 0.25 ; 0.714286 ; 1 ; 0.117647 ; 0.333333 ; 0.125 ; 0.0666667 ; 0.5625 ; 0.117647 ; 0.210526 ; 0.0666667 ; 0.125 ; 0.111111 ; 0.0666667 ; 0.142857 ; 0.142857 ; 0.25 ; 0.142857 ; 0.0666667 ; 0.142857 ; 0.0666667 ; 0.0666667
php bn:01753580n ; 0.285714 ; 0.222222 ; 0.153846 ; 0.117647 ; 1 ; 0.153846 ; 0.285714 ; 0.166667 ; 0.0666667 ; 0.111111 ; 0.166667 ; 0.166667 ; 0.285714 ; 0.222222 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.222222 ; 0.166667 ; 0.4 ; 0.166667 ; 0.4 ; 0.4
nombre bn:00058285n ; 0.166667 ; 0.142857 ; 0.428571 ; 0.333333 ; 0.153846 ; 1 ; 0.0769231 ; 0.2 ; 0.235294 ; 0.5 ; 0.266667 ; 0.2 ; 0.166667 ; 0.333333 ; 0.2 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.2 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.0909091
zones bn:00005513n ; 0.142857 ; 0.25 ; 0.166667 ; 0.125 ; 0.285714 ; 0.0769231 ; 1 ; 0.2 ; 0.153846 ; 0.125 ; 0.181818 ; 0.2 ; 0.333333 ; 0.111111 ; 0.2 ; 0.2 ; 0.2 ; 0.25 ; 0.2 ; 0.5 ; 0.2 ; 0.5 ; 0.5
salaire bn:15928884n ; 0.2 ; 0.142857 ; 0.0909091 ; 0.0666667 ; 0.166667 ; 0.2 ; 0.2 ; 1 ; 0.0833333 ; 0.4 ; 0.222222 ; 1 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
site bn:00047172n ; 0.153846 ; 0.214286 ; 0.4 ; 0.5625 ; 0.0666667 ; 0.235294 ; 0.153846 ; 0.0833333 ; 1 ; 0.142857 ; 0.25 ; 0.0833333 ; 0.153846 ; 0.133333 ; 0.0833333 ; 0.181818 ; 0.181818 ; 0.307692 ; 0.181818 ; 0.0833333 ; 0.181818 ; 0.0833333 ; 0.0833333
chaîne bn:00074685n ; 0.125 ; 0.1 ; 0.153846 ; 0.117647 ; 0.111111 ; 0.5 ; 0.125 ; 0.4 ; 0.142857 ; 1 ; 0.4 ; 0.4 ; 0.125 ; 0.571429 ; 0.4 ; 0.166667 ; 0.4 ; 0.222222 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.166667
langage de script bn:01431715n ; 0.0833333 ; 0.0714286 ; 0.117647 ; 0.210526 ; 0.166667 ; 0.266667 ; 0.181818 ; 0.222222 ; 0.25 ; 0.4 ; 1 ; 0.222222 ; 0.181818 ; 0.363636 ; 0.222222 ; 0.222222 ; 0.222222 ; 0.666667 ; 0.1 ; 0.222222 ; 0.1 ; 0.222222 ; 0.222222
super bn:17336345n ; 0.2 ; 0.142857 ; 0.0909091 ; 0.0666667 ; 0.166667 ; 0.2 ; 0.2 ; 1 ; 0.0833333 ; 0.4 ; 0.222222 ; 1 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
serveur bn:00044916n ; 0.333333 ; 0.111111 ; 0.166667 ; 0.125 ; 0.285714 ; 0.166667 ; 0.333333 ; 0.2 ; 0.153846 ; 0.125 ; 0.181818 ; 0.2 ; 1 ; 0.111111 ; 0.2 ; 0.2 ; 0.2 ; 0.25 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
class bn:03598962n ; 0.25 ; 0.0909091 ; 0.142857 ; 0.111111 ; 0.222222 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.133333 ; 0.571429 ; 0.363636 ; 0.333333 ; 0.111111 ; 1 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.2 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857
pouvoir bn:00084451v ; 0.2 ; 0.142857 ; 0.0909091 ; 0.0666667 ; 0.166667 ; 0.2 ; 0.2 ; 1 ; 0.0833333 ; 0.4 ; 0.222222 ; 1 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
france bn:00036202n ; 0.2 ; 0.142857 ; 0.0909091 ; 0.142857 ; 0.166667 ; 0.0909091 ; 0.2 ; 0.333333 ; 0.181818 ; 0.166667 ; 0.222222 ; 0.333333 ; 0.2 ; 0.142857 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
casse bn:03225002n ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.166667 ; 0.2 ; 0.2 ; 0.333333 ; 0.181818 ; 0.4 ; 0.222222 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
timestamp bn:03603649n ; 0.111111 ; 0.0909091 ; 0.142857 ; 0.25 ; 0.222222 ; 0.142857 ; 0.25 ; 0.142857 ; 0.307692 ; 0.222222 ; 0.666667 ; 0.142857 ; 0.25 ; 0.2 ; 0.142857 ; 0.333333 ; 0.333333 ; 1 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333
exceptions bn:00032118n ; 0.5 ; 0.142857 ; 0.2 ; 0.142857 ; 0.166667 ; 0.2 ; 0.2 ; 0.333333 ; 0.181818 ; 0.166667 ; 0.1 ; 0.333333 ; 0.5 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333
echo bn:03626250n ; 0.2 ; 0.142857 ; 0.0909091 ; 0.0666667 ; 0.4 ; 0.0909091 ; 0.5 ; 0.333333 ; 0.0833333 ; 0.166667 ; 0.222222 ; 0.333333 ; 0.5 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1
positionnement bn:00030615n ; 0.5 ; 0.142857 ; 0.2 ; 0.142857 ; 0.166667 ; 0.2 ; 0.2 ; 0.333333 ; 0.181818 ; 0.166667 ; 0.1 ; 0.333333 ; 0.5 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333
généralité bn:00041249n ; 0.2 ; 0.142857 ; 0.0909091 ; 0.0666667 ; 0.4 ; 0.0909091 ; 0.5 ; 0.333333 ; 0.0833333 ; 0.166667 ; 0.222222 ; 0.333333 ; 0.5 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1
autre bn:00108013a ; 0.2 ; 0.142857 ; 0.0909091 ; 0.0666667 ; 0.4 ; 0.0909091 ; 0.5 ; 0.333333 ; 0.0833333 ; 0.166667 ; 0.222222 ; 0.333333 ; 0.5 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 1
