X;C1;C12;C13;C14;C16;C18;C2;C4;C7;C8;C9
page web dynamique;0.0039604;0;0.00516796;0;0;0;0;0;0;0;0
post;0.238872;0.242243;0.234079;0.231612;0;0;0.242857;0.240664;0.191126;0.227504;0.238022
champ de saisie;0.0944742;0;0.112108;0.101167;0;0;0.0944351;0.0938511;0;0.103297;0.102662
size;0.0039604;0;0;0;0;0;0;0;0;0.00508906;0
nombre;0.370773;0.401254;0.343461;0.333742;0;0.351288;0.376471;0.403283;0.260101;0.323415;0.366005
text;0.378753;0.390268;0.336646;0.365912;0.311398;0.392652;0.395006;0.406495;0;0.302046;0.389222
vide;0.00198413;0;0;0;0;0;0;0;0;0;0
liste déroulante;0.0039604;0;0;0;0;0;0;0.00352734;0;0;0
sélectionner;0.00198413;0;0;0;0;0;0;0;0;0;0
déclencher;0.00198413;0;0;0;0;0;0;0;0;0;0
réinitialisation;0.0039604;0;0;0;0;0;0.0037037;0;0;0;0
langage;0.475875;0.670766;0.364238;0.430464;0.402081;0.493851;0.508988;0.534532;0.346263;0.369915;0.443709
langage impératif;0.00198413;0;0;0;0;0;0;0;0;0;0
impératif;0.00198413;0;0;0;0;0;0;0;0;0;0
zones;0.0156556;0;0.0203562;0.0172786;0;0;0;0;0;0;0.0167715
utilisateur;0.112875;0.0827943;0;0.123314;0.130879;0.109215;0;0.101749;0;0;0.120075
affectation;0.0598131;0;0;0.0657084;0.0700219;0.0577617;0.0561404;0;0.080402;0;0
booléen;0.225225;0.257073;0.211806;0.22488;0.223881;0;0.229769;0.216066;0.223423;0.19322;0
réalité;0.00198413;0;0;0;0;0;0;0;0;0;0
concatène;0.00198413;0;0;0;0;0;0;0;0;0;0
addition;0.0156556;0.0111576;0.0203562;0;0;0;0;0;0;0;0.0167715
soustraction;0.0156556;0.0111576;0.0203562;0;0;0;0;0;0;0;0.0167715
multiplié;0.00198413;0;0;0;0;0;0;0;0;0;0
modulo;0.0156556;0.0111576;0;0;0.0184758;0;0;0;0;0;0.0167715
égalité;0.00788955;0;0;0;0.00932401;0;0;0.00702988;0;0;0
logiques;0.149671;0.154337;0;0.160428;0.169492;0;0.154088;0;0.170833;0.162376;0.156522
syntaxe;0.0598131;0.0431849;0;0.0657084;0.0700219;0;0;0.0536013;0;0;0.0638723
case;0.0562852;0.0434193;0;0;0;0.0543478;0.0491228;0;0.0703518;0;0.0558882
associer;0.027027;0.0221607;0.032419;0;0.0294785;0;0;0;0;0;0.0289256
personne;0.0308285;0.022069;0;0;0;0;0;0.0275387;0;0.039312;0.0329897
prenom;0.0308285;0;0;0;0;0.0297398;0;0;0.0418848;0.039312;0.0329897
structure de contrôle;0.177236;0.15099;0.181287;0.19224;0.168174;0.179365;0.165899;0;0;0;0.181507
définition;0.112875;0.0827943;0;0.123314;0.130879;0.109215;0;0.101749;0;0;0.120075
initialiser;0.00788955;0;0;0;0;0;0.00738007;0;0.0108108;0;0
dépendre;0.00788955;0.0056101;0;0;0.00932401;0;0;0;0;0;0
méthode post;0.36787;0.449108;0;0.336892;0.376412;0.372414;0.394009;0.334412;0.320611;0.327091;0.373045
fermeture;0.16145;0.15756;0;0;0.158965;0.163987;0;0.132939;0.173554;0.183633;0.164931
passwd;0.0039604;0;0;0;0.00468384;0;0;0;0;0;0
machine;0.0156556;0.0111576;0;0.0172786;0;0.0150943;0;0;0;0;0
mysql;0.176375;0.151852;0.187135;0.191228;0.173599;0.18038;0;0.163717;0;0;0.182594
salaire;0.0039604;0;0;0;0;0;0;0;0;0.00508906;0
phase;0.00198413;0;0;0;0;0;0;0;0;0;0
être utile;0.0039604;0.00281294;0;0;0;0;0;0;0;0;0
boucle while;0.0308285;0.022069;0;0;0;0.0297398;0;0;0;0.039312;0.0329897
jour;0.0156556;0;0;0.0172786;0;0.0150943;0;0;0;0.0200501;0
euro;0.0039604;0;0;0.00437637;0;0;0;0;0;0;0
etc;0.0039604;0;0;0;0;0;0;0;0;0;0.00424628
programmation;0.176661;0.15204;0.185185;0;0.17179;0.180666;0.165391;0.163959;0;0;0.182906
site;0.475875;0.670766;0.364238;0.430464;0.402081;0.493851;0.508988;0.534532;0.346263;0.369915;0.443709
détruire;0.0308285;0.022069;0;0;0;0.0297398;0;0;0.0418848;0;0.0329897
second;0.0039604;0;0;0;0;0;0;0;0;0;0.00424628
ordinateur;0.0039604;0;0;0;0;0;0;0;0;0;0.00424628
licence;0;0.00140845;0;0;0;0;0;0;0;0;0
licence gnu;0;0.00140845;0;0;0;0;0;0;0;0;0
gnu;0;0.00281294;0.00516796;0;0;0;0;0;0;0;0
gnu free documentation licence;0;0.00140845;0;0;0;0;0;0;0;0;0
anglais;0;0.0111576;0;0.0172786;0;0;0;0.0139616;0;0;0.0167715
free software;0;0.00281294;0;0;0;0;0;0;0.00543478;0;0
free software foundation;0;0.00140845;0;0;0;0;0;0;0;0;0
quatrième de couverture;0;0.00140845;0;0;0;0;0;0;0;0;0
copie;0;0.00140845;0;0;0;0;0;0;0;0;0
paris;0;0.0056101;0;0;0;0;0;0;0;0.0101266;0.00845666
france;0;0.0056101;0;0;0;0;0.00738007;0;0.0108108;0;0
fax;0;0.00140845;0;0;0;0;0;0;0;0;0
e-mail;0;0.00140845;0;0;0;0;0;0;0;0;0
programmation web;0;0.0111576;0;0.0172786;0.0184758;0;0;0.0139616;0;0;0
installation;0;0.00140845;0;0;0;0;0;0;0;0;0
configuration;0;0.0056101;0;0;0.00932401;0;0;0;0;0;0.00845666
session;0;0.02213;0;0.029724;0;0;0.0271248;0.0240964;0.0366492;0;0
chaîne;0;0.0849934;0;0.0974659;0.10352;0.0918544;0;0;0.107477;0.111359;0.0969582
rappel;0;0.0111732;0;0;0;0;0;0.0122164;0.0187166;0;0.0146751
document web;0;0.00140845;0;0;0;0;0;0;0;0;0
composer;0;0.00281294;0;0;0;0;0;0.00352734;0;0;0
délimiteur;0;0.00281294;0;0;0;0.00381679;0;0;0;0;0
coordonnées;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
côté serveur;0;0.022069;0;0.0339703;0;0.0297398;0.0288809;0;0;0;0.0329897
côté client;0;0.0111576;0;0.0172786;0;0.0150943;0.014652;0;0;0;0
applets;0;0.00140845;0;0;0;0;0;0;0;0;0
activex;0;0.00140845;0;0;0;0;0;0;0;0;0
plugins;0;0.00140845;0;0;0;0;0;0;0;0;0
httpd;0;0.00281294;0;0;0;0;0;0.00352734;0;0;0
script;0;0.262335;0.220539;0.261905;0.237864;0.249275;0.231417;0.231293;0.198642;0;0.223903
mod_perl;0;0.00140845;0;0;0;0;0;0;0;0;0
servlets;0;0.00281294;0;0;0;0.00381679;0;0;0;0;0
bonjour;0;0.00140845;0;0;0;0;0;0;0;0;0
hériter;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
bibliothèques;0;0.00281294;0;0;0;0;0;0;0;0.00508906;0
logiciel open source;0;0.0111732;0.0178117;0;0.0161663;0;0;0;0;0;0.0146751
licence php;0;0.00140845;0;0;0;0;0;0;0;0;0
rasmus lerdorf;0;0.00281294;0;0;0.00468384;0;0;0;0;0;0
publique;0;0.00281294;0;0;0;0;0;0;0;0;0.00424628
livre d’or;0;0.00140845;0;0;0;0;0;0;0;0;0
compteur;0;0.00281294;0;0;0;0.00381679;0;0;0;0;0
zeev suraski;0;0.00140845;0;0;0;0;0;0;0;0;0
netcraft;0;0.00140845;0;0;0;0;0;0;0;0;0
zend;0;0.00140845;0;0;0;0;0;0;0;0;0
société privée;0;0.00140845;0;0;0;0;0;0;0;0;0
