X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
éducation bn:00026980n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
technologie bn:00005105n ; 0.030303 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0
javascript bn:00055423n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
php bn:01753580n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
mysql bn:01225760n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
juin bn:00048592n ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0
secondaire bn:00096261a ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
texte bn:00076732n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
fichier bn:00021475n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
bouton bn:03843242n ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0 ; 0.2
simple bn:00110649a ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
bouton radio bn:03157702n ; 0.0588235 ; 0.0588235 ; 0 ; 0 ; 0 ; 0 ; 0.0588235
radio bn:00065899n ; 0.111111 ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0 ; 0.111111
bouton de réinitialisation bn:00067307n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
réinitialisation bn:00067306n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
case à cocher bn:03157691n ; 0.0588235 ; 0.0588235 ; 0 ; 0 ; 0 ; 0 ; 0.0588235
cocher bn:00017986n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
données bn:00025314n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
elements bn:02258198n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
focus bn:03248918n ; 0.030303 ; 0 ; 0 ; 0.030303 ; 0 ; 0 ; 0
fonction choix bn:00640192n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
localisation bn:03977550n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
types bn:00016413n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
authentification bn:03253409n ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
session bn:03751534n ; 0.333333 ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
base de donnees bn:00025333n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
entités bn:00031027n ; 0.333333 ; 0.333333 ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333
étrangères bn:00096774a ; 0.030303 ; 0 ; 0 ; 0 ; 0.030303 ; 0 ; 0
gestion contenu bn:01533805n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
phpmyadmin bn:03382496n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0
communication bn:00021221n ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0 ; 0.111111 ; 0.111111
bilan bn:00008060n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
enonce bn:00079416n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
schema bn:16884119n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
schema conceptuel bn:03558829n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
premier bn:00103006a ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0 ; 0.2
logique bn:00051845n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
utilisabilité bn:02245863n ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
site bn:00047172n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
client web bn:00013447n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
dépendant bn:00086606v ; 0.111111 ; 0.111111 ; 0 ; 0 ; 0.111111 ; 0 ; 0.111111
interactifs bn:00105260a ; 0.030303 ; 0.030303 ; 0 ; 0 ; 0 ; 0 ; 0
page web bn:00080778n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
déterminante bn:00101009a ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
véhiculer bn:00085769v ; 0.0153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
côté serveur bn:03816678n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
langage de script bn:01431715n ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.5
illustrer bn:00087826v ; 0.0588235 ; 0.0588235 ; 0 ; 0 ; 0 ; 0 ; 0.0588235
internet bn:00024712n ; 0.333333 ; 0.333333 ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
