X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
php bn:01753580n ; 0.111111 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.111111 ; 0 ; 0 ; 0.222222 ; 0
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.111111 ; 0.222222 ; 0
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.111111 ; 0.222222 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.111111 ; 0 ; 0.222222 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.111111
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.111111 ; 0 ; 0.222222 ; 0
pouvoir bn:00084451v ; 0 ; 0.111111 ; 0 ; 0 ; 0 ; 0 ; 0
