X ; php bn:01753580n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; site bn:00047172n ; client web bn:00013447n ; nombre bn:00058285n ; code bn:00020354n ; serveur bn:00044916n ; chaîne bn:00074685n ; pouvoir bn:00084451v
php bn:01753580n ; 1 ; 0.166667 ; 0.333333 ; 0.166667 ; 0.25 ; 0.142857 ; 0.25 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333
texte bn:00076732n ; 0.166667 ; 1 ; 0.4 ; 0.25 ; 0.333333 ; 0.571429 ; 0.333333 ; 0.4 ; 0.4 ; 0.333333 ; 0.166667
fichier bn:00021475n ; 0.333333 ; 0.4 ; 1 ; 0.166667 ; 0.25 ; 0.333333 ; 0.25 ; 1 ; 1 ; 0.25 ; 0.333333
données bn:00025314n ; 0.166667 ; 0.25 ; 0.166667 ; 1 ; 0.6 ; 0.375 ; 0.6 ; 0.166667 ; 0.166667 ; 0.6 ; 0.166667
site bn:00047172n ; 0.25 ; 0.333333 ; 0.25 ; 0.6 ; 1 ; 0.5 ; 0.5 ; 0.25 ; 0.25 ; 0.5 ; 0.25
client web bn:00013447n ; 0.142857 ; 0.571429 ; 0.333333 ; 0.375 ; 0.5 ; 1 ; 0.285714 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.142857
nombre bn:00058285n ; 0.25 ; 0.333333 ; 0.25 ; 0.6 ; 0.5 ; 0.285714 ; 1 ; 0.25 ; 0.25 ; 1 ; 0.25
code bn:00020354n ; 0.333333 ; 0.4 ; 1 ; 0.166667 ; 0.25 ; 0.333333 ; 0.25 ; 1 ; 1 ; 0.25 ; 0.333333
serveur bn:00044916n ; 0.333333 ; 0.4 ; 1 ; 0.166667 ; 0.25 ; 0.333333 ; 0.25 ; 1 ; 1 ; 0.25 ; 0.333333
chaîne bn:00074685n ; 0.25 ; 0.333333 ; 0.25 ; 0.6 ; 0.5 ; 0.285714 ; 1 ; 0.25 ; 0.25 ; 1 ; 0.25
pouvoir bn:00084451v ; 0.333333 ; 0.166667 ; 0.333333 ; 0.166667 ; 0.25 ; 0.142857 ; 0.25 ; 0.333333 ; 0.333333 ; 0.25 ; 1
