Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;5;Objects;0;7;
0;5;Attributes;0;7;C11;C15;C17;C19;C3;C5;C6;
1;3;Objects;1;3;texte bn:00076732n;
1;3;Attributes;1;3;C17;C5;C6;
2;4;Objects;1;4;base de donnees bn:00025333n;
2;4;Attributes;1;4;C17;C19;C3;C5;
3;3;Objects;1;3;client web bn:00013447n;
3;3;Attributes;1;3;C3;C5;C6;
4;5;Objects;1;5;méthode get bn:00045088n;
4;5;Attributes;1;5;C11;C17;C19;C3;C6;
5;3;Objects;1;3;nécessaire bn:00107182a;
5;3;Attributes;1;3;C15;C3;C6;
6;3;Objects;1;3;personne bn:00046516n;
6;3;Attributes;1;3;C11;C3;C5;
7;4;Objects;1;4;langage bn:00049910n;
7;4;Attributes;1;4;C15;C19;C3;C5;
8;4;Objects;1;4;méthode bn:01641329n;
8;4;Attributes;1;4;C11;C19;C5;C6;
9;2;Objects;1;2;pouvoir bn:00084450v;
9;2;Attributes;1;2;C11;C15;
10;3;Objects;1;3;echo bn:03626250n;
10;3;Attributes;1;3;C15;C19;C6;
11;2;Objects;1;2;exception bn:00032118n;
11;2;Attributes;1;2;C15;C17;
12;2;Objects;2;2;texte bn:00076732n;base de donnees bn:00025333n;
12;2;Attributes;2;2;C17;C5;
13;3;Objects;2;3;fichier bn:00021475n;méthode bn:01641329n;
13;3;Attributes;2;3;C11;C5;C6;
14;3;Objects;2;3;base de donnees bn:00025333n;méthode get bn:00045088n;
14;3;Attributes;2;3;C17;C19;C3;
15;3;Objects;2;3;langage de script bn:01431715n;méthode bn:01641329n;
15;3;Attributes;2;3;C19;C5;C6;
16;4;Objects;2;4;méthode get bn:00045088n;afficher bn:00087013v;
16;4;Attributes;2;4;C11;C17;C3;C6;
17;3;Objects;2;3;méthode get bn:00045088n;méthode bn:01641329n;
17;3;Attributes;2;3;C11;C19;C6;
18;2;Objects;2;2;nécessaire bn:00107182a;langage bn:00049910n;
18;2;Attributes;2;2;C15;C3;
19;2;Objects;2;2;langage bn:00049910n;echo bn:03626250n;
19;2;Attributes;2;2;C15;C19;
20;3;Objects;3;3;php bn:01753580n;méthode get bn:00045088n;afficher bn:00087013v;
20;3;Attributes;3;3;C11;C17;C6;
