X ; php bn:01753580n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; base de donnees bn:00025333n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; code bn:00020354n ; nécessaire bn:00107182a ; serveur bn:00044916n ; chaîne bn:00074685n ; langage bn:00049910n ; pouvoir bn:00084451v ; echo bn:03626250n ; symfony bn:02798620n ; doctype bn:15839327n ; realisateur bn:00027369n
php bn:01753580n ; 1 ; 0.285714 ; 0.5 ; 0.111111 ; 0.0909091 ; 0.166667 ; 0.222222 ; 0.222222 ; 0.166667 ; 0.666667 ; 0.222222 ; 0.666667 ; 0.166667 ; 0.0769231 ; 0.25 ; 0.222222 ; 0.25 ; 0.25 ; 0.25
texte bn:00076732n ; 0.285714 ; 1 ; 0.5 ; 0.181818 ; 0.25 ; 0.25 ; 0.4 ; 0.4 ; 0.25 ; 0.333333 ; 0.166667 ; 0.333333 ; 0.25 ; 0.133333 ; 0.142857 ; 0.166667 ; 0.142857 ; 0.142857 ; 0.333333
fichier bn:00021475n ; 0.5 ; 0.5 ; 1 ; 0.181818 ; 0.153846 ; 0.25 ; 0.4 ; 0.4 ; 0.25 ; 0.333333 ; 0.166667 ; 0.333333 ; 0.25 ; 0.133333 ; 0.142857 ; 0.166667 ; 0.142857 ; 0.142857 ; 0.333333
données bn:00025314n ; 0.111111 ; 0.181818 ; 0.181818 ; 1 ; 0.777778 ; 0.571429 ; 0.363636 ; 0.363636 ; 0.571429 ; 0.125 ; 0.153846 ; 0.125 ; 0.571429 ; 0.636364 ; 0.125 ; 0.153846 ; 0.285714 ; 0.285714 ; 0.285714
base de donnees bn:00025333n ; 0.0909091 ; 0.25 ; 0.153846 ; 0.777778 ; 1 ; 0.444444 ; 0.307692 ; 0.307692 ; 0.444444 ; 0.1 ; 0.133333 ; 0.1 ; 0.444444 ; 0.538462 ; 0.1 ; 0.133333 ; 0.222222 ; 0.222222 ; 0.222222
site bn:00047172n ; 0.166667 ; 0.25 ; 0.25 ; 0.571429 ; 0.444444 ; 1 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.363636 ; 0.2 ; 0.0909091 ; 0.2 ; 0.2 ; 0.5
client web bn:00013447n ; 0.222222 ; 0.4 ; 0.4 ; 0.363636 ; 0.307692 ; 0.5 ; 1 ; 0.333333 ; 0.2 ; 0.25 ; 0.333333 ; 0.25 ; 0.2 ; 0.266667 ; 0.111111 ; 0.142857 ; 0.111111 ; 0.111111 ; 0.25
langage de script bn:01431715n ; 0.222222 ; 0.4 ; 0.4 ; 0.363636 ; 0.307692 ; 0.2 ; 0.333333 ; 1 ; 0.5 ; 0.25 ; 0.142857 ; 0.25 ; 0.5 ; 0.266667 ; 0.111111 ; 0.333333 ; 0.25 ; 0.25 ; 0.25
nombre bn:00058285n ; 0.166667 ; 0.25 ; 0.25 ; 0.571429 ; 0.444444 ; 0.333333 ; 0.2 ; 0.5 ; 1 ; 0.2 ; 0.0909091 ; 0.2 ; 1 ; 0.363636 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.5
code bn:00020354n ; 0.666667 ; 0.333333 ; 0.333333 ; 0.125 ; 0.1 ; 0.2 ; 0.25 ; 0.25 ; 0.2 ; 1 ; 0.25 ; 1 ; 0.2 ; 0.0833333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333
nécessaire bn:00107182a ; 0.222222 ; 0.166667 ; 0.166667 ; 0.153846 ; 0.133333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.0909091 ; 0.25 ; 1 ; 0.25 ; 0.0909091 ; 0.266667 ; 0.25 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.111111
serveur bn:00044916n ; 0.666667 ; 0.333333 ; 0.333333 ; 0.125 ; 0.1 ; 0.2 ; 0.25 ; 0.25 ; 0.2 ; 1 ; 0.25 ; 1 ; 0.2 ; 0.0833333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333
chaîne bn:00074685n ; 0.166667 ; 0.25 ; 0.25 ; 0.571429 ; 0.444444 ; 0.333333 ; 0.2 ; 0.5 ; 1 ; 0.2 ; 0.0909091 ; 0.2 ; 1 ; 0.363636 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.5
langage bn:00049910n ; 0.0769231 ; 0.133333 ; 0.133333 ; 0.636364 ; 0.538462 ; 0.363636 ; 0.266667 ; 0.266667 ; 0.363636 ; 0.0833333 ; 0.266667 ; 0.0833333 ; 0.363636 ; 1 ; 0.181818 ; 0.266667 ; 0.181818 ; 0.181818 ; 0.181818
pouvoir bn:00084451v ; 0.25 ; 0.142857 ; 0.142857 ; 0.125 ; 0.1 ; 0.2 ; 0.111111 ; 0.111111 ; 0.2 ; 0.333333 ; 0.25 ; 0.333333 ; 0.2 ; 0.181818 ; 1 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333
echo bn:03626250n ; 0.222222 ; 0.166667 ; 0.166667 ; 0.153846 ; 0.133333 ; 0.0909091 ; 0.142857 ; 0.333333 ; 0.2 ; 0.25 ; 0.333333 ; 0.25 ; 0.2 ; 0.266667 ; 0.25 ; 1 ; 0.25 ; 0.25 ; 0.111111
symfony bn:02798620n ; 0.25 ; 0.142857 ; 0.142857 ; 0.285714 ; 0.222222 ; 0.2 ; 0.111111 ; 0.25 ; 0.5 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.5 ; 0.181818 ; 0.333333 ; 0.25 ; 1 ; 1 ; 0.333333
doctype bn:15839327n ; 0.25 ; 0.142857 ; 0.142857 ; 0.285714 ; 0.222222 ; 0.2 ; 0.111111 ; 0.25 ; 0.5 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.5 ; 0.181818 ; 0.333333 ; 0.25 ; 1 ; 1 ; 0.333333
realisateur bn:00027369n ; 0.25 ; 0.333333 ; 0.333333 ; 0.285714 ; 0.222222 ; 0.5 ; 0.25 ; 0.25 ; 0.5 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.5 ; 0.181818 ; 0.333333 ; 0.111111 ; 0.333333 ; 0.333333 ; 1
