X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
php bn:01753580n ; 0.176471 ; 0 ; 0.1875 ; 0 ; 0 ; 0 ; 0.181818
texte bn:00076732n ; 0 ; 0 ; 0.25 ; 0 ; 0 ; 0.2 ; 0.173913
fichier bn:00021475n ; 0.235294 ; 0 ; 0 ; 0 ; 0 ; 0.2 ; 0.173913
données bn:00025314n ; 0 ; 0 ; 0 ; 0.210526 ; 0.190476 ; 0.2 ; 0
base de donnees bn:00025333n ; 0 ; 0 ; 0.25 ; 0.272727 ; 0.304348 ; 0.26087 ; 0
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.105263 ; 0.111111 ; 0
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.190476 ; 0.2 ; 0.173913
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.210526 ; 0 ; 0.2 ; 0.173913
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.117647 ; 0 ; 0.111111 ; 0
sélectionner bn:00084931v ; 0 ; 0.166667 ; 0 ; 0 ; 0 ; 0 ; 0.0952381
méthode get bn:00045088n ; 0.291667 ; 0 ; 0.304348 ; 0.222222 ; 0.296296 ; 0 ; 0.321429
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.05
afficher bn:00087013v ; 0.25 ; 0 ; 0.263158 ; 0 ; 0.208333 ; 0 ; 0.24
nécessaire bn:00107182a ; 0 ; 0.285714 ; 0 ; 0 ; 0.190476 ; 0 ; 0.173913
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.05
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.117647 ; 0 ; 0.111111 ; 0
personne bn:00046516n ; 0.235294 ; 0 ; 0 ; 0 ; 0.190476 ; 0.2 ; 0
langage bn:00049910n ; 0 ; 0.222222 ; 0 ; 0.285714 ; 0.26087 ; 0.217391 ; 0
méthode bn:01641329n ; 0.285714 ; 0 ; 0 ; 0.26087 ; 0 ; 0.304348 ; 0.32
pouvoir bn:00084450v ; 0.133333 ; 0.166667 ; 0 ; 0 ; 0 ; 0 ; 0
pouvoir bn:00084451v ; 0 ; 0.0909091 ; 0 ; 0 ; 0 ; 0 ; 0
echo bn:03626250n ; 0 ; 0.285714 ; 0 ; 0.210526 ; 0 ; 0 ; 0.173913
rue bn:00074595n ; 0 ; 0 ; 0.142857 ; 0 ; 0 ; 0 ; 0.0952381
exception bn:00032118n ; 0 ; 0.166667 ; 0.142857 ; 0 ; 0 ; 0 ; 0
wamp bn:01708928n ; 0 ; 0 ; 0 ; 0 ; 0.105263 ; 0.111111 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0.0625 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.0625 ; 0 ; 0 ; 0
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0588235 ; 0
null bn:15898583n ; 0 ; 0 ; 0 ; 0.117647 ; 0 ; 0.111111 ; 0
