X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
C11 ; 1 ; 0.333333 ; 0.285714 ; 0.166667 ; 0.142857 ; 0.166667 ; 0.5
C15 ; 0.333333 ; 1 ; 0.166667 ; 0.25 ; 0.2 ; 0.25 ; 0.4
C17 ; 0.285714 ; 0.166667 ; 1 ; 0.2 ; 0.4 ; 0.2 ; 0.142857
C19 ; 0.166667 ; 0.25 ; 0.2 ; 1 ; 0.25 ; 0.333333 ; 0.2
C3 ; 0.142857 ; 0.2 ; 0.4 ; 0.25 ; 1 ; 0.25 ; 0.166667
C5 ; 0.166667 ; 0.25 ; 0.2 ; 0.333333 ; 0.25 ; 1 ; 0.2
C6 ; 0.5 ; 0.4 ; 0.142857 ; 0.2 ; 0.166667 ; 0.2 ; 1
