X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
C11 ; 1 ; 0.285714 ; 0.272727 ; 0.303797 ; 0.303797 ; 0.307692 ; 0.320988
C15 ; 0.285714 ; 1 ; 0.25974 ; 0.291139 ; 0.291139 ; 0.311688 ; 0.308642
C17 ; 0.272727 ; 0.25974 ; 1 ; 0.294872 ; 0.294872 ; 0.25 ; 0.363636
C19 ; 0.303797 ; 0.291139 ; 0.294872 ; 1 ; 0.325 ; 0.329114 ; 0.325301
C3 ; 0.303797 ; 0.291139 ; 0.294872 ; 0.325 ; 1 ; 0.329114 ; 0.325301
C5 ; 0.307692 ; 0.311688 ; 0.25 ; 0.329114 ; 0.329114 ; 1 ; 0.415584
C6 ; 0.320988 ; 0.308642 ; 0.363636 ; 0.325301 ; 0.325301 ; 0.415584 ; 1
