;C1;C2;C3;C4;C5;C6;C7;C8;C9
crée bn:00086008v;1; 0; 1; 1; 1; 0; 1; 1; 1; 
langage de script bn:01431715n;1; 0; 0; 0; 0; 0; 0; 1; 0; 
interpréter bn:00089840v;1; 0; 1; 1; 0; 1; 1; 0; 1; 
côté serveur bn:03816678n;1; 0; 0; 1; 0; 0; 1; 1; 0; 
serveur bn:00044916n;1; 0; 0; 0; 0; 0; 1; 0; 0; 
côté client bn:03163702n;1; 0; 0; 1; 0; 0; 1; 1; 1; 
manuel bn:00099315a;1; 0; 1; 1; 1; 1; 1; 1; 1; 
français bn:00103321a;1; 0; 1; 1; 1; 1; 1; 1; 1; 
typage bn:00016413n;1; 0; 0; 1; 0; 0; 0; 1; 0; 
attention bn:00007020n;1; 0; 0; 1; 0; 1; 1; 1; 1; 
faute de frappe bn:00031482n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
entiers bn:00047009n;1; 0; 0; 1; 0; 1; 0; 1; 0; 
3.14 bn:00062194n;1; 0; 1; 1; 0; 1; 1; 1; 1; 
printf bn:03243783n;1; 0; 1; 1; 0; 1; 1; 1; 0; 
comparaison bn:00021304n;1; 0; 0; 1; 1; 1; 1; 0; 0; 
switch bn:01071927n;1; 0; 0; 0; 1; 1; 0; 0; 0; 
expr bn:03120209n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
spécifique bn:00111003a;1; 0; 1; 1; 1; 1; 1; 1; 1; 
foreach bn:03463379n;1; 0; 0; 0; 0; 0; 0; 0; 0; 
pointeur bn:03222272n;1; 0; 0; 1; 1; 1; 1; 1; 1; 
list bn:04720346n;1; 0; 0; 0; 1; 1; 1; 1; 0; 
inverse bn:00056301n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
trie bn:02479296n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
concaténation bn:03489514n;1; 0; 1; 1; 0; 0; 1; 1; 0; 
accès bn:00000759n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
strcmp bn:13958358n;1; 0; 0; 1; 1; 1; 1; 1; 1; 
trim bn:00074703n;1; 0; 0; 1; 0; 0; 1; 1; 0; 
casse bn:03225002n;1; 0; 1; 1; 0; 1; 1; 1; 1; 
occurence bn:00047732n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
décompte bn:00086432v;1; 0; 0; 1; 1; 0; 1; 1; 1; 
valeur de retour bn:03828774n;1; 0; 0; 1; 1; 0; 1; 1; 0; 
passage par référence bn:14985956n;1; 0; 1; 0; 1; 1; 1; 1; 1; 
traiter bn:00092034v;1; 0; 1; 1; 1; 1; 1; 1; 1; 
méthode bn:01641329n;1; 0; 0; 0; 0; 0; 0; 0; 0; 
navigation bn:00057073n;1; 0; 1; 0; 1; 1; 1; 1; 1; 
rouen bn:03268781n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
code postal bn:00063770n;1; 0; 1; 1; 1; 0; 1; 1; 1; 
cle bn:04756252n;1; 0; 0; 0; 1; 1; 1; 0; 0; 
mot bn:00081546n;1; 0; 0; 0; 0; 0; 1; 1; 0; 
mot de passe bn:00023218n;1; 0; 0; 1; 1; 0; 1; 0; 1; 
rows bn:03611246n;1; 0; 1; 1; 1; 0; 1; 1; 0; 
bouton radio bn:03157702n;1; 0; 1; 1; 1; 0; 1; 1; 1; 
radio bn:00065899n;1; 0; 1; 0; 1; 0; 1; 1; 0; 
multiple bn:00056285n;1; 0; 1; 1; 1; 1; 1; 1; 0; 
touche ctrl bn:00020947n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
transfert de fichier bn:03563534n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
fread bn:13825823n;1; 0; 0; 0; 1; 1; 1; 1; 1; 
fin de fichier bn:02781064n;1; 0; 0; 1; 1; 1; 1; 1; 1; 
existence bn:00009676n;1; 0; 1; 1; 0; 0; 1; 1; 1; 
carte d’identité bn:00015915n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
mémoire vive bn:00066091n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
timestamp bn:03603649n;1; 0; 0; 1; 0; 0; 0; 1; 1; 
vouloir bn:00095629v;1; 0; 0; 1; 0; 0; 1; 1; 1; 
session bn:03751534n;1; 0; 0; 0; 0; 0; 0; 1; 1; 
temps bn:00077270n;1; 0; 0; 0; 0; 0; 0; 1; 0; 
généralement bn:00114778r;1; 0; 1; 1; 1; 1; 1; 1; 1; 
min bn:00055094n;1; 0; 1; 1; 1; 0; 1; 1; 1; 
correct bn:00100490a;1; 0; 1; 1; 1; 0; 1; 1; 1; 
exe bn:14503132n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
xhtml bn:01163644n;1; 0; 0; 1; 1; 1; 1; 1; 1; 
2.0 bn:00074217n;1; 0; 1; 1; 1; 1; 1; 1; 1; 
page bn:00060158n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
base bn:00008786n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
séparateur bn:03371342n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
bloc bn:03098513n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
portée bn:03460088n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
chaîne bn:00074685n;1; 1; 0; 1; 0; 0; 0; 0; 0; 
supprimer bn:00087533v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
précédence bn:01410322n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
bits bn:00010731n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
incrémentation bn:01936826n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
opérateur logiques bn:00051853n;1; 1; 0; 1; 1; 0; 1; 1; 0; 
strftime bn:03338250n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
phpmyadmin bn:03382496n;1; 1; 0; 1; 0; 1; 1; 1; 0; 
modifier bn:00003127n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
numériques bn:00107651a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
réels bn:00066395n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
enum bn:02324948n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
time bn:03389905n;1; 1; 0; 1; 0; 1; 0; 1; 1; 
sql bn:02266432n;1; 1; 0; 1; 0; 0; 1; 0; 0; 
innodb bn:01067935n;1; 1; 0; 1; 1; 1; 1; 1; 0; 
fulltext bn:00508617n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
séquence bn:00070574n;1; 1; 0; 1; 1; 0; 1; 0; 0; 
fichier par bn:03318531n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
sortie bn:01541423n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
sortie standard bn:01496506n;1; 1; 0; 0; 0; 1; 1; 1; 1; 
ecriture bn:00081714n;1; 1; 0; 0; 0; 1; 1; 1; 0; 
fermer bn:00085170v;1; 1; 0; 1; 1; 0; 1; 1; 1; 
système de fichiers bn:00034429n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
comparer bn:00085450v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
couleurs bn:00020726n;1; 1; 0; 0; 0; 0; 1; 1; 0; 
rectangle bn:00066608n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
polygones bn:00063423n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
programmation objet bn:00058448n;1; 1; 0; 1; 0; 1; 1; 1; 0; 
opérateur bn:16281811n;1; 1; 0; 1; 1; 1; 1; 0; 1; 
classe bn:03608262n;1; 1; 0; 1; 0; 0; 1; 0; 0; 
héritage bn:00043822n;1; 1; 0; 1; 0; 0; 1; 0; 0; 
polymorphisme bn:01974384n;1; 1; 0; 1; 1; 1; 1; 1; 0; 
self bn:03432485n;1; 1; 0; 1; 0; 1; 1; 1; 0; 
constructeurs bn:03834827n;1; 1; 0; 1; 0; 0; 1; 0; 0; 
destructeur bn:01558988n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
nouveauté bn:00049321n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
exceptions bn:00032118n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
sauvegarder bn:00093281v;1; 1; 0; 1; 0; 0; 1; 1; 1; 
inspirer bn:00084021v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
langage c bn:00014377n;1; 1; 0; 0; 1; 1; 1; 1; 0; 
rasmus lerdorf bn:03232211n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
site personnel bn:01605102n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
interpreter bn:00047204n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
contributeurs bn:04850445n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
juin bn:00048592n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
zeev suraski bn:00571154n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
modulaire bn:00106842a;1; 1; 0; 1; 0; 1; 1; 1; 1; 
extensible bn:00102618a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
supplémentaires bn:00111488a;1; 1; 0; 1; 0; 0; 1; 1; 1; 
manquer bn:00090161v;1; 1; 0; 1; 1; 0; 1; 1; 1; 
cohérente bn:00099970a;1; 1; 0; 1; 1; 0; 1; 1; 1; 
moteur bn:00030850n;1; 1; 0; 1; 0; 0; 1; 1; 0; 
zend bn:03133191n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
zend engine bn:01337536n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
mai bn:00053941n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
c++ bn:03586438n;1; 1; 0; 0; 0; 0; 1; 1; 1; 
xml bn:02771436n;1; 1; 0; 1; 0; 0; 1; 1; 1; 
forum bn:14251420n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
messagerie bn:00030257n;1; 1; 0; 1; 1; 1; 1; 1; 0; 
commerce électronique bn:00029344n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
banque bn:00008364n;1; 1; 0; 0; 1; 0; 1; 1; 1; 
publication en ligne bn:01180578n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
lamp bn:01708928n;1; 1; 0; 1; 0; 1; 1; 1; 0; 
linux bn:00051427n;1; 1; 0; 1; 0; 0; 1; 1; 0; 
incorporer bn:00089664v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
semblant bn:00045960n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
dédier bn:00085427v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
lire bn:00066357n;1; 1; 0; 0; 0; 0; 1; 1; 0; 
vitesse bn:00073258n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
côté bn:00110607a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
windows bn:00081305n;1; 1; 0; 1; 0; 0; 1; 1; 1; 
vbscript bn:02626435n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
jscript bn:01995344n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
activex bn:03829972n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
portage bn:01430733n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
plate-forme bn:00062900n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
langage de programmation procédural bn:01706415n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
procédural bn:00109049a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
nécessaire bn:00107182a;1; 1; 0; 0; 1; 0; 1; 1; 1; 
unix bn:00079165n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
mac bn:00052516n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
distribution linux bn:01061442n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
mode bn:00033729n;1; 1; 0; 0; 0; 0; 1; 1; 0; 
répertoire personnel bn:02102310n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
complexe bn:00100148a;1; 1; 0; 1; 0; 0; 1; 1; 1; 
uvre bn:00016278n;1; 1; 0; 0; 1; 0; 1; 1; 1; 
employer bn:00030616n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
easyphp bn:14837849n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
coloration syntaxique bn:02006707n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
w3c bn:02673666n;1; 1; 0; 0; 1; 0; 1; 1; 0; 
css bn:00056944n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
entête bn:00043309n;1; 1; 0; 1; 1; 0; 0; 1; 0; 
mozilla bn:01297088n;1; 1; 0; 0; 1; 1; 1; 1; 1; 
galeon bn:00496122n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
konqueror bn:16498221n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
compatibles bn:00100128a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
bordélique bn:00110762a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
endroit bn:00062699n;1; 1; 0; 1; 0; 0; 1; 1; 0; 
web bn:00080772n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
souple bn:00102069a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
point-virgule bn:00070420n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
sensible bn:00104681a;1; 1; 0; 0; 0; 0; 1; 1; 1; 
lettre bn:00003057n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
contexte bn:00022168n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
transtypage bn:17104905n;1; 1; 0; 0; 1; 0; 1; 1; 1; 
signe égal bn:00031280n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
sans bn:00025713n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
echo bn:03626250n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
affiche bn:15173511n;1; 1; 0; 1; 1; 1; 1; 1; 0; 
globale bn:00103624a;1; 1; 0; 1; 1; 0; 1; 1; 0; 
variable locale bn:00958409n;1; 1; 0; 1; 1; 1; 0; 1; 1; 
locale bn:03080237n;1; 1; 0; 1; 1; 1; 0; 1; 1; 
grand nombre bn:14223782n;1; 1; 0; 1; 1; 0; 1; 1; 0; 
files bn:00065682n;1; 1; 0; 1; 1; 0; 0; 1; 1; 
upload bn:14037830n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
env bn:01199166n;1; 1; 0; 1; 0; 1; 0; 1; 0; 
cache bn:00014484n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
dynamique bn:00101917a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
ambiguïté bn:00003266n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
chaîne vide bn:03716205n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
booléenne bn:00098690a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
architecture bn:00005442n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
nombre à virgule flottante bn:00035278n;1; 1; 0; 0; 1; 1; 1; 1; 0; 
puissance de 10 bn:05006238n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
ascii bn:00003473n;1; 1; 0; 0; 1; 1; 1; 1; 1; 
unicode bn:02529895n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
échapper bn:00083961v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
lf bn:00050913n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
carriage return bn:00016246n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
cr bn:00006854n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
antislash bn:00988551n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
notation octale bn:00058598n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
notation hexadécimale bn:00043958n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
hexadécimale bn:00104145a;1; 1; 0; 1; 1; 1; 1; 1; 1; 
égal bn:00102336a;1; 1; 0; 0; 1; 0; 1; 1; 0; 
valeur numérique bn:00000451n;1; 1; 0; 1; 1; 1; 1; 1; 0; 
numérique bn:00107649a;1; 1; 0; 1; 1; 1; 0; 1; 0; 
val bn:00079476n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
table de hachage bn:00587820n;1; 1; 0; 0; 1; 1; 1; 1; 1; 
hachage bn:00583146n;1; 1; 0; 0; 0; 1; 1; 1; 1; 
pile bn:02100952n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
séparer bn:00082871v;1; 1; 0; 1; 0; 1; 1; 1; 1; 
volée bn:00035208n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
class bn:03598962n;1; 1; 0; 1; 0; 1; 1; 0; 0; 
constantes bn:00100331a;1; 1; 0; 1; 1; 1; 1; 1; 0; 
casse bn:00083919v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
redéfinir bn:00092568v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
integer bn:00691555n;1; 1; 0; 1; 0; 0; 1; 0; 1; 
gauche bn:00902572n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
droite bn:00051291n;1; 1; 0; 0; 1; 1; 1; 1; 1; 
croître bn:00089082v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
associativité bn:00533203n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
division bn:00027919n;1; 1; 0; 1; 1; 0; 1; 1; 0; 
multiplication bn:00056300n;1; 1; 0; 0; 0; 0; 1; 1; 0; 
division par deux bn:03686939n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
deux bn:00000075n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
message bn:00521573n;1; 1; 0; 1; 0; 1; 1; 0; 1; 
oeil bn:00032512n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
affiche bn:00087013v;1; 1; 0; 0; 1; 0; 1; 1; 0; 
exécutée bn:00091723v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
conditionnelle bn:00100214a;1; 1; 0; 1; 1; 1; 1; 1; 0; 
sorte bn:00035907n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
ressembler à bn:00092876v;1; 1; 0; 1; 1; 0; 1; 1; 1; 
homologue bn:00023208n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
impossible bn:00104687a;1; 1; 0; 1; 0; 0; 1; 1; 1; 
existe bn:00083184v;1; 1; 0; 1; 1; 0; 1; 1; 1; 
appel de fonction bn:00036827n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
valeur par défaut bn:03854990n;1; 1; 0; 0; 0; 0; 1; 1; 0; 
type de valeurs bn:00253515n;1; 1; 0; 1; 1; 1; 1; 0; 1; 
devoir bn:00091362v;1; 1; 0; 1; 1; 0; 1; 1; 1; 
couvrir bn:00085916v;1; 1; 0; 1; 1; 1; 1; 1; 1; 
rappel bn:03490040n;1; 1; 0; 0; 0; 0; 0; 1; 0; 
limitation bn:00051252n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
conteneur bn:03305154n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
droit bn:00048655n;1; 1; 0; 0; 0; 0; 1; 1; 1; 
chose bn:00091115v;1; 1; 0; 0; 0; 0; 1; 1; 1; 
premier bn:00034738n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
choix multiples bn:03455699n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
vin bn:00080022n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
format de date bn:03576260n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
langue anglaise bn:00030862n;1; 1; 0; 0; 1; 0; 1; 1; 0; 
français bn:00036426n;1; 1; 0; 1; 1; 0; 1; 1; 0; 
système bn:15125301n;1; 1; 0; 1; 0; 0; 1; 1; 0; 
semaine bn:00043484n;1; 1; 0; 1; 1; 0; 1; 1; 1; 
heure internet bn:02981905n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
internet bn:00024712n;1; 1; 0; 1; 0; 0; 1; 1; 0; 
vendredi bn:00036512n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
janvier bn:00047960n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
hiver bn:00081370n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
heure de greenwich bn:00040810n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
dec bn:00017011n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
fuseau horaire bn:00077302n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
dimanche bn:00028190n;1; 1; 0; 1; 0; 0; 1; 1; 1; 
samedi bn:00068696n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
lundi bn:00055609n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
second bn:00005460n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
fonction bn:00036821n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
siècle bn:00017234n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
numérique bn:15182937n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
intervalle bn:00047229n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
semaine 1 bn:04756861n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
abréviation bn:00000239n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
littéral bn:00106042a;1; 1; 0; 1; 1; 0; 1; 1; 1; 
september bn:15649592n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
septembre bn:00070537n;1; 1; 0; 1; 0; 1; 1; 1; 1; 
semaine 3 bn:04756880n;1; 1; 0; 1; 1; 1; 1; 1; 1; 
système de gestion bn:01510781n;1; 1; 0; 1; 0; 0; 1; 1; 1; 
système de gestion de base de donnée bn:14249264n;1; 1; 0; 0; 1; 0; 1; 1; 1; 
relationnel bn:00109653a;1; 1; 0; 1; 1; 1; 1; 1; 0; 
