X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
php bn:01753580n ; 0.0740741 ; 0 ; 0.0754717 ; 0 ; 0 ; 0 ; 0.0666667
mysql bn:01225760n ; 0 ; 0.341463 ; 0.345679 ; 0.333333 ; 0.357143 ; 0.357143 ; 0.348837
texte bn:00076732n ; 0 ; 0 ; 0.0392157 ; 0 ; 0 ; 0.0357143 ; 0
fichier bn:00021475n ; 0.137931 ; 0 ; 0 ; 0 ; 0.129032 ; 0.129032 ; 0.125
données bn:00025314n ; 0 ; 0 ; 0.140351 ; 0.133333 ; 0.129032 ; 0.129032 ; 0
types bn:00016413n ; 0.353659 ; 0.353659 ; 0 ; 0.361446 ; 0.352941 ; 0.385542 ; 0.329545
session bn:03751534n ; 0.242424 ; 0 ; 0 ; 0.235294 ; 0.228571 ; 0.228571 ; 0.222222
base de donnees bn:00025333n ; 0 ; 0 ; 0.140351 ; 0.133333 ; 0.129032 ; 0.129032 ; 0
entités bn:00031027n ; 0 ; 0.137931 ; 0.140351 ; 0 ; 0.129032 ; 0.129032 ; 0
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0.0357143 ; 0
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0.0357143 ; 0
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.0714286 ; 0 ; 0.0689655 ; 0.0666667
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.037037 ; 0 ; 0.0357143 ; 0
sélectionner bn:00084931v ; 0 ; 0.0384615 ; 0 ; 0 ; 0 ; 0 ; 0.0344828
post bn:01500184n ; 0.227273 ; 0.227273 ; 0 ; 0 ; 0.214286 ; 0.231884 ; 0.208333
méthode get bn:00045088n ; 0.242424 ; 0 ; 0.246154 ; 0.235294 ; 0.228571 ; 0 ; 0.222222
code bn:00020354n ; 0.137931 ; 0.137931 ; 0 ; 0 ; 0 ; 0.129032 ; 0.125
utilisateur bn:00079373n ; 0.317073 ; 0.35 ; 0.3375 ; 0 ; 0.333333 ; 0.333333 ; 0.357143
afficher bn:00087013v ; 0.0740741 ; 0 ; 0.0754717 ; 0 ; 0.0689655 ; 0 ; 0
