X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
C11 ; 1 ; 0.16129 ; 0.142857 ; 0.242424 ; 0.212121 ; 0.3 ; 0.269231
C15 ; 0.16129 ; 1 ; 0.153846 ; 0.21875 ; 0.266667 ; 0.233333 ; 0.148148
C17 ; 0.142857 ; 0.153846 ; 1 ; 0.25 ; 0.259259 ; 0.1 ; 0.08
C19 ; 0.242424 ; 0.21875 ; 0.25 ; 1 ; 0.34375 ; 0.272727 ; 0.2
C3 ; 0.212121 ; 0.266667 ; 0.259259 ; 0.34375 ; 1 ; 0.242424 ; 0.129032
C5 ; 0.3 ; 0.233333 ; 0.1 ; 0.272727 ; 0.242424 ; 1 ; 0.214286
C6 ; 0.269231 ; 0.148148 ; 0.08 ; 0.2 ; 0.129032 ; 0.214286 ; 1
