X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
php bn:01753580n ; 0.04 ; 0 ; 0.04 ; 0 ; 0 ; 0 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.04 ; 0 ; 0 ; 0.04 ; 0
fichier bn:00021475n ; 0.08 ; 0 ; 0 ; 0 ; 0 ; 0.08 ; 0.08
données bn:00025314n ; 0 ; 0 ; 0 ; 0.08 ; 0.08 ; 0.08 ; 0
base de donnees bn:00025333n ; 0 ; 0 ; 0.12 ; 0.14 ; 0.14 ; 0.12 ; 0
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.04 ; 0.04 ; 0
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.04 ; 0.04 ; 0
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.08 ; 0 ; 0.08 ; 0.08
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.04 ; 0 ; 0.04 ; 0
sélectionner bn:00084931v ; 0 ; 0.04 ; 0 ; 0 ; 0 ; 0 ; 0.04
méthode get bn:00045088n ; 0.18 ; 0 ; 0.14 ; 0.18 ; 0.18 ; 0 ; 0.12
code bn:00020354n ; 0.14 ; 0.12 ; 0 ; 0 ; 0 ; 0.14 ; 0.12
afficher bn:00087013v ; 0.08 ; 0 ; 0.08 ; 0 ; 0.08 ; 0 ; 0
nécessaire bn:00107182a ; 0 ; 0.08 ; 0 ; 0 ; 0.08 ; 0 ; 0.08
serveur bn:00044916n ; 0.2 ; 0.2 ; 0 ; 0.22 ; 0.24 ; 0.24 ; 0
fois bn:00032768n ; 0.2 ; 0.2 ; 0 ; 0.22 ; 0.24 ; 0.24 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.04 ; 0 ; 0.04 ; 0
syntaxe bn:00062118n ; 0.2 ; 0.2 ; 0 ; 0.22 ; 0.24 ; 0.24 ; 0
personne bn:00046516n ; 0.08 ; 0 ; 0 ; 0 ; 0.08 ; 0.08 ; 0
langage bn:00049910n ; 0 ; 0.14 ; 0 ; 0.14 ; 0.16 ; 0.14 ; 0
méthode bn:01641329n ; 0.16 ; 0 ; 0 ; 0.16 ; 0 ; 0.16 ; 0.16
pouvoir bn:00084450v ; 0.04 ; 0.04 ; 0 ; 0 ; 0 ; 0 ; 0
timestamp bn:03603649n ; 0.08 ; 0.08 ; 0 ; 0 ; 0 ; 0.08 ; 0
pouvoir bn:00084451v ; 0 ; 0.02 ; 0 ; 0 ; 0 ; 0 ; 0
impossible bn:00104687a ; 0 ; 0.08 ; 0 ; 0 ; 0.08 ; 0.08 ; 0
client bn:00019764n ; 0 ; 0.14 ; 0.14 ; 0.16 ; 0.14 ; 0 ; 0
file bn:00065682n ; 0 ; 0.08 ; 0.08 ; 0.08 ; 0 ; 0 ; 0
echo bn:03626250n ; 0 ; 0.04 ; 0 ; 0.04 ; 0 ; 0 ; 0
rue bn:00074595n ; 0 ; 0 ; 0.02 ; 0 ; 0 ; 0 ; 0
exception bn:00032118n ; 0 ; 0.04 ; 0.04 ; 0 ; 0 ; 0 ; 0
wamp bn:01708928n ; 0 ; 0 ; 0 ; 0 ; 0.04 ; 0.04 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0.02 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.02 ; 0 ; 0 ; 0
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.02 ; 0
informatique bn:00100175a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.02 ; 0
