X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6
C11 ; 1 ; 0.2 ; 0.285714 ; 0.1875 ; 0.0833333 ; 0.0833333 ; 0.428571
C15 ; 0.2 ; 1 ; 0.176471 ; 0.3125 ; 0.153846 ; 0.153846 ; 0.294118
C17 ; 0.285714 ; 0.176471 ; 1 ; 0.3125 ; 0.25 ; 0.0714286 ; 0.222222
C19 ; 0.1875 ; 0.3125 ; 0.3125 ; 1 ; 0.142857 ; 0.142857 ; 0.277778
C3 ; 0.0833333 ; 0.153846 ; 0.25 ; 0.142857 ; 1 ; 0.111111 ; 0.0625
C5 ; 0.0833333 ; 0.153846 ; 0.0714286 ; 0.142857 ; 0.111111 ; 1 ; 0.133333
C6 ; 0.428571 ; 0.294118 ; 0.222222 ; 0.277778 ; 0.0625 ; 0.133333 ; 1
