X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
composer bn:14766022n ; 0 ; 0 ; 0 ; 0.0139373 ; 0 ; 0.0139373 ; 0 ; 0 ; 0 ; 0.0139373
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.0139373 ; 0 ; 0 ; 0 ; 0.0139373 ; 0.0139373 ; 0
positionnement bn:00030615n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00348432
mysqli bn:01438356n ; 0 ; 0 ; 0 ; 0 ; 0.00696864 ; 0 ; 0 ; 0 ; 0.00696864 ; 0
null bn:15898583n ; 0 ; 0 ; 0 ; 0 ; 0.0139373 ; 0 ; 0 ; 0 ; 0.0139373 ; 0.0139373
généralité bn:00041249n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00348432 ; 0 ; 0 ; 0 ; 0
autre bn:00108013a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00348432 ; 0 ; 0 ; 0 ; 0
avoir accès bn:00082209v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00696864 ; 0 ; 0 ; 0.00696864 ; 0
bienvenue bn:00080852n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00348432 ; 0 ; 0 ; 0 ; 0
paris bn:00015540n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00348432 ; 0
