X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
page web bn:00080778n ; 0 ; 0 ; 0.0632911 ; 0 ; 0.0548523 ; 0.0506329 ; 0 ; 0.0548523 ; 0 ; 0.0548523
navigateur bn:00013447n ; 0 ; 0.156118 ; 0.257384 ; 0 ; 0.223629 ; 0.236287 ; 0.172996 ; 0.130802 ; 0.185654 ; 0.202532
serveur web bn:02705179n ; 0 ; 0.122363 ; 0.194093 ; 0.14346 ; 0.168776 ; 0.164557 ; 0 ; 0 ; 0.147679 ; 0.139241
fichier bn:00021475n ; 0.0337553 ; 0 ; 0 ; 0 ; 0 ; 0.0337553 ; 0 ; 0 ; 0.0337553 ; 0.0337553
client bn:00019764n ; 0.0168776 ; 0 ; 0.0168776 ; 0.0168776 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0548523 ; 0.0464135 ; 0.0632911 ; 0 ; 0.0464135 ; 0 ; 0 ; 0.0590717
donnée bn:00025314n ; 0 ; 0.0759494 ; 0.101266 ; 0.07173 ; 0.105485 ; 0 ; 0.0801688 ; 0 ; 0 ; 0.0843882
php bn:01753580n ; 0.0675105 ; 0 ; 0.0675105 ; 0.0675105 ; 0 ; 0.0675105 ; 0 ; 0 ; 0.0675105 ; 0
java bn:00048043n ; 0.07173 ; 0.105485 ; 0.105485 ; 0 ; 0.105485 ; 0.105485 ; 0.07173 ; 0 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0.0168776 ; 0 ; 0.0168776 ; 0 ; 0 ; 0.0168776 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.109705 ; 0 ; 0.0970464 ; 0.105485 ; 0.0801688 ; 0 ; 0.0801688 ; 0.0970464
concerner bn:00083240v ; 0 ; 0 ; 0.109705 ; 0.0843882 ; 0.109705 ; 0.0970464 ; 0.0843882 ; 0 ; 0 ; 0.101266
commentaire bn:00020978n ; 0.0759494 ; 0 ; 0.101266 ; 0.0970464 ; 0.105485 ; 0 ; 0 ; 0.0675105 ; 0.105485 ; 0
délimiter bn:00086464v ; 0 ; 0 ; 0.0590717 ; 0.0548523 ; 0 ; 0.0548523 ; 0 ; 0.0506329 ; 0 ; 0.0548523
fois bn:00032768n ; 0.185654 ; 0.21097 ; 0.303797 ; 0 ; 0.244726 ; 0.2827 ; 0.147679 ; 0 ; 0.198312 ; 0.219409
url bn:00079080n ; 0.101266 ; 0 ; 0.122363 ; 0.0970464 ; 0.113924 ; 0 ; 0 ; 0 ; 0.105485 ; 0.0886076
case à cocher bn:03157691n ; 0.0337553 ; 0 ; 0 ; 0.0337553 ; 0 ; 0.0337553 ; 0 ; 0 ; 0.0337553 ; 0
post bn:01500184n ; 0 ; 0.0801688 ; 0.118143 ; 0 ; 0.092827 ; 0.101266 ; 0 ; 0 ; 0.092827 ; 0.0886076
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0506329 ; 0.0675105 ; 0 ; 0.0506329 ; 0.0590717 ; 0 ; 0.0590717
text bn:14981519n ; 0.156118 ; 0.135021 ; 0.206751 ; 0.135021 ; 0.181435 ; 0.172996 ; 0 ; 0 ; 0 ; 0.139241
langage bn:00049910n ; 0.0675105 ; 0 ; 0.109705 ; 0 ; 0.0970464 ; 0 ; 0 ; 0.0675105 ; 0.0970464 ; 0.0886076
zones bn:00005513n ; 0 ; 0 ; 0.00843882 ; 0 ; 0 ; 0.00843882 ; 0 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0 ; 0.122363 ; 0.101266 ; 0.109705 ; 0.105485 ; 0 ; 0 ; 0.101266 ; 0.0970464
case bn:04777941n ; 0.101266 ; 0.0801688 ; 0.118143 ; 0 ; 0 ; 0.109705 ; 0 ; 0 ; 0.0970464 ; 0.0970464
associer bn:00082868v ; 0 ; 0 ; 0.0675105 ; 0 ; 0.0590717 ; 0.0590717 ; 0 ; 0 ; 0.0632911 ; 0.0590717
personne bn:00046516n ; 0 ; 0 ; 0.0590717 ; 0.0590717 ; 0.0632911 ; 0 ; 0 ; 0.0590717 ; 0.0632911 ; 0
méthode post bn:00045088n ; 0 ; 0.0843882 ; 0.135021 ; 0 ; 0 ; 0.126582 ; 0.0886076 ; 0.0675105 ; 0.101266 ; 0.109705
fermeture bn:16858148n ; 0.202532 ; 0 ; 0.308017 ; 0.227848 ; 0.278481 ; 0.244726 ; 0 ; 0.160338 ; 0.265823 ; 0.223629
machine bn:00054050n ; 0 ; 0 ; 0.0337553 ; 0 ; 0.0295359 ; 0.0295359 ; 0 ; 0 ; 0 ; 0.0295359
mysql bn:01225760n ; 0 ; 0 ; 0.0337553 ; 0.0337553 ; 0.0337553 ; 0.0337553 ; 0 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00421941 ; 0 ; 0
jour bn:00000086n ; 0.0337553 ; 0 ; 0.0337553 ; 0 ; 0 ; 0.0337553 ; 0 ; 0 ; 0 ; 0.0337553
programmation bn:00021493n ; 0.101266 ; 0.0843882 ; 0 ; 0.0970464 ; 0.113924 ; 0.118143 ; 0 ; 0 ; 0.101266 ; 0
site bn:00047172n ; 0.0548523 ; 0.0506329 ; 0.0675105 ; 0 ; 0.0548523 ; 0 ; 0 ; 0 ; 0 ; 0.0464135
france bn:00036202n ; 0 ; 0.00421941 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
langage de script bn:01431715n ; 0 ; 0.0168776 ; 0 ; 0 ; 0.0168776 ; 0.0168776 ; 0 ; 0 ; 0 ; 0
interpréter bn:00089840v ; 0 ; 0 ; 0 ; 0 ; 0.00843882 ; 0 ; 0 ; 0.00843882 ; 0 ; 0
côté serveur bn:03816678n ; 0 ; 0 ; 0.0337553 ; 0 ; 0.0337553 ; 0.0337553 ; 0 ; 0 ; 0.0337553 ; 0
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00843882 ; 0 ; 0 ; 0 ; 0.00843882
côté client bn:03163702n ; 0 ; 0 ; 0.0168776 ; 0 ; 0.0168776 ; 0.0168776 ; 0 ; 0 ; 0 ; 0
typage bn:00016413n ; 0 ; 0 ; 0.0675105 ; 0 ; 0.0590717 ; 0.0590717 ; 0.0632911 ; 0 ; 0 ; 0.0590717
foreach bn:03463379n ; 0 ; 0.122363 ; 0.194093 ; 0.14346 ; 0.168776 ; 0.164557 ; 0 ; 0 ; 0.147679 ; 0.139241
pointeur bn:03222272n ; 0 ; 0 ; 0.00843882 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00843882
list bn:04720346n ; 0 ; 0.0253165 ; 0.0337553 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0295359 ; 0.0253165
casse bn:03225002n ; 0 ; 0 ; 0 ; 0 ; 0.00421941 ; 0 ; 0 ; 0 ; 0 ; 0
méthode bn:01641329n ; 0 ; 0.092827 ; 0 ; 0.101266 ; 0.14346 ; 0.135021 ; 0.0886076 ; 0.0843882 ; 0.113924 ; 0
cle bn:04756252n ; 0 ; 0.0337553 ; 0.0337553 ; 0.0337553 ; 0 ; 0 ; 0 ; 0 ; 0.0337553 ; 0
mot bn:00081546n ; 0 ; 0.0759494 ; 0.113924 ; 0.0886076 ; 0.101266 ; 0.092827 ; 0 ; 0 ; 0 ; 0.0843882
timestamp bn:03603649n ; 0 ; 0.0168776 ; 0 ; 0 ; 0.0168776 ; 0.0168776 ; 0 ; 0 ; 0 ; 0
session bn:03751534n ; 0 ; 0 ; 0.0337553 ; 0.0337553 ; 0.0337553 ; 0.0337553 ; 0 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0 ; 0.00843882 ; 0 ; 0 ; 0.00843882 ; 0 ; 0
opérateur bn:16281811n ; 0 ; 0 ; 0.00421941 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
classe bn:03608262n ; 0 ; 0 ; 0.0337553 ; 0 ; 0.0337553 ; 0.0337553 ; 0 ; 0 ; 0.0337553 ; 0
exceptions bn:00032118n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00421941
moteur bn:00030850n ; 0 ; 0 ; 0.0337553 ; 0 ; 0.0295359 ; 0.0295359 ; 0 ; 0 ; 0 ; 0.0295359
xml bn:02771436n ; 0 ; 0 ; 0.00843882 ; 0 ; 0 ; 0.00843882 ; 0 ; 0 ; 0 ; 0
entête bn:00043309n ; 0 ; 0 ; 0.0337553 ; 0 ; 0 ; 0.0337553 ; 0 ; 0 ; 0.0337553 ; 0.0337553
echo bn:03626250n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00421941 ; 0 ; 0 ; 0 ; 0
files bn:00065682n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0168776 ; 0.0168776 ; 0 ; 0 ; 0.0168776
class bn:03598962n ; 0 ; 0 ; 0 ; 0 ; 0.00843882 ; 0 ; 0 ; 0 ; 0.00843882 ; 0
affiche bn:00087013v ; 0 ; 0 ; 0.0337553 ; 0.0337553 ; 0 ; 0.0337553 ; 0 ; 0 ; 0 ; 0.0337553
configuration bn:03088982n ; 0 ; 0 ; 0.00843882 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00843882 ; 0
insert bn:03795444n ; 0 ; 0 ; 0.0168776 ; 0 ; 0 ; 0 ; 0 ; 0.0168776 ; 0.0168776 ; 0
varchar bn:01838409n ; 0 ; 0 ; 0.00843882 ; 0 ; 0.00843882 ; 0 ; 0 ; 0 ; 0 ; 0
mise bn:00016287n ; 0 ; 0 ; 0.0168776 ; 0 ; 0 ; 0.0168776 ; 0 ; 0 ; 0.0168776 ; 0
transaction bn:01403911n ; 0 ; 0 ; 0.0168776 ; 0 ; 0.0168776 ; 0 ; 0 ; 0 ; 0 ; 0.0168776
valeur bn:00079508n ; 0 ; 0 ; 0.00843882 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00843882
visiteur bn:03106425n ; 0 ; 0 ; 0.0168776 ; 0 ; 0 ; 0.0168776 ; 0 ; 0.0168776 ; 0 ; 0
publique bn:00109211a ; 0 ; 0 ; 0.0337553 ; 0 ; 0.0337553 ; 0.0337553 ; 0 ; 0 ; 0.0337553 ; 0
composer bn:14766022n ; 0 ; 0 ; 0 ; 0.0168776 ; 0 ; 0.0168776 ; 0 ; 0 ; 0 ; 0.0168776
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.0168776 ; 0 ; 0 ; 0 ; 0.0168776 ; 0.0168776 ; 0
positionnement bn:00030615n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00421941
mysqli bn:01438356n ; 0 ; 0 ; 0 ; 0 ; 0.00843882 ; 0 ; 0 ; 0 ; 0.00843882 ; 0
null bn:15898583n ; 0 ; 0 ; 0 ; 0 ; 0.0168776 ; 0 ; 0 ; 0 ; 0.0168776 ; 0.0168776
généralité bn:00041249n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00421941 ; 0 ; 0 ; 0 ; 0
autre bn:00108013a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00421941 ; 0 ; 0 ; 0 ; 0
avoir accès bn:00082209v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00843882 ; 0 ; 0 ; 0.00843882 ; 0
bienvenue bn:00080852n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00421941 ; 0 ; 0 ; 0 ; 0
paris bn:00015540n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00421941 ; 0
