X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
C1 ; 1 ; 0.111111 ; 0.142857 ; 0.119048 ; 0.12766 ; 0.0869565 ; 0.0357143 ; 0.0645161 ; 0.117647 ; 0.107143
C2 ; 0.111111 ; 1 ; 0.236364 ; 0.0851064 ; 0.212766 ; 0.2 ; 0.137931 ; 0.0571429 ; 0.105263 ; 0.245283
C3 ; 0.142857 ; 0.236364 ; 1 ; 0.307692 ; 0.358209 ; 0.333333 ; 0.155172 ; 0.163934 ; 0.206349 ; 0.369863
C4 ; 0.119048 ; 0.0851064 ; 0.307692 ; 1 ; 0.275862 ; 0.163934 ; 0.111111 ; 0.227273 ; 0.156863 ; 0.220588
C5 ; 0.12766 ; 0.212766 ; 0.358209 ; 0.275862 ; 1 ; 0.203125 ; 0.191489 ; 0.111111 ; 0.140351 ; 0.328358
C6 ; 0.0869565 ; 0.2 ; 0.333333 ; 0.163934 ; 0.203125 ; 1 ; 0.12766 ; 0.0961538 ; 0.215686 ; 0.34375
C7 ; 0.0357143 ; 0.137931 ; 0.155172 ; 0.111111 ; 0.191489 ; 0.12766 ; 1 ; 0.125 ; 0.0512821 ; 0.326531
C8 ; 0.0645161 ; 0.0571429 ; 0.163934 ; 0.227273 ; 0.111111 ; 0.0961538 ; 0.125 ; 1 ; 0.184211 ; 0.131148
C9 ; 0.117647 ; 0.105263 ; 0.206349 ; 0.156863 ; 0.140351 ; 0.215686 ; 0.0512821 ; 0.184211 ; 1 ; 0.121212
CJA ; 0.107143 ; 0.245283 ; 0.369863 ; 0.220588 ; 0.328358 ; 0.34375 ; 0.326531 ; 0.131148 ; 0.121212 ; 1
