X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
C1 ; 1 ; 0.235955 ; 0.219048 ; 0.180233 ; 0.269841 ; 0.256684 ; 0.138158 ; 0.129032 ; 0.204188 ; 0.213115
C2 ; 0.235955 ; 1 ; 0.326829 ; 0.209945 ; 0.24878 ; 0.242574 ; 0.251656 ; 0.136905 ; 0.23 ; 0.259259
C3 ; 0.219048 ; 0.326829 ; 1 ; 0.262376 ; 0.33945 ; 0.328704 ; 0.25 ; 0.164103 ; 0.299539 ; 0.349754
C4 ; 0.180233 ; 0.209945 ; 0.262376 ; 1 ; 0.231959 ; 0.231579 ; 0.124183 ; 0.115385 ; 0.244565 ; 0.188172
C5 ; 0.269841 ; 0.24878 ; 0.33945 ; 0.231959 ; 1 ; 0.418848 ; 0.174157 ; 0.12234 ; 0.323383 ; 0.240385
C6 ; 0.256684 ; 0.242574 ; 0.328704 ; 0.231579 ; 0.418848 ; 1 ; 0.139665 ; 0.138122 ; 0.292079 ; 0.240196
C7 ; 0.138158 ; 0.251656 ; 0.25 ; 0.124183 ; 0.174157 ; 0.139665 ; 1 ; 0.0909091 ; 0.150289 ; 0.179012
C8 ; 0.129032 ; 0.136905 ; 0.164103 ; 0.115385 ; 0.12234 ; 0.138122 ; 0.0909091 ; 1 ; 0.196429 ; 0.176829
C9 ; 0.204188 ; 0.23 ; 0.299539 ; 0.244565 ; 0.323383 ; 0.292079 ; 0.150289 ; 0.196429 ; 1 ; 0.209756
CJA ; 0.213115 ; 0.259259 ; 0.349754 ; 0.188172 ; 0.240385 ; 0.240196 ; 0.179012 ; 0.176829 ; 0.209756 ; 1
