X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
fichier bn:00021475n ; 0.0515464 ; 0 ; 0 ; 0 ; 0 ; 0.0618557 ; 0 ; 0 ; 0.0618557 ; 0.0721649
client bn:00019764n ; 0.0309278 ; 0 ; 0.0412371 ; 0.0309278 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.113402 ; 0.103093 ; 0.123711 ; 0 ; 0.0618557 ; 0 ; 0 ; 0.14433
donnée bn:00025314n ; 0 ; 0.0721649 ; 0.164948 ; 0.123711 ; 0.164948 ; 0 ; 0.0824742 ; 0 ; 0 ; 0.195876
php bn:01753580n ; 0 ; 0 ; 0.0824742 ; 0.0824742 ; 0 ; 0.0824742 ; 0 ; 0 ; 0.0824742 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0.0412371 ; 0 ; 0.0412371 ; 0 ; 0 ; 0.0412371 ; 0
texte bn:00076732n ; 0 ; 0 ; 0 ; 0 ; 0.0618557 ; 0.0618557 ; 0.0412371 ; 0 ; 0 ; 0.0824742
commentaire bn:00020978n ; 0.0721649 ; 0 ; 0.164948 ; 0.14433 ; 0.123711 ; 0 ; 0 ; 0.113402 ; 0.123711 ; 0
délimiter bn:00086464v ; 0 ; 0 ; 0.134021 ; 0.123711 ; 0 ; 0.113402 ; 0 ; 0.0927835 ; 0 ; 0.123711
post bn:01500184n ; 0 ; 0.103093 ; 0.185567 ; 0 ; 0.175258 ; 0.185567 ; 0 ; 0 ; 0.123711 ; 0.175258
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0927835 ; 0.0927835 ; 0 ; 0.0515464 ; 0.0824742 ; 0 ; 0.113402
text bn:14981519n ; 0.0927835 ; 0.113402 ; 0.268041 ; 0.175258 ; 0.226804 ; 0.195876 ; 0 ; 0 ; 0 ; 0.237113
zones bn:00005513n ; 0 ; 0 ; 0.0206186 ; 0 ; 0 ; 0.0206186 ; 0 ; 0 ; 0 ; 0
personne bn:00046516n ; 0 ; 0 ; 0.113402 ; 0.113402 ; 0.0927835 ; 0 ; 0 ; 0.103093 ; 0.103093 ; 0
méthode post bn:00045088n ; 0 ; 0.0721649 ; 0.175258 ; 0 ; 0 ; 0.154639 ; 0.0721649 ; 0.0927835 ; 0.103093 ; 0.185567
mysql bn:01225760n ; 0 ; 0 ; 0.0824742 ; 0.0721649 ; 0.0721649 ; 0.0721649 ; 0 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0103093 ; 0 ; 0
site bn:00047172n ; 0.0515464 ; 0.0515464 ; 0.0927835 ; 0 ; 0.0824742 ; 0 ; 0 ; 0 ; 0 ; 0.0824742
france bn:00036202n ; 0 ; 0.0103093 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
langage de script bn:01431715n ; 0 ; 0.0412371 ; 0 ; 0 ; 0.0412371 ; 0.0412371 ; 0 ; 0 ; 0 ; 0
interpréter bn:00089840v ; 0 ; 0 ; 0 ; 0 ; 0.0206186 ; 0 ; 0 ; 0.0206186 ; 0 ; 0
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0206186 ; 0 ; 0 ; 0 ; 0.0206186
côté client bn:03163702n ; 0 ; 0 ; 0.0412371 ; 0 ; 0.0412371 ; 0.0412371 ; 0 ; 0 ; 0 ; 0
typage bn:00016413n ; 0 ; 0 ; 0.123711 ; 0 ; 0.123711 ; 0.123711 ; 0.0824742 ; 0 ; 0 ; 0.164948
pointeur bn:03222272n ; 0 ; 0 ; 0.0206186 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0206186
casse bn:03225002n ; 0 ; 0 ; 0 ; 0 ; 0.0103093 ; 0 ; 0 ; 0 ; 0 ; 0
timestamp bn:03603649n ; 0 ; 0.0412371 ; 0 ; 0 ; 0.0412371 ; 0.0412371 ; 0 ; 0 ; 0 ; 0
session bn:03751534n ; 0 ; 0 ; 0.0412371 ; 0 ; 0.0412371 ; 0.0412371 ; 0 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0 ; 0.0206186 ; 0 ; 0 ; 0.0206186 ; 0 ; 0
opérateur bn:16281811n ; 0 ; 0 ; 0.0103093 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
classe bn:03608262n ; 0 ; 0 ; 0.0824742 ; 0 ; 0.0721649 ; 0.0721649 ; 0 ; 0 ; 0.0721649 ; 0
exceptions bn:00032118n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0103093
xml bn:02771436n ; 0 ; 0 ; 0.0206186 ; 0 ; 0 ; 0.0206186 ; 0 ; 0 ; 0 ; 0
echo bn:03626250n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0103093 ; 0 ; 0 ; 0 ; 0
