X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
C1 ; 1 ; 0.157895 ; 0.105263 ; 0.25 ; 0.142857 ; 0.3125 ; 0.1 ; 0.190476 ; 0.263158 ; 0.0588235
C2 ; 0.157895 ; 1 ; 0.266667 ; 0.125 ; 0.166667 ; 0.117647 ; 0.25 ; 0.0952381 ; 0.157895 ; 0.142857
C3 ; 0.105263 ; 0.266667 ; 1 ; 0.133333 ; 0.0833333 ; 0.125 ; 0.1875 ; 0.157895 ; 0.105263 ; 0.25
C4 ; 0.25 ; 0.125 ; 0.133333 ; 1 ; 0.2 ; 0.0625 ; 0.285714 ; 0.105263 ; 0.111111 ; 0.0769231
C5 ; 0.142857 ; 0.166667 ; 0.0833333 ; 0.2 ; 1 ; 0.0833333 ; 0.166667 ; 0.133333 ; 0.0666667 ; 0.111111
C6 ; 0.3125 ; 0.117647 ; 0.125 ; 0.0625 ; 0.0833333 ; 1 ; 0.117647 ; 0.222222 ; 0.5 ; 0.0714286
C7 ; 0.1 ; 0.25 ; 0.1875 ; 0.285714 ; 0.166667 ; 0.117647 ; 1 ; 0.277778 ; 0.1 ; 0.0666667
C8 ; 0.190476 ; 0.0952381 ; 0.157895 ; 0.105263 ; 0.133333 ; 0.222222 ; 0.277778 ; 1 ; 0.25 ; 0.1875
C9 ; 0.263158 ; 0.157895 ; 0.105263 ; 0.111111 ; 0.0666667 ; 0.5 ; 0.1 ; 0.25 ; 1 ; 0.0588235
CJA ; 0.0588235 ; 0.142857 ; 0.25 ; 0.0769231 ; 0.111111 ; 0.0714286 ; 0.0666667 ; 0.1875 ; 0.0588235 ; 1
