X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
C1 ; 1 ; 0.279452 ; 0.371495 ; 0.269231 ; 0.341207 ; 0.30411 ; 0.225225 ; 0.253561 ; 0.266319 ; 0.231405
C2 ; 0.279452 ; 1 ; 0.395683 ; 0.29096 ; 0.307494 ; 0.283379 ; 0.202985 ; 0.253602 ; 0.290323 ; 0.241573
C3 ; 0.371495 ; 0.395683 ; 1 ; 0.370546 ; 0.432494 ; 0.37123 ; 0.383598 ; 0.324582 ; 0.376147 ; 0.422785
C4 ; 0.269231 ; 0.29096 ; 0.370546 ; 1 ; 0.3219 ; 0.256065 ; 0.191617 ; 0.264706 ; 0.273458 ; 0.245014
C5 ; 0.341207 ; 0.307494 ; 0.432494 ; 0.3219 ; 1 ; 0.373333 ; 0.255618 ; 0.270557 ; 0.40107 ; 0.265625
C6 ; 0.30411 ; 0.283379 ; 0.37123 ; 0.256065 ; 0.373333 ; 1 ; 0.218935 ; 0.216438 ; 0.336066 ; 0.28125
C7 ; 0.225225 ; 0.202985 ; 0.383598 ; 0.191617 ; 0.255618 ; 0.218935 ; 1 ; 0.17134 ; 0.230994 ; 0.219745
C8 ; 0.253561 ; 0.253602 ; 0.324582 ; 0.264706 ; 0.270557 ; 0.216438 ; 0.17134 ; 1 ; 0.272472 ; 0.206395
C9 ; 0.266319 ; 0.290323 ; 0.376147 ; 0.273458 ; 0.40107 ; 0.336066 ; 0.230994 ; 0.272472 ; 1 ; 0.274238
CJA ; 0.231405 ; 0.241573 ; 0.422785 ; 0.245014 ; 0.265625 ; 0.28125 ; 0.219745 ; 0.206395 ; 0.274238 ; 1
