X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
C1 ; 1 ; 0.216867 ; 0.25 ; 0.2 ; 0.296482 ; 0.270833 ; 0.0397351 ; 0.0559441 ; 0.255952 ; 0.252688
C2 ; 0.216867 ; 1 ; 0.251337 ; 0.163842 ; 0.31401 ; 0.350785 ; 0.257353 ; 0.0714286 ; 0.25 ; 0.3
C3 ; 0.25 ; 0.251337 ; 1 ; 0.210811 ; 0.312217 ; 0.308057 ; 0.152439 ; 0.136646 ; 0.265625 ; 0.352041
C4 ; 0.2 ; 0.163842 ; 0.210811 ; 1 ; 0.350515 ; 0.221675 ; 0.118056 ; 0.123188 ; 0.221591 ; 0.227979
C5 ; 0.296482 ; 0.31401 ; 0.312217 ; 0.350515 ; 1 ; 0.389381 ; 0.227027 ; 0.175532 ; 0.319249 ; 0.402778
C6 ; 0.270833 ; 0.350785 ; 0.308057 ; 0.221675 ; 0.389381 ; 1 ; 0.196629 ; 0.169492 ; 0.376289 ; 0.382775
C7 ; 0.0397351 ; 0.257353 ; 0.152439 ; 0.118056 ; 0.227027 ; 0.196629 ; 1 ; 0.111111 ; 0.111111 ; 0.195266
C8 ; 0.0559441 ; 0.0714286 ; 0.136646 ; 0.123188 ; 0.175532 ; 0.169492 ; 0.111111 ; 1 ; 0.216783 ; 0.146199
C9 ; 0.255952 ; 0.25 ; 0.265625 ; 0.221591 ; 0.319249 ; 0.376289 ; 0.111111 ; 0.216783 ; 1 ; 0.286432
CJA ; 0.252688 ; 0.3 ; 0.352041 ; 0.227979 ; 0.402778 ; 0.382775 ; 0.195266 ; 0.146199 ; 0.286432 ; 1
