X ; fichier bn:00021475n ; client bn:00019764n ; php bn:01753580n ; langage de script bn:01431715n ; serveur bn:00044916n ; chaîne bn:00074685n ; class bn:03598962n
fichier bn:00021475n ; 1 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.166667 ; 0.333333
client bn:00019764n ; 0.2 ; 1 ; 0.333333 ; 0.2 ; 0.2 ; 0.25 ; 0.2
php bn:01753580n ; 0.2 ; 0.333333 ; 1 ; 0.5 ; 0.5 ; 0.25 ; 0.2
langage de script bn:01431715n ; 0.142857 ; 0.2 ; 0.5 ; 1 ; 0.333333 ; 0.4 ; 0.333333
serveur bn:00044916n ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 1 ; 0.166667 ; 0.142857
chaîne bn:00074685n ; 0.166667 ; 0.25 ; 0.25 ; 0.4 ; 0.166667 ; 1 ; 0.4
class bn:03598962n ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.142857 ; 0.4 ; 1
