Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;7;Objects;0;10;
0;7;Attributes;0;10;C1;C2;C3;C4;C5;C6;C7;C8;C9;CJA;
1;4;Objects;1;4;fichier bn:00021475n;
1;4;Attributes;1;4;C1;C6;C9;CJA;
2;6;Objects;1;6;donnée bn:00025314n;
2;6;Attributes;1;6;C2;C3;C4;C5;C7;CJA;
3;4;Objects;1;4;php bn:01753580n;
3;4;Attributes;1;4;C3;C4;C6;C9;
4;5;Objects;1;6;commentaire bn:00020978n;
4;5;Attributes;1;6;C1;C3;C4;C5;C8;C9;
5;5;Objects;1;5;délimiter bn:00086464v;
5;5;Attributes;1;5;C3;C4;C6;C8;CJA;
6;6;Objects;1;6;post bn:01500184n;
6;6;Attributes;1;6;C2;C3;C5;C6;C9;CJA;
7;5;Objects;1;5;nombre bn:00058285n;
7;5;Attributes;1;5;C4;C5;C7;C8;CJA;
8;6;Objects;1;7;text bn:14981519n;
8;6;Attributes;1;7;C1;C2;C3;C4;C5;C6;CJA;
9;6;Objects;1;7;méthode post bn:00045088n;
9;6;Attributes;1;7;C2;C3;C6;C7;C8;C9;CJA;
10;5;Objects;1;5;typage bn:00016413n;
10;5;Attributes;1;5;C3;C5;C6;C7;CJA;
11;2;Objects;2;2;fichier bn:00021475n;commentaire bn:00020978n;
11;2;Attributes;2;2;C1;C9;
12;3;Objects;2;3;fichier bn:00021475n;text bn:14981519n;
12;3;Attributes;2;3;C1;C6;CJA;
13;5;Objects;2;5;base de donnée bn:00025333n;donnée bn:00025314n;
13;5;Attributes;2;5;C3;C4;C5;C7;CJA;
14;5;Objects;2;5;donnée bn:00025314n;text bn:14981519n;
14;5;Attributes;2;5;C2;C3;C4;C5;CJA;
15;4;Objects;2;4;donnée bn:00025314n;méthode post bn:00045088n;
15;4;Attributes;2;4;C2;C3;C7;CJA;
16;3;Objects;2;3;php bn:01753580n;code bn:00020354n;
16;3;Attributes;2;3;C4;C6;C9;
17;4;Objects;2;4;texte bn:00076732n;typage bn:00016413n;
17;4;Attributes;2;4;C5;C6;C7;CJA;
18;4;Objects;2;4;commentaire bn:00020978n;text bn:14981519n;
18;4;Attributes;2;4;C1;C3;C4;C5;
19;4;Objects;2;5;commentaire bn:00020978n;personne bn:00046516n;
19;4;Attributes;2;5;C3;C4;C5;C8;C9;
20;3;Objects;2;3;délimiter bn:00086464v;nombre bn:00058285n;
20;3;Attributes;2;3;C4;C8;CJA;
21;4;Objects;2;4;délimiter bn:00086464v;text bn:14981519n;
21;4;Attributes;2;4;C3;C4;C6;CJA;
22;4;Objects;2;4;délimiter bn:00086464v;méthode post bn:00045088n;
22;4;Attributes;2;4;C3;C6;C8;CJA;
23;5;Objects;2;5;post bn:01500184n;text bn:14981519n;
23;5;Attributes;2;5;C2;C3;C5;C6;CJA;
24;5;Objects;2;5;post bn:01500184n;méthode post bn:00045088n;
24;5;Attributes;2;5;C2;C3;C6;C9;CJA;
25;4;Objects;2;4;post bn:01500184n;classe bn:03608262n;
25;4;Attributes;2;4;C3;C5;C6;C9;
26;3;Objects;2;3;post bn:01500184n;null bn:15898583n;
26;3;Attributes;2;3;C5;C9;CJA;
27;3;Objects;2;3;nombre bn:00058285n;méthode post bn:00045088n;
27;3;Attributes;2;3;C7;C8;CJA;
28;4;Objects;2;4;text bn:14981519n;mysql bn:01225760n;
28;4;Attributes;2;4;C3;C4;C5;C6;
29;5;Objects;2;5;text bn:14981519n;site bn:00047172n;
29;5;Attributes;2;5;C1;C2;C3;C5;CJA;
30;4;Objects;2;4;méthode post bn:00045088n;typage bn:00016413n;
30;4;Attributes;2;4;C3;C6;C7;CJA;
31;3;Objects;3;3;fichier bn:00021475n;post bn:01500184n;méthode post bn:00045088n;
31;3;Attributes;3;3;C6;C9;CJA;
32;2;Objects;3;2;fichier bn:00021475n;text bn:14981519n;site bn:00047172n;
32;2;Attributes;3;2;C1;CJA;
33;3;Objects;3;3;client bn:00019764n;commentaire bn:00020978n;text bn:14981519n;
33;3;Attributes;3;3;C1;C3;C4;
34;4;Objects;3;4;base de donnée bn:00025333n;donnée bn:00025314n;nombre bn:00058285n;
34;4;Attributes;3;4;C4;C5;C7;CJA;
35;4;Objects;3;4;base de donnée bn:00025333n;donnée bn:00025314n;text bn:14981519n;
35;4;Attributes;3;4;C3;C4;C5;CJA;
36;4;Objects;3;4;base de donnée bn:00025333n;donnée bn:00025314n;typage bn:00016413n;
36;4;Attributes;3;4;C3;C5;C7;CJA;
37;3;Objects;3;3;php bn:01753580n;commentaire bn:00020978n;personne bn:00046516n;
37;3;Attributes;3;3;C3;C4;C9;
38;3;Objects;3;3;commentaire bn:00020978n;délimiter bn:00086464v;personne bn:00046516n;
38;3;Attributes;3;3;C3;C4;C8;
39;3;Objects;3;3;commentaire bn:00020978n;nombre bn:00058285n;personne bn:00046516n;
39;3;Attributes;3;3;C4;C5;C8;
40;3;Objects;3;3;commentaire bn:00020978n;text bn:14981519n;site bn:00047172n;
40;3;Attributes;3;3;C1;C3;C5;
41;3;Objects;3;3;commentaire bn:00020978n;personne bn:00046516n;doctype bn:15839327n;
41;3;Attributes;3;3;C4;C8;C9;
42;2;Objects;3;2;délimiter bn:00086464v;nombre bn:00058285n;méthode post bn:00045088n;
42;2;Attributes;3;2;C8;CJA;
43;3;Objects;3;3;délimiter bn:00086464v;text bn:14981519n;composer bn:14766022n;
43;3;Attributes;3;3;C4;C6;CJA;
44;3;Objects;3;3;délimiter bn:00086464v;méthode post bn:00045088n;visiteur bn:03106425n;
44;3;Attributes;3;3;C3;C6;C8;
45;4;Objects;3;4;post bn:01500184n;text bn:14981519n;méthode post bn:00045088n;
45;4;Attributes;3;4;C2;C3;C6;CJA;
46;4;Objects;3;4;post bn:01500184n;text bn:14981519n;typage bn:00016413n;
46;4;Attributes;3;4;C3;C5;C6;CJA;
47;2;Objects;4;2;fichier bn:00021475n;post bn:01500184n;méthode post bn:00045088n;null bn:15898583n;
47;2;Attributes;4;2;C9;CJA;
48;2;Objects;4;2;client bn:00019764n;commentaire bn:00020978n;text bn:14981519n;site bn:00047172n;
48;2;Attributes;4;2;C1;C3;
49;3;Objects;4;3;base de donnée bn:00025333n;donnée bn:00025314n;délimiter bn:00086464v;text bn:14981519n;
49;3;Attributes;4;3;C3;C4;CJA;
50;3;Objects;4;3;base de donnée bn:00025333n;donnée bn:00025314n;nombre bn:00058285n;text bn:14981519n;
50;3;Attributes;4;3;C4;C5;CJA;
51;3;Objects;4;3;base de donnée bn:00025333n;donnée bn:00025314n;méthode post bn:00045088n;typage bn:00016413n;
51;3;Attributes;4;3;C3;C7;CJA;
52;4;Objects;4;4;donnée bn:00025314n;post bn:01500184n;text bn:14981519n;site bn:00047172n;
52;4;Attributes;4;4;C2;C3;C5;CJA;
53;3;Objects;4;3;php bn:01753580n;délimiter bn:00086464v;text bn:14981519n;mysql bn:01225760n;
53;3;Attributes;4;3;C3;C4;C6;
54;3;Objects;4;3;texte bn:00076732n;post bn:01500184n;text bn:14981519n;typage bn:00016413n;
54;3;Attributes;4;3;C5;C6;CJA;
55;3;Objects;4;3;texte bn:00076732n;méthode post bn:00045088n;typage bn:00016413n;files bn:00065682n;
55;3;Attributes;4;3;C6;C7;CJA;
