X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
C1 ; 1 ; 0.241983 ; 0.312655 ; 0.236842 ; 0.331492 ; 0.265714 ; 0.212308 ; 0.215569 ; 0.263014 ; 0.258721
C2 ; 0.241983 ; 1 ; 0.351562 ; 0.251515 ; 0.279133 ; 0.284866 ; 0.219048 ; 0.168142 ; 0.288571 ; 0.281818
C3 ; 0.312655 ; 0.351562 ; 1 ; 0.336788 ; 0.392252 ; 0.313725 ; 0.387464 ; 0.299479 ; 0.357843 ; 0.398936
C4 ; 0.236842 ; 0.251515 ; 0.336788 ; 1 ; 0.336182 ; 0.21813 ; 0.18323 ; 0.212963 ; 0.258427 ; 0.261261
C5 ; 0.331492 ; 0.279133 ; 0.392252 ; 0.336182 ; 1 ; 0.373596 ; 0.25 ; 0.224932 ; 0.348404 ; 0.284182
C6 ; 0.265714 ; 0.284866 ; 0.313725 ; 0.21813 ; 0.373596 ; 1 ; 0.189911 ; 0.225519 ; 0.322034 ; 0.268012
C7 ; 0.212308 ; 0.219048 ; 0.387464 ; 0.18323 ; 0.25 ; 0.189911 ; 1 ; 0.221477 ; 0.221574 ; 0.20679
C8 ; 0.215569 ; 0.168142 ; 0.299479 ; 0.212963 ; 0.224932 ; 0.225519 ; 0.221477 ; 1 ; 0.282738 ; 0.199405
C9 ; 0.263014 ; 0.288571 ; 0.357843 ; 0.258427 ; 0.348404 ; 0.322034 ; 0.221574 ; 0.282738 ; 1 ; 0.282913
CJA ; 0.258721 ; 0.281818 ; 0.398936 ; 0.261261 ; 0.284182 ; 0.268012 ; 0.20679 ; 0.199405 ; 0.282913 ; 1
