X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
page web bn:00080778n ; 0 ; 0 ; 0.107914 ; 0 ; 0.0942029 ; 0.0930233 ; 0 ; 0.2 ; 0 ; 0.12037
navigateur bn:00013447n ; 0 ; 0.251701 ; 0.342697 ; 0 ; 0.289617 ; 0.329412 ; 0.325397 ; 0.234848 ; 0.271605 ; 0.303797
serveur web bn:02705179n ; 0 ; 0.232 ; 0.282209 ; 0.267717 ; 0.240964 ; 0.248408 ; 0 ; 0 ; 0.248227 ; 0.230769
fichier bn:00021475n ; 0.103896 ; 0 ; 0 ; 0 ; 0 ; 0.0661157 ; 0 ; 0 ; 0.0792079 ; 0.0792079
client bn:00019764n ; 0.0547945 ; 0 ; 0.0307692 ; 0.0487805 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0928571 ; 0.117021 ; 0.111111 ; 0 ; 0.157143 ; 0 ; 0 ; 0.132075
donnée bn:00025314n ; 0 ; 0.183673 ; 0.163265 ; 0.160377 ; 0.174825 ; 0 ; 0.2375 ; 0 ; 0 ; 0.169492
php bn:01753580n ; 0.188235 ; 0 ; 0.112676 ; 0.170213 ; 0 ; 0.124031 ; 0 ; 0 ; 0.146789 ; 0
java bn:00048043n ; 0.168317 ; 0.263158 ; 0.166667 ; 0 ; 0.170068 ; 0.182482 ; 0.197674 ; 0 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0.0487805 ; 0 ; 0.034188 ; 0 ; 0 ; 0.0412371 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.174497 ; 0 ; 0.154362 ; 0.182482 ; 0.22619 ; 0 ; 0.154472 ; 0.193277
concerner bn:00083240v ; 0 ; 0 ; 0.173333 ; 0.185185 ; 0.176871 ; 0.164286 ; 0.238095 ; 0 ; 0 ; 0.201681
commentaire bn:00020978n ; 0.181818 ; 0 ; 0.16 ; 0.223301 ; 0.171233 ; 0 ; 0 ; 0.195122 ; 0.215517 ; 0
délimiter bn:00086464v ; 0 ; 0 ; 0.1 ; 0.139785 ; 0 ; 0.101562 ; 0 ; 0.181818 ; 0 ; 0.12037
fois bn:00032768n ; 0.291391 ; 0.340136 ; 0.4 ; 0 ; 0.303665 ; 0.389535 ; 0.241379 ; 0 ; 0.273256 ; 0.311377
