Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;3;Objects;0;10;
0;3;Attributes;0;10;C1;C2;C3;C4;C5;C6;C7;C8;C9;CJA;
1;2;Objects;1;2;fichier bn:00021475n;
1;2;Attributes;1;2;C9;CJA;
2;3;Objects;1;3;client bn:00019764n;
2;3;Attributes;1;3;C1;C3;C4;
3;3;Objects;1;5;nombre bn:00058285n;
3;3;Attributes;1;5;C4;C5;C7;C8;CJA;
4;2;Objects;1;2;zones bn:00005513n;
4;2;Attributes;1;2;C3;C6;
5;3;Objects;1;5;site bn:00047172n;
5;3;Attributes;1;5;C1;C2;C3;C5;CJA;
6;2;Objects;1;2;serveur bn:00044916n;
6;2;Attributes;1;2;C6;CJA;
7;2;Objects;1;2;class bn:03598962n;
7;2;Attributes;1;2;C5;C9;
8;2;Objects;2;2;client bn:00019764n;site bn:00047172n;
8;2;Attributes;2;2;C1;C3;
9;2;Objects;2;3;php bn:01753580n;code bn:00020354n;
9;2;Attributes;2;3;C4;C6;C9;
10;2;Objects;2;2;nombre bn:00058285n;site bn:00047172n;
10;2;Attributes;2;2;C5;CJA;
11;2;Objects;2;2;nombre bn:00058285n;chaîne bn:00074685n;
11;2;Attributes;2;2;C5;C8;
12;2;Objects;2;3;langage de script bn:01431715n;timestamp bn:03603649n;
12;2;Attributes;2;3;C2;C5;C6;
13;1;Objects;3;1;nombre bn:00058285n;salaire bn:15928884n;chaîne bn:00074685n;
13;1;Attributes;3;1;C8;
14;2;Objects;3;2;site bn:00047172n;langage de script bn:01431715n;timestamp bn:03603649n;
14;2;Attributes;3;2;C2;C5;
15;1;Objects;4;1;client bn:00019764n;php bn:01753580n;code bn:00020354n;nombre bn:00058285n;
15;1;Attributes;4;1;C4;
16;1;Objects;4;1;client bn:00019764n;zones bn:00005513n;site bn:00047172n;opérateur bn:16281811n;
16;1;Attributes;4;1;C3;
17;1;Objects;4;1;site bn:00047172n;france bn:00036202n;langage de script bn:01431715n;timestamp bn:03603649n;
17;1;Attributes;4;1;C2;
18;1;Objects;5;1;fichier bn:00021475n;php bn:01753580n;code bn:00020354n;class bn:03598962n;paris bn:00015540n;
18;1;Attributes;5;1;C9;
19;1;Objects;6;1;fichier bn:00021475n;nombre bn:00058285n;site bn:00047172n;serveur bn:00044916n;exceptions bn:00032118n;positionnement bn:00030615n;
19;1;Attributes;6;1;CJA;
20;1;Objects;7;1;nombre bn:00058285n;site bn:00047172n;langage de script bn:01431715n;casse bn:03225002n;timestamp bn:03603649n;chaîne bn:00074685n;class bn:03598962n;
20;1;Attributes;7;1;C5;
21;1;Objects;10;1;php bn:01753580n;code bn:00020354n;zones bn:00005513n;langage de script bn:01431715n;serveur bn:00044916n;timestamp bn:03603649n;echo bn:03626250n;généralité bn:00041249n;autre bn:00108013a;bienvenue bn:00080852n;
21;1;Attributes;10;1;C6;
22;0;Objects;23;0;fichier bn:00021475n;client bn:00019764n;php bn:01753580n;code bn:00020354n;nombre bn:00058285n;zones bn:00005513n;salaire bn:15928884n;site bn:00047172n;france bn:00036202n;langage de script bn:01431715n;serveur bn:00044916n;casse bn:03225002n;timestamp bn:03603649n;chaîne bn:00074685n;opérateur bn:16281811n;exceptions bn:00032118n;echo bn:03626250n;class bn:03598962n;positionnement bn:00030615n;généralité bn:00041249n;autre bn:00108013a;bienvenue bn:00080852n;paris bn:00015540n;
22;0;Attributes;23;0;
