X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
page web bn:00080778n ; 0 ; 0 ; 0.0915493 ; 0 ; 0.0782123 ; 0.0914634 ; 0 ; 0.178082 ; 0 ; 0.0909091
navigateur bn:00013447n ; 0 ; 0.284153 ; 0.290816 ; 0 ; 0.265217 ; 0.331731 ; 0.283784 ; 0.234899 ; 0.257732 ; 0.303922
serveur web bn:02705179n ; 0 ; 0.233533 ; 0.258427 ; 0.25641 ; 0.241706 ; 0.246231 ; 0 ; 0 ; 0.242775 ; 0.253968
fichier bn:00021475n ; 0.145161 ; 0 ; 0 ; 0 ; 0.13369 ; 0.144509 ; 0 ; 0.179775 ; 0.170213 ; 0.140244
client bn:00019764n ; 0.0408163 ; 0 ; 0.0307692 ; 0.0392157 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0928571 ; 0.0964912 ; 0.0852273 ; 0 ; 0.139241 ; 0 ; 0 ; 0.0921053
donnée bn:00025314n ; 0 ; 0.177778 ; 0.156863 ; 0.146154 ; 0.155914 ; 0 ; 0.23913 ; 0 ; 0 ; 0.158537
php bn:01753580n ; 0.145455 ; 0 ; 0.112676 ; 0.140351 ; 0 ; 0.0963855 ; 0 ; 0 ; 0.120301 ; 0
java bn:00048043n ; 0.142857 ; 0.19697 ; 0.165563 ; 0 ; 0.138298 ; 0.149425 ; 0.189474 ; 0 ; 0 ; 0
code bn:00020354n ; 0.27907 ; 0.314607 ; 0 ; 0.272727 ; 0.348837 ; 0.333333 ; 0.18125 ; 0 ; 0.259067 ; 0.280193
texte bn:00076732n ; 0 ; 0.333333 ; 0.323529 ; 0.273684 ; 0.350877 ; 0.330317 ; 0.285714 ; 0 ; 0.242857 ; 0.341232
concerner bn:00083240v ; 0 ; 0 ; 0.168831 ; 0.169231 ; 0.159574 ; 0.152542 ; 0.231579 ; 0 ; 0 ; 0.169697
commentaire bn:00020978n ; 0.153226 ; 0 ; 0.15894 ; 0.185484 ; 0.139037 ; 0 ; 0 ; 0.191011 ; 0.185714 ; 0
délimiter bn:00086464v ; 0 ; 0 ; 0.0921986 ; 0.115044 ; 0 ; 0.0853659 ; 0 ; 0.164384 ; 0 ; 0.0844156
fois bn:00032768n ; 0.306452 ; 0.374332 ; 0.348039 ; 0 ; 0.309623 ; 0.37156 ; 0.218391 ; 0 ; 0.260664 ; 0.358491
url bn:00079080n ; 0.225806 ; 0 ; 0.187097 ; 0.2 ; 0.168421 ; 0 ; 0 ; 0 ; 0.190476 ; 0.152047
case à cocher bn:03157691n ; 0.0784314 ; 0 ; 0 ; 0.0754717 ; 0 ; 0.0506329 ; 0 ; 0 ; 0.064 ; 0
post bn:01500184n ; 0 ; 0.185714 ; 0.179487 ; 0 ; 0.138462 ; 0.168539 ; 0 ; 0 ; 0.174497 ; 0.179641
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.105263 ; 0.0909091 ; 0 ; 0.151899 ; 0.197183 ; 0 ; 0.0915033
text bn:14981519n ; 0.326667 ; 0.275449 ; 0.276243 ; 0.253086 ; 0.280952 ; 0.25 ; 0 ; 0 ; 0 ; 0.270833
langage bn:00049910n ; 0.324022 ; 0.267677 ; 0.331683 ; 0 ; 0.300847 ; 0.369159 ; 0 ; 0.190476 ; 0.340206 ; 0.349282
zones bn:00005513n ; 0 ; 0 ; 0.015625 ; 0 ; 0 ; 0.0131579 ; 0 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0 ; 0.185897 ; 0.207692 ; 0.161458 ; 0.161111 ; 0 ; 0 ; 0.181208 ; 0.164706
case bn:04777941n ; 0.216 ; 0.185714 ; 0.179487 ; 0 ; 0 ; 0.168539 ; 0 ; 0 ; 0.174497 ; 0.179641
associer bn:00082868v ; 0 ; 0 ; 0.112676 ; 0 ; 0.0888889 ; 0.0963855 ; 0 ; 0 ; 0.120301 ; 0.103226
personne bn:00046516n ; 0 ; 0 ; 0.0985915 ; 0.122807 ; 0.0837989 ; 0 ; 0 ; 0.191781 ; 0.113636 ; 0
méthode post bn:00045088n ; 0 ; 0.191781 ; 0.185185 ; 0 ; 0 ; 0.19337 ; 0.194444 ; 0.171429 ; 0.173077 ; 0.184971
fermeture bn:16858148n ; 0.31016 ; 0 ; 0.331731 ; 0.324468 ; 0.346154 ; 0.31441 ; 0 ; 0.238095 ; 0.367347 ; 0.300448
machine bn:00054050n ; 0 ; 0 ; 0.0597015 ; 0 ; 0.0465116 ; 0.0506329 ; 0 ; 0 ; 0 ; 0.0544218
mysql bn:01225760n ; 0 ; 0 ; 0.0597015 ; 0.0754717 ; 0.0465116 ; 0.0506329 ; 0 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0172414 ; 0 ; 0
jour bn:00000086n ; 0.0784314 ; 0 ; 0.0597015 ; 0 ; 0 ; 0.0506329 ; 0 ; 0 ; 0 ; 0.0544218
