X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C8 ; C9 ; CJA
C1 ; 1 ; 0.333333 ; 1 ; 1 ; 0.166667 ; 0.2 ; 0.333333 ; 0.2 ; 0.2
C2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.4 ; 0.5 ; 0.333333 ; 0.2 ; 0.2
C3 ; 1 ; 0.333333 ; 1 ; 1 ; 0.166667 ; 0.2 ; 0.333333 ; 0.2 ; 0.2
C4 ; 1 ; 0.333333 ; 1 ; 1 ; 0.166667 ; 0.2 ; 0.333333 ; 0.2 ; 0.2
C5 ; 0.166667 ; 0.4 ; 0.166667 ; 0.166667 ; 1 ; 0.285714 ; 0.4 ; 0.285714 ; 0.125
C6 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.285714 ; 1 ; 0.2 ; 0.142857 ; 0.333333
C8 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.4 ; 0.2 ; 1 ; 0.2 ; 0.2
C9 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.285714 ; 0.142857 ; 0.2 ; 1 ; 0.333333
CJA ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.125 ; 0.333333 ; 0.2 ; 0.333333 ; 1
