X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; CJA
C1 ; 1 ; 0.220238 ; 0.22549 ; 0.186747 ; 0.259669 ; 0.265193 ; 0.126761 ; 0.134228 ; 0.210811 ; 0.2
C2 ; 0.220238 ; 1 ; 0.341837 ; 0.22093 ; 0.235897 ; 0.253886 ; 0.22695 ; 0.144654 ; 0.240838 ; 0.238889
C3 ; 0.22549 ; 0.341837 ; 1 ; 0.262376 ; 0.349057 ; 0.328704 ; 0.260116 ; 0.164103 ; 0.299539 ; 0.360406
C4 ; 0.186747 ; 0.22093 ; 0.262376 ; 1 ; 0.239362 ; 0.231579 ; 0.130137 ; 0.115385 ; 0.244565 ; 0.194444
C5 ; 0.259669 ; 0.235897 ; 0.349057 ; 0.239362 ; 1 ; 0.432432 ; 0.159763 ; 0.126374 ; 0.333333 ; 0.236181
C6 ; 0.265193 ; 0.253886 ; 0.328704 ; 0.231579 ; 0.432432 ; 1 ; 0.145349 ; 0.138122 ; 0.292079 ; 0.247475
C7 ; 0.126761 ; 0.22695 ; 0.260116 ; 0.130137 ; 0.159763 ; 0.145349 ; 1 ; 0.096 ; 0.156627 ; 0.163399
C8 ; 0.134228 ; 0.144654 ; 0.164103 ; 0.115385 ; 0.126374 ; 0.138122 ; 0.096 ; 1 ; 0.196429 ; 0.183544
C9 ; 0.210811 ; 0.240838 ; 0.299539 ; 0.244565 ; 0.333333 ; 0.292079 ; 0.156627 ; 0.196429 ; 1 ; 0.21608
CJA ; 0.2 ; 0.238889 ; 0.360406 ; 0.194444 ; 0.236181 ; 0.247475 ; 0.163399 ; 0.183544 ; 0.21608 ; 1
